siren,name,naf,headcount,siteWeb,creationDate,Country Code
953181427,FLEX'N BOARD,85.59A,1,,2023-06-05,FR
953188877,ASTROSCALE FRANCE,71.12B,1,,2023-05-31,FR
953197076,AS CONSULTIS,71.12B,3,,2023-06-05,FR
953200425,AVRD CONSEILS,71.12B,1,,2023-06-05,FR
953210051,MS PARTNER,71.12B,1,,2023-05-30,FR
953216496,BETAK INGENIERIE BUREAU D'ETUDES TECHNIQUES ANTHONY KINCHE,71.12B,3,,2023-05-27,FR
953217247,ND-SOLUTION,71.12B,1,,2023-05-26,FR
953218815,SETOXIK,71.12B,1,,2023-06-01,FR
953224748,KEYME,59.11B,1,,2023-05-31,FR
953227014,LIVE VENDOR,58.29C,1,,2023-06-06,FR
953237377,ELECTRO.BALAGNE,47.43Z,3,,2023-05-16,FR
953250156,BTP SCHOOL,85.59A,1,,2023-05-16,FR
953262516,MAYDAY,71.12B,1,,2023-05-30,FR
953286127,BE SAFETY,71.12B,2,,2023-06-01,FR
953290939,KEY CONSULTING,71.12B,1,,2023-06-07,FR
953294113,KN JEUX,71.12B,1,,2023-06-07,FR
953299781,IOKE CONSULTING,82.99Z,1,,2023-04-26,FR
953304714,NOXIA INGENIERIE,71.12B,3,,2023-05-30,FR
953307907,ELD EN LIGNE DIRECTE,82.99Z,2,,2023-06-08,FR
953316213,SELENE TECH,71.12B,11,,2023-06-01,FR
953319282,BLOBCHAIN,71.12B,1,,2023-05-16,FR
953326055,PROMETHYS ENGINEERING,71.12B,2,,2023-06-08,FR
953334455,LEMBAS,71.12B,1,,2023-06-08,FR
953365848,SDB COACHING CONSULTING FORMATION,85.59A,1,,2023-06-05,FR
953371903,TECHMA NV,33.20B,11,,2023-06-07,FR
953376290,MASSON BORDER ASSISTANCE,82.99Z,11,,2023-06-12,FR
953385176,VENTERRA FRANCE SAS,71.12B,1,,2023-06-09,FR
953396264,BE.EC,71.12B,1,,2023-06-02,FR
953396355,TAO PERFORMANCE,71.12B,1,,2023-05-23,FR
953403474,BATILYOS,71.12B,1,,2023-06-05,FR
953417599,ART&CAD,71.12B,1,,2023-06-01,FR
953425261,MFC TRAVAUX,71.12B,1,,2023-06-01,FR
953436607,HEPHALP,71.12B,1,,2023-05-31,FR
953447984,SOUND PARADISE PRODUCTION,59.11B,1,,2023-05-27,FR
953448768,FEEL EUROPE,47.75Z,2,,2023-05-12,FR
953454030,SIMON,59.11B,1,,2023-06-13,FR
953456456,CD TECH,47.43Z,11,,2023-06-13,FR
953458064,M BUSINESS,85.59A,2,,2023-04-13,FR
953460417,KARTENNCO,71.12B,1,,2023-06-08,FR
953473519,DG SCHOOL,85.59B,1,,2023-06-07,FR
953477890,INEN ROBOTICS,71.12B,1,,2023-06-14,FR
953489028,TO THE MOON,85.59A,1,,2023-05-19,FR
953491388,DUB SCHOOL,85.59A,1,,2023-05-17,FR
953497211,MW GROUP,82.99Z,1,,2023-05-01,FR
953505021,AMG TRAINING,85.59A,1,,2023-06-11,FR
953511755,ENFANT TERRIBLE,59.11A,1,,2023-06-15,FR
953514163,MGF CONSULTING,71.12B,1,,2023-06-14,FR
953518065,ELCA,71.12B,1,,2023-06-12,FR
953520178,LE PRONTO,58.29C,2,,2023-07-01,FR
953520301,EQUATION,71.12B,1,,2023-06-13,FR
953522349,CARRE COTE,71.12B,2,,2023-06-15,FR
953522463,VSTONE SANTE,71.12B,1,,2023-06-13,FR
953522604,LIKSI NANTES,58.29C,2,,2023-06-15,FR
953523271,CORMA,58.29C,1,,2023-06-01,FR
953539236,FLOWR PROCESS,71.12B,1,,2023-06-15,FR
953547916,MTP,82.99Z,2,,2023-04-13,FR
953557766,ENERGY LEDGER,71.12B,1,,2023-06-08,FR
953570744,GLOBAL ADMIN SOLUTIONS,82.99Z,1,,2023-04-01,FR
953576451,LIBWORK ASTELWAN,71.12B,3,,2023-01-02,FR
953587797,TOPIBAT,71.12B,1,,2023-06-16,FR
953596236,TCE CHARENTE MARITIME,71.12B,1,,2023-06-14,FR
953618428,MP CONSEIL BRETAGNE PAYS DE LA LOIRE,71.12B,1,,2023-06-16,FR
953618634,CMA TRAVAUX SERVICES,71.12B,1,,2023-06-12,FR
953626744,HENARENOV,71.12B,1,,2023-06-15,FR
953633559,MADE BY GERMANY,71.12B,1,,2023-06-10,FR
953637493,MATAMI,58.29C,2,,2023-06-16,FR
953653664,S.D EL,82.99Z,1,,2023-06-05,FR
953671120,NRG CONSEILS,71.12B,1,,2023-07-01,FR
953672235,KAELIA,85.59A,1,,2023-06-15,FR
953677473,SECULIB,58.29C,1,,2023-06-12,FR
953679396,ENVOL ENVIRONNEMENT NOUVELLE-AQUITAINE,71.12B,1,,2023-06-01,FR
953695673,GIE SAUMUR VAL DE LOIRE,82.99Z,3,,2023-05-31,FR
953699790,FANCEE FRANCE,58.29C,2,,2023-06-07,FR
953700010,ALLWIN,71.12B,2,,2023-06-08,FR
953701737,RELEASE FRANCE,71.12B,1,,2023-06-20,FR
953712403,A2E AUTOMATISME ETUDE ELECTRICITE,71.12B,1,,2023-05-24,FR
953729977,ESSENSIUM FRANCE,71.12B,1,,2023-06-12,FR
953738200,EDUC-UP OF,85.59A,2,,2023-05-23,FR
953745478,ENERGIA CONSULTING,71.12B,1,,2023-06-09,FR
953752375,3CEI,71.12B,1,,2023-07-03,FR
953753803,MOMY FORMATION,85.59A,1,,2023-06-17,FR
953755410,SOFA CONSEILS,82.99Z,3,,2023-06-22,FR
953770906,SIGEO,71.12B,2,,2023-07-03,FR
953771409,ETCM CABARROU,71.12B,1,,2023-06-08,FR
953772100,ALEXYA IDF,71.12B,1,,2023-06-20,FR
953776143,BET MACOUIN,71.12B,2,,2023-06-23,FR
953778792,ARTEGIA INGENIERIE,71.12B,2,,2023-06-23,FR
953788593,AE INGENIERIE,71.12B,1,,2023-06-07,FR
953790367,ECOLE EUROPEENNE DU NUMERIQUE,85.59A,1,,2023-06-22,FR
953791894,SKILZ FORMATION,85.59A,1,,2023-05-07,FR
953804556,NDDLGNMQP,85.59A,1,,2023-06-14,FR
953811296,AEROSOLUTION,71.12B,1,,2023-06-20,FR
953811346,ECO RENOVE,71.12B,1,,2023-06-16,FR
953814431,BET PIERRE GAUTHIER,71.12B,1,,2023-06-01,FR
953823382,CENTRE DE FORMATION D'APPRENTIS DE LA MOBILITE,85.59A,3,,2023-06-09,FR
953825494,AVASK GLOBAL COMPLIANCE,82.99Z,2,,2023-06-23,FR
953831690,RESILIS,85.59A,1,,2023-07-01,FR
953834611,CONSEILLEMENT VOTRE,82.99Z,1,,2023-06-17,FR
953835915,SPUMA,71.12B,1,,2023-06-21,FR
953842275,ISSEHO,71.12B,1,,2023-06-16,FR
953846722,ARCADIA AUDIT,71.12B,1,,2023-06-30,FR
953852282,INFRAFRANCE SERVICES,66.19B,3,,2023-06-15,FR
953865581,PERDELLE,71.12B,1,,2023-06-22,FR
953875226,FIIT,82.99Z,1,,2023-06-22,FR
953875762,TECH AND MOTION,71.12B,1,,2023-06-27,FR
953880838,HISSEZ-HAUT,85.59A,2,,2023-06-12,FR
953890522,TIME 3.0 FRANCE,58.29C,2,,2023-06-07,FR
953911419,GENESIS GROUP CENTRE,71.12B,1,,2023-06-26,FR
953939527,INFINEIS,71.12B,1,,2023-06-08,FR
953945987,ART'HABITAT 44,71.12B,1,,2023-06-28,FR
953974052,PINC FRANCE SAS,82.99Z,2,,2023-06-26,FR
953984358,GEODECRION ATLANTIQUE,71.12B,2,,2023-06-29,FR
953988870,PLASTIC ENERGY FRANCE SERVICES SAS,71.12B,2,,2023-06-29,FR
953989464,AUDIT GREEN,71.12B,1,,2023-06-24,FR
953996501,SAFETY ORGANISATION,85.59A,1,,2023-06-30,FR
953999463,TRAJECTSANTE,58.29C,2,,2023-06-29,FR
954015087,DISTRICTLAB,58.29C,1,,2023-06-27,FR
954015418,HUMAIN'ART,82.99Z,1,,2023-05-01,FR
954038915,EO CONCEPT,71.12B,1,,2023-06-12,FR
954057659,MONTH'IMMO,71.12B,1,,2023-07-01,FR
954060893,MECALINK,71.12B,1,,2023-07-03,FR
954062576,MYCSP,82.99Z,2,,2023-06-29,FR
954063525,BAE SYSTEMS ONEARC FRANCE SAS,58.29C,1,,2023-04-18,FR
954073557,YAMAS PROD,59.11B,1,,2023-07-01,FR
954083010,CLG DOCTORING,71.12B,1,,2023-06-21,FR
954097598,OSMOZEO BREST,71.12B,1,,2023-07-03,FR
977450402,VIDEOSPHERE 360,59.11B,1,,2023-06-08,FR
977455104,TOIT 9,74.90A,3,,2023-07-01,FR
977463603,BIOESOL ENERGY,71.12B,1,,2023-07-04,FR
977470657,LT,85.59A,1,,2023-06-29,FR
977471051,NOUVEO,58.29C,1,,2023-07-01,FR
977479195,COAT-ING,71.12B,1,,2023-07-03,FR
977484245,AU BONHEUR D'APPRENDRE,85.59A,1,,2023-06-24,FR
977486778,VARO FRANCE,82.99Z,1,,2023-06-14,FR
977493501,RPC INGENIERIE,71.12B,2,,2023-07-01,FR
977495167,TERRE D'EAU,71.12B,1,,2023-07-04,FR
977496488,JOUE-LA COMME,58.29C,1,,2023-06-21,FR
977497551,CENTER BUSINESS SCHOOL BY SELFORME,85.59A,1,,2023-07-01,FR
977507409,AG CONSULTING,82.99Z,1,,2023-06-02,FR
977515113,DENIS OLLIVIER CONSEIL,71.12B,1,,2023-07-05,FR
977516319,E.S.B ELEC,71.12B,2,,2023-07-05,FR
977524743,SOLUGRYN,71.12B,3,,2023-07-01,FR
977527928,S.E.M.L. SEM ICY,71.12B,1,,2023-06-05,FR
977534981,CORETEC ENERGY MANAGEMENT FRANCE,71.12B,1,,2023-06-27,FR
977542463,ARKIN VRD,71.12B,1,,2023-06-29,FR
977548106,ME PORTAGE,82.99Z,1,,2023-06-23,FR
977548833,WEO EUROPE,71.12B,1,,2023-06-30,FR
977555143,GOASSEREN,70.22Z,1,,2023-08-01,FR
977558360,J M H CONSEIL NEGOCE,74.90B,1,,2023-07-03,FR
977569953,BFLEX TECHNO,71.12B,3,,2023-07-01,FR
977574292,L'ETAPE FORMATION,85.59A,1,,2023-07-01,FR
977579531,ARM ENGINEERING,71.12B,1,,2023-06-28,FR
977587526,BASTION,71.12B,1,,2023-07-01,FR
977617653,BELLA CONSTRUCTIONS,71.12B,1,,2023-06-28,FR
977623768,KNOWLEDGE CONSULTING INTERNATIONAL,71.12B,1,,2023-07-01,FR
977640390,SWAX FORMATION,85.59A,1,,2023-07-07,FR
977644806,BEDEM,71.12B,1,,2023-03-16,FR
977647296,LASER VISION DES GRANDS LACS,82.99Z,1,,2023-07-01,FR
977669498,BOUSQUETUDE CONCEPT,71.12B,3,,2023-07-01,FR
977674134,ICET,71.12B,2,,2023-07-13,FR
977675420,LGX CAMPUS,85.59A,2,,2023-07-06,FR
977680628,CFORMCAD3D,85.59A,1,,2023-07-05,FR
977683242,OPERYS,58.29C,1,,2023-07-10,FR
977684315,EVOCIME MANA,85.59A,1,,2023-07-06,FR
977693936,EDN-TECH,71.12B,11,,2023-07-03,FR
977694637,VERT'IM CONSEILS ET DIAGNOSTICS,71.12B,11,,2023-06-20,FR
977697796,EXAEQUO INGENIERIE,71.12B,2,,2023-07-05,FR
977706621,BACHELET EXPERT FORESTIER,71.12B,2,,2023-07-01,FR
977716109,LT SERVICE,82.99Z,1,,2023-07-07,FR
977726330,LFA,85.59A,2,,2023-07-12,FR
977728328,BIOLEVATE SAS,58.29C,1,,2023-07-04,FR
977730332,ARCHE & CIEL,82.99Z,11,,2023-07-03,FR
977736347,ETUDES & PROJETS,71.12B,1,,2023-07-15,FR
977759356,AEDES DEVELOPPEMENT,71.12B,2,,2023-01-01,FR
977820604,ADC SERVICES,71.12B,1,,2023-07-06,FR
977830108,SMARTALY PRD,71.12B,1,,2023-08-01,FR
977833474,11H16,59.11B,1,,2023-06-29,FR
977834928,MISTER IA,85.59A,1,,2023-07-10,FR
977842590,STAGIOS,82.99Z,1,,2023-07-05,FR
977844489,EKLEPSIS,59.11B,1,,2023-07-12,FR
977861905,QOLIBRIS,71.12B,1,,2023-07-13,FR
977874114,ARITEX ATLANTIC,71.12B,1,,2023-08-01,FR
977877232,DIGIZED,58.29C,1,,2023-07-04,FR
977892488,EVEYO,85.59A,1,,2023-05-14,FR
977914175,IPOLITE,47.43Z,11,,2023-07-19,FR
977921295,DYNAMIC MAKERS SALES,82.99Z,2,,2023-07-01,FR
977924737,4ALL ENERGY,71.12B,1,,2023-07-08,FR
977926047,BDCN,82.99Z,1,,2023-07-19,FR
977926096,PHYSIOBOTIC,62.01Z,2,,2023-07-13,FR
977929504,KARINE ATROCHE - ILYAKA FORMATION,85.59A,1,,2023-08-01,FR
977936384,DELTA FIELD CONSULTANTS,71.12B,1,,2023-07-20,FR
977938604,ORSA INGIENERIE,71.12B,1,,2023-07-14,FR
977941426,DELTA VRD INGENIERIE,71.12B,1,,2023-07-20,FR
977941723,TRAONIENN,82.30Z,1,,2023-06-30,FR
977942069,SISTO ARMATUREN S.A.,71.12B,1,,2023-04-01,FR
977953264,FORM.ECARE,85.59A,1,,2023-07-04,FR
977957638,TEAM,71.12B,1,,2023-07-19,FR
977959444,ALL MANAGER,58.29C,1,,2023-07-20,FR
977964311,MBMC,58.29C,2,,2023-07-17,FR
977971159,AZ SERVICES,43.34Z,1,,2023-07-19,FR
977971308,MR SOLUTIONS AND CONSULTING,71.12B,1,,2023-07-05,FR
977972025,INGENIERIE FLUIDES ENERGIE CONSEILS (IFEC),71.12B,1,,2023-07-05,FR
977986512,UNALOM CONNEXION,85.59A,1,,2023-08-01,FR
977992403,FERROMODAL CONSEILS,71.12B,1,,2023-07-13,FR
977992635,PICASSEO,58.29C,1,,2023-08-01,FR
978018588,EXCELLO,71.12B,1,,2023-08-18,FR
978020758,MYELIN COLLECTIVITES,85.59A,1,,2023-07-19,FR
978020915,MYEL'IN LOT,85.59A,1,,2023-07-19,FR
978024651,INSTITUT DE FORMATION AUX METIERS DU SPORT 13,85.59A,1,,2023-07-04,FR
978054062,SJG,59.11B,1,,2023-08-01,FR
978058642,IKN FORMATION,85.59A,3,,2023-07-24,FR
978066264,NCR COMMERCE FRANCE,62.01Z,12,,2023-07-21,FR
978068724,SUPPLY DROP,58.29C,1,,2023-07-24,FR
978072627,ZEFIR CONSULTING,85.59A,1,,2023-07-20,FR
978080349,LBLR,71.12B,1,,2023-07-20,FR
978081776,CREA-PROCESS,71.12B,2,,2023-08-01,FR
978086890,COFAB TECH. ASSISTANCE,71.12B,1,,2023-08-01,FR
978100303,ELECTEKA,43.21A,1,,2023-07-25,FR
978101020,ADAXIAL INGENIERIE,71.12B,1,,2023-07-12,FR
978116531,GEOLUCIE,71.12B,1,,2023-08-01,FR
978120947,RECHERCHE RESEAUX CORSE,71.12B,1,,2023-06-01,FR
978123255,DELTATEC INGENIERIE,71.12B,1,,2023-07-26,FR
978142131,ZIBACOM,71.12B,1,,2023-07-27,FR
978163731,TOITURES GIRONDE SERVICES TGS,43.91B,1,,2023-07-26,FR
978165652,WOUSPEL,82.99Z,1,,2023-06-01,FR
978174027,HDIM,71.12B,2,,2023-07-26,FR
978179570,APJB,58.29C,1,,2023-07-26,FR
978189587,PROVENCE HYDRO ENERGIE,71.12B,2,,2023-07-27,FR
978191013,BEFREE,82.99Z,1,,2023-07-28,FR
978198323,TVES ID,71.12B,2,,2023-08-01,FR
978224608,PHARM'ARTOIS,82.99Z,1,,2023-07-21,FR
978234615,FL CONSEILS,82.99Z,1,,2023-07-31,FR
978238830,NPI ACADEMIE,85.59A,1,,2023-07-06,FR
978251999,ECO-WATT-LUX,43.91B,1,,2023-08-21,FR
978268217,DVMET,71.12B,1,,2023-07-27,FR
978273787,STYLES GROUP EUROPE,71.12B,1,,2023-08-01,FR
978299097,L'ACADEMIE DES COMPETENCES FORMATION,85.59A,1,,2023-08-01,FR
978315323,RENCO ENERGIES,74.90B,3,,2023-07-27,FR
978331254,MONSIEUR ALEX PRODUCTIONS,59.11B,1,,2023-08-01,FR
978335396,ENEDIS -D/IG,71.12B,1,,2023-06-21,FR
978336949,AA RESULTATS,70.22Z,1,,2023-09-01,FR
978344182,WEEPORT,82.99Z,1,,2023-08-03,FR
978345510,AE CONSEIL,71.12B,1,,2023-09-01,FR
978348316,PROMOTIV,85.59A,1,,2023-08-02,FR
978348639,AD PROCESS,70.22Z,1,,2023-09-01,FR
978356087,ROBOTSPE MEALET,71.12B,1,,2023-09-01,FR
978363273,OXYDIO,71.12B,1,,2023-08-02,FR
978365757,CAMPUS PRIVE MARSEILLE,85.59A,2,,2023-07-31,FR
978370013,SKYLAST,85.59A,1,,2023-08-03,FR
978391761,CAMPUS PRIVE RENNES,85.59A,2,,2023-07-31,FR
978411114,MX ENGINEERING,71.12B,1,,2023-08-04,FR
978411833,L.M.V CONSULT,71.12B,1,,2023-07-21,FR
978422491,THAI-DEVELOPPEMENT,82.99Z,1,,2023-08-02,FR
978428951,SR INVEST,71.12B,1,,2023-08-01,FR
978440642,FREE CITY ENERGY,71.12B,1,,2023-08-07,FR
978447761,B KONSEPT,71.12B,1,,2023-08-04,FR
978447860,CAMPUS PRIVE ROUEN,85.59A,2,,2023-07-31,FR
978450468,BATFIX,71.12B,1,,2023-07-28,FR
978452027,WONDER NOTION,85.59A,1,,2023-08-04,FR
978453322,EMINEO SANTE,85.42Z,12,,2023-06-08,FR
978454577,CAMPUS PRIVE VALENCIENNES,85.59A,1,,2023-07-31,FR
978454734,BEEMS ENGINEERING,71.12B,1,,2023-08-14,FR
978462299,MP CONSEIL HAUTS DE FRANCE,71.12B,1,,2023-07-25,FR
978471142,CAMPUS PRIVE TOURS,85.59A,2,,2023-07-31,FR
978492429,ATELIERS LACHIVER,43.32A,11,,2023-08-09,FR
978517282,ENSUP MARSEILLE,85.59A,3,,2023-08-09,FR
978521664,LIST,82.99Z,2,,2023-08-01,FR
978534543,MOBILE-FIRST,58.29C,1,,2023-08-08,FR
978549111,CAMPULSE,85.59A,1,,2023-07-07,FR
978557312,SEAPALM,58.29C,1,,2023-08-09,FR
978558633,LD,82.99Z,2,,2023-08-11,FR
978559805,ATY'PIC DEVELOPPEMENT,85.59A,1,,2023-08-11,FR
978598571,QUALOTEL,78.30Z,3,,2023-08-16,FR
978611580,LINTE SERVICES,82.99Z,11,,2023-08-03,FR
978615474,CAMPUS PRIVE MONTPELLIER,85.59A,2,,2023-08-08,FR
978616605,E4C SOLUTIONS,71.12B,1,,2023-08-17,FR
978619526,CAMPUS PRIVE AVIGNON,85.59A,3,,2023-08-08,FR
978627719,EXCEL EVENT'S,90.02Z,1,,2023-08-01,FR
978633154,HALL HIGHWAY SERVICES LTD,71.12B,1,,2023-08-16,FR
978635597,BOSS CAMPUS NANTES,85.59A,2,,2023-08-08,FR
978640258,CAMPUS PRIVE BORDEAUX,85.59A,1,,2023-07-31,FR
978648723,K'SOLUTIONS,68.20B,1,,2023-08-02,FR
978652774,BOSS CAMPUS NICE,85.59A,1,,2023-08-08,FR
978657120,SASU FNCCR,71.12B,12,,2023-07-26,FR
978657625,LEARNIX,85.59A,1,,2023-08-17,FR
978687234,RIQUI,59.11B,1,,2023-08-02,FR
978729093,MIA INNOVATION,71.12B,1,,2023-08-18,FR
978731743,BEHIND THE DOOR,59.11B,1,,2023-08-17,FR
978743060,THERMOETUDE,71.12B,2,,2023-07-29,FR
978743607,ASSORENOVGLOBAL,71.12B,12,,2023-07-27,FR
978753549,FONDASOLUTION,71.12B,1,,2023-09-15,FR
978754695,MAPLE HTL,82.99Z,1,,2023-08-16,FR
978758241,PHYTO PURE LOT,71.12B,1,,2023-08-01,FR
978773448,DPPI LIFESTYLE,59.11B,1,,2023-09-01,FR
978794527,SOFID EST,71.12B,1,,2023-08-21,FR
978797082,INCARI-LABS,58.29C,1,,2023-08-23,FR
978797280,OPTIMA FORMATION,71.12B,1,,2023-08-03,FR
978797629,ATELIER 7HZ,71.12B,1,,2023-08-05,FR
978824290,STUDY FIRST,71.12B,11,,2023-06-30,FR
978836609,MASTERWORK FRANCE,85.59A,1,,2023-08-21,FR
978845956,ECO BTP RECYCLE,71.12B,1,,2023-09-01,FR
978856169,IN FINE RENOV,71.12B,1,,2023-07-30,FR
978856631,CAPTUREA,71.12B,1,,2023-09-01,FR
978890713,ECT SOLUTIONS,71.12B,1,,2023-08-22,FR
978932572,HOMARD BLEU PRODUCTION,59.11B,1,,2023-09-01,FR
978971927,RTS SOLUTIONS,58.29C,2,,2023-09-01,FR
978983997,UNITEE,16.23Z,1,,2023-08-25,FR
979000726,MIRROR 404,58.29C,1,,2023-08-18,FR
979029709,CIAG INDUSTRIE,71.12B,1,,2023-09-01,FR
979037249,YAMO CONSEIL,71.12B,1,,2023-08-30,FR
979042256,LODGE AND B,82.99Z,1,,2023-08-28,FR
979045077,MDS ECHAFAUDAGE,71.12B,2,,2023-09-04,FR
979070091,CFA ACADEMY,85.59A,2,,2023-08-30,FR
979071669,TERECO,71.12B,2,,2023-08-24,FR
979072410,GNI + IDF.,41.10B,1,,2023-08-16,FR
979091139,JORGE GONCALVES CONSULTING,71.12B,1,,2023-08-28,FR
979098837,GCL FORMATION,85.59A,1,,2023-09-01,FR
979129236,JPL-CENTRE,71.12B,1,,2023-08-31,FR
979129715,RIDIOM,71.12B,1,,2023-09-01,FR
979136983,STRUCTURES VAR INGENIERIE,71.12B,2,,2023-08-31,FR
979144581,ELTI PRODUCTION,59.11B,1,,2023-09-04,FR
979193638,AGEC,71.12B,1,,2023-09-01,FR
979194347,MARS RENEWABLE FRANCE,71.12B,1,,2023-09-11,FR
979205333,DROP ACADEMY LYON,85.59A,1,,2023-07-11,FR
979211612,KALLIGEO BE,71.12B,1,,2023-07-24,FR
979211695,JSA2I,71.12B,1,,2023-08-21,FR
979220217,QALYFORM,85.59A,1,,2023-08-18,FR
979230430,CALIBSUN,71.12B,3,,2023-09-01,FR
979249414,MLB INGENIERIE,71.12B,1,,2023-08-28,FR
979250370,ALFI DIGITAL SOLUTIONS,71.12B,2,,2023-07-24,FR
979251980,PIERREVAL ENERGIE,71.12B,1,,2023-09-05,FR
979252830,VETHECO THERMIQUE,71.12B,1,,2023-09-18,FR
979256773,KASADENN PMO,71.12B,2,,2023-09-06,FR
979260411,ORAURE ENERGIE,71.12B,1,,2023-08-03,FR
979281813,PIXELINK,47.43Z,1,,2023-09-01,FR
979291119,MOA,71.12B,1,,2023-09-01,FR
979305414,RMA SERVICES,71.12B,1,,2023-09-08,FR
979309531,RESEAUX ETUDES MEDITERRANEE,71.12B,1,,2023-09-01,FR
979323995,SYNCHESTRA FRANCE,58.29C,1,,2023-08-29,FR
979326303,WOBBLY WAY PRODUCTIONS,59.11B,1,,2023-09-07,FR
979331543,G SOLI,71.12B,2,,2023-09-07,FR
979333705,THERMOSPHR FRANCE,71.12B,1,,2023-09-05,FR
979337300,SEDP,71.12B,1,,2023-08-08,FR
979342516,APYTUDE,85.59A,2,,2023-09-06,FR
979362308,SIL3X,71.12B,1,,2023-08-22,FR
979409687,KELP THERMIQUES,71.12B,1,,2023-09-09,FR
979425857,BOCLINIC GROUPE,82.99Z,1,,2023-08-01,FR
979426871,TRINTECH FRANCE,58.29C,2,,2023-09-05,FR
979435328,NEO SOLAR DEVELOPPEMENT,43.21A,1,,2023-09-01,FR
979448529,SOBREL,71.12B,11,,2023-09-12,FR
979451689,ARION SYSTEM,71.12B,1,,2023-09-18,FR
979452372,ALL IMM BET,71.12B,1,,2023-09-13,FR
979453404,AAB MATERIAUX COMPOSITES,71.12B,1,,2023-09-07,FR
979458841,CAPITOL AUDIO,47.43Z,1,,2023-09-12,FR
979467354,MDV BOUTIQUE,74.10Z,1,,2023-08-15,FR
979470861,QUEINNEC LTD,82.99Z,3,,2023-09-13,FR
979472024,OLYMPE FINANCIAL GROUP,71.12B,1,,2023-09-11,FR
979480886,CLUB TIDY,82.99Z,1,,2023-09-13,FR
979494952,CAPEM,71.20B,1,,2023-08-31,FR
979503489,WYTERA,71.12B,1,,2023-09-01,FR
979506508,BAFIAS ENERGY,71.12B,1,,2023-09-06,FR
979513397,MEENT,71.12B,3,,2023-09-13,FR
979520574,GES PRIME,68.20B,1,,2023-09-11,FR
979523313,ABC RENOV IMMO,71.12B,1,,2023-09-13,FR
979525201,JLL,82.99Z,1,,2023-08-23,FR
979566494,TERRE & CIEL CONSTRUCTOR,71.12B,1,,2023-09-26,FR
979570991,EDITIONS LES FEES MERES,58.11Z,1,,2023-09-18,FR
979572922,GHM CONSEIL,82.99Z,2,,2023-09-20,FR
979595352,WIRE GROUP,09.10Z,1,,2023-09-14,FR
979626496,K2A CONSEILS,71.12B,1,,2023-09-14,FR
979637691,SOCIETE DE CONSEIL ACHAT ET NEGOCE (S.C.A.N.),71.12B,1,,2023-09-19,FR
979645348,FLOWTEC ENGINEERING,71.12B,1,,2023-09-12,FR
979658507,AVANT-GARDE CONSULTING,71.12B,1,,2023-09-15,FR
979660131,QUADRIGE,71.12B,1,,2023-09-19,FR
979670544,EDGE ENGINEERING,71.12B,2,,2023-09-19,FR
979688926,DIRECTPROFS,85.59A,2,,2023-09-18,FR
979694700,ETUDES ELECTRIQUES FRANCE,71.12B,1,,2023-09-19,FR
979711520,WOUAY,58.29C,1,,2023-09-21,FR
979722105,AJC,71.12B,1,,2023-09-01,FR
979725355,SMS FACILITY,82.99Z,1,,2023-09-21,FR
979770013,REALBRAINCO,58.29C,1,,2023-09-18,FR
979798121,SKILLS FRANCE FORMATION,85.59A,1,,2023-09-24,FR
979819703,VESUVIUS PROCESS METRIX,71.12B,3,,2023-08-31,FR
979837606,OZEN ET FILS,82.99Z,1,,2023-09-21,FR
979842135,TETRA INGENIERIE PROVENCE,71.12B,1,,2023-09-25,FR
979868890,KHI PORTAGE,82.99Z,1,,2023-10-06,FR
979880846,ETIG,71.12B,1,,2023-09-22,FR
979899762,AIR ONE FLUIDES,43.22A,1,,2023-09-26,FR
979899895,EVALTHERM,71.12B,1,,2023-09-01,FR
979918307,CLAY FRANCE,71.12B,1,,2023-10-01,FR
979918620,JOSETTE HUB,82.99Z,1,,2023-09-25,FR
979931078,NEWCLEO LEAD REACTORS INNOVATIONS,71.12B,1,,2023-09-22,FR
979945110,PRODSOLPV,82.99Z,1,,2023-09-26,FR
979956273,MAHEN CONSULTING SERVICES,71.12B,1,,2023-01-02,FR
979963816,B.A.B LOGISERVICES,82.99Z,1,,2023-09-27,FR
979976651,KBP COMPANY,59.11B,1,,2023-09-26,FR
979977881,SC2AMO,71.12B,1,,2023-09-28,FR
979989431,ARIA CHANTIERS,71.12B,2,,2023-08-01,FR
979997616,AVENCYS INGENIERIE,71.12B,2,,2023-09-28,FR
980007561,M3F EXPERTISE,70.22Z,1,,2023-09-26,FR
980007629,CPB CONSEIL,85.59A,1,,2023-08-09,FR
980012611,KB MEDICAL,82.99Z,1,,2023-09-25,FR
980075782,ALTHEMA,82.99Z,1,,2023-10-02,FR
980092852,AI2E,71.12B,1,,2023-04-01,FR
980097158,HDR ENERGIES RENOUVELABLES,35.11Z,1,,2023-09-27,FR
980114789,REES,71.12B,1,,2023-10-02,FR
980139885,MAIMMO CONSEIL,71.12B,1,,2023-10-02,FR
980152474,RESEELIENT,71.12B,2,,2023-09-25,FR
980165187,CONSEO CONSEIL ET FORMATION,85.59A,1,,2023-10-01,FR
980181408,ESPRIT VERT DESIGN,71.12B,1,,2023-10-03,FR
980196562,"ETABLISSEMENT SUPERIEUR DU DIGITALE, MARKETING ET NUMERIQUE",85.59A,1,,2023-10-09,FR
980198899,IF EDUCATION GROUP,82.99Z,1,,2023-09-01,FR
980203079,FIMATEC GRENOBLE,71.12B,1,,2023-10-02,FR
980213276,AR-VAL S,71.12B,11,,2023-10-05,FR
