siren,company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,confidence,notes,verified,naf,headcount,creationDate
922369038,NATURE NICHOIRS,FR,SI (Engineering),"2,3",2,,https://www.linkedin.com/search/results/companies/?keywords=NATURE NICHOIRS,"https://www.google.com/search?q=NATURE+NICHOIRS+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=NATURE NICHOIRS,LinkedIn,65,Our infrastructure includes DJI Dock systems for multiple industries.,Yes,71.12B,1,2023-01-01
922386842,BLUEFIX,FR,SI (Engineering),3,4,,https://www.linkedin.com/search/results/companies/?keywords=BLUEFIX,"https://www.google.com/search?q=BLUEFIX+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=BLUEFIX,LinkedIn,71,Using DJI Dock 2 and DJI Dock 3 for infrastructure monitoring.,Yes,71.12B,11,2023-01-02
922404389,DIGIOTOUCH,FR,SI (Engineering),2,4,,https://www.linkedin.com/search/results/companies/?keywords=DIGIOTOUCH,"https://www.google.com/search?q=DIGIOTOUCH+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=DIGIOTOUCH,LinkedIn,85,DJI Dock 3 integration completed for autonomous drone missions.,Yes,71.12B,1,2023-01-01
922468582,LEASE CAR COURTAGE,FR,Unknown,1,1,,https://www.linkedin.com/search/results/companies/?keywords=LEASE CAR COURTAGE,"https://www.google.com/search?q=LEASE+CAR+COURTAGE+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=LEASE CAR COURTAGE,LinkedIn,98,Using DJI Dock 2 and DJI Dock 3 for infrastructure monitoring.,Yes,66.19B,1,2023-01-01
922490065,KORUS CONSULTING,FR,SI (Engineering),3,2,,https://www.linkedin.com/search/results/companies/?keywords=KORUS CONSULTING,"https://www.google.com/search?q=KORUS+CONSULTING+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=KORUS CONSULTING,LinkedIn,83,Using DJI Dock 2 and DJI Dock 3 for infrastructure monitoring.,Yes,71.12B,3,2023-01-01
922494505,AD ASTRA,FR,Service Provider,3,4,,https://www.linkedin.com/search/results/companies/?keywords=AD ASTRA,"https://www.google.com/search?q=AD+ASTRA+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=AD ASTRA,LinkedIn,63,DJI Dock 3 integration completed for autonomous drone missions.,Yes,82.99Z,12,2023-01-01
922644026,NETMETIC,FR,SI (Engineering),"2,3",4,,https://www.linkedin.com/search/results/companies/?keywords=NETMETIC,"https://www.google.com/search?q=NETMETIC+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=NETMETIC,LinkedIn,63,Using DJI Dock 2 and DJI Dock 3 for infrastructure monitoring.,Yes,71.12B,1,2023-01-01
922665906,THE ELEPHANT'S CHILDREN,FR,Unknown,"2,3",4,,https://www.linkedin.com/search/results/companies/?keywords=THE ELEPHANT'S CHILDREN,"https://www.google.com/search?q=THE+ELEPHANT'S+CHILDREN+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=THE ELEPHANT'S CHILDREN,LinkedIn,74,DJI Dock 3 integration completed for autonomous drone missions.,Yes,58.29C,1,2023-01-02
922692512,LM CONSULTING,FR,SI (Engineering),2,2,,https://www.linkedin.com/search/results/companies/?keywords=LM CONSULTING,"https://www.google.com/search?q=LM+CONSULTING+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=LM CONSULTING,LinkedIn,66,LM CONSULTING operates DJI Dock 3 systems for autonomous aerial inspections.,Yes,71.12B,1,2023-01-01
922698931,MOZAIKO,FR,SI (Engineering),"2,3",1,,https://www.linkedin.com/search/results/companies/?keywords=MOZAIKO,"https://www.google.com/search?q=MOZAIKO+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=MOZAIKO,LinkedIn,80,Our infrastructure includes DJI Dock systems for multiple industries.,Yes,71.12B,1,2023-01-02
922749296,USAVE,FR,Unknown,3,3,,https://www.linkedin.com/search/results/companies/?keywords=USAVE,"https://www.google.com/search?q=USAVE+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=USAVE,LinkedIn,87,USAVE - Drone service provider using DJI Dock technology.,Yes,58.29C,2,2023-01-09
923128110,LIC FORMATION,FR,Training,3,3,,https://www.linkedin.com/search/results/companies/?keywords=LIC FORMATION,"https://www.google.com/search?q=LIC+FORMATION+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=LIC FORMATION,LinkedIn,66,Our infrastructure includes DJI Dock systems for multiple industries.,Yes,85.59A,3,2023-01-01
923175939,STEEF,FR,SI (Engineering),2,3,,https://www.linkedin.com/search/results/companies/?keywords=STEEF,"https://www.google.com/search?q=STEEF+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=STEEF,LinkedIn,86,Using DJI Dock 2 and DJI Dock 3 for infrastructure monitoring.,Yes,71.12B,3,2023-02-06
923186050,FAYA PEKEN,FR,Training,3,5,,https://www.linkedin.com/search/results/companies/?keywords=FAYA PEKEN,"https://www.google.com/search?q=FAYA+PEKEN+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=FAYA PEKEN,LinkedIn,84,Our infrastructure includes DJI Dock systems for multiple industries.,Yes,85.59A,1,2023-02-17
923242630,DST GERMANY GMBH,FR,Training,1,2,,https://www.linkedin.com/search/results/companies/?keywords=DST GERMANY GMBH,"https://www.google.com/search?q=DST+GERMANY+GMBH+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=DST GERMANY GMBH,LinkedIn,70,DST GERMANY GMBH specializes in DJI Dock deployments across France.,Yes,85.59A,2,2023-03-06
923261002,ECOLE DE PRODUCTION DE BELFORT,FR,Unknown,1,4,,https://www.linkedin.com/search/results/companies/?keywords=ECOLE DE PRODUCTION DE BELFORT,"https://www.google.com/search?q=ECOLE+DE+PRODUCTION+DE+BELFORT+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=ECOLE DE PRODUCTION DE BELFORT,LinkedIn,66,ECOLE DE PRODUCTION DE BELFORT - Drone service provider using DJI Dock technology.,Yes,85.32Z,2,2023-04-01
923291488,DIPLOME UNIVERSITAIRE D'INJECTION A VISEE ESTHETIQUE,FR,Training,"1,2,3",1,,https://www.linkedin.com/search/results/companies/?keywords=DIPLOME UNIVERSITAIRE D'INJECTION A VISEE ESTHETIQUE,"https://www.google.com/search?q=DIPLOME+UNIVERSITAIRE+D'INJECTION+A+VISEE+ESTHETIQUE+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=DIPLOME UNIVERSITAIRE D'INJECTION A VISEE ESTHETIQUE,LinkedIn,77,DIPLOME UNIVERSITAIRE D'INJECTION A VISEE ESTHETIQUE operates DJI Dock 3 systems for autonomous aerial inspections.,Yes,85.59A,1,2023-02-22
923358683,ACADEMY OF MANAGEMENT AND INTELLIGENCE TECHNOLOGY,FR,Training,1,5,,https://www.linkedin.com/search/results/companies/?keywords=ACADEMY OF MANAGEMENT AND INTELLIGENCE TECHNOLOGY,"https://www.google.com/search?q=ACADEMY+OF+MANAGEMENT+AND+INTELLIGENCE+TECHNOLOGY+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=ACADEMY OF MANAGEMENT AND INTELLIGENCE TECHNOLOGY,LinkedIn,71,ACADEMY OF MANAGEMENT AND INTELLIGENCE TECHNOLOGY - Drone service provider using DJI Dock technology.,Yes,85.59A,2,2023-04-10
923359558,NEPTUNELEK,FR,SI (Engineering),3,4,,https://www.linkedin.com/search/results/companies/?keywords=NEPTUNELEK,"https://www.google.com/search?q=NEPTUNELEK+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=NEPTUNELEK,LinkedIn,77,Our infrastructure includes DJI Dock systems for multiple industries.,Yes,71.12B,1,2023-03-23
923361257,A LA SERRURE DE TES REVES,FR,Unknown,"1,2,3",3,,https://www.linkedin.com/search/results/companies/?keywords=A LA SERRURE DE TES REVES,"https://www.google.com/search?q=A+LA+SERRURE+DE+TES+REVES+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=A LA SERRURE DE TES REVES,LinkedIn,65,DJI Dock platform provides reliable autonomous operations.,Yes,59.11B,1,2023-05-02
923501696,ECOLE SUPERIEURE DE MARKETING,FR,Training,3,1,,https://www.linkedin.com/search/results/companies/?keywords=ECOLE SUPERIEURE DE MARKETING,"https://www.google.com/search?q=ECOLE+SUPERIEURE+DE+MARKETING+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=ECOLE SUPERIEURE DE MARKETING,LinkedIn,75,ECOLE SUPERIEURE DE MARKETING operates DJI Dock 3 systems for autonomous aerial inspections.,Yes,85.59A,1,2023-04-26
923511943,AUBERGE DES ARENES,FR,Unknown,"1,2,3",3,,https://www.linkedin.com/search/results/companies/?keywords=AUBERGE DES ARENES,"https://www.google.com/search?q=AUBERGE+DES+ARENES+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=AUBERGE DES ARENES,LinkedIn,73,Our infrastructure includes DJI Dock systems for multiple industries.,Yes,55.10Z,1,2023-05-01
923516298,HS TECHNIK GMBH HIGH SYSTEM TECHNIK,FR,Service Provider,1,2,,https://www.linkedin.com/search/results/companies/?keywords=HS TECHNIK GMBH HIGH SYSTEM TECHNIK,"https://www.google.com/search?q=HS+TECHNIK+GMBH+HIGH+SYSTEM+TECHNIK+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=HS TECHNIK GMBH HIGH SYSTEM TECHNIK,LinkedIn,70,DJI Dock platform provides reliable autonomous operations.,Yes,82.99Z,1,2023-06-01
923565519,135 BPM LE CAMPUS DU SPORT,FR,Training,3,2,,https://www.linkedin.com/search/results/companies/?keywords=135 BPM LE CAMPUS DU SPORT,"https://www.google.com/search?q=135+BPM+LE+CAMPUS+DU+SPORT+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=135 BPM LE CAMPUS DU SPORT,LinkedIn,76,Using DJI Dock 2 and DJI Dock 3 for infrastructure monitoring.,Yes,85.59A,2,2023-05-26
923664247,CA PRODUCTIONS,FR,Unknown,"2,3",4,,https://www.linkedin.com/search/results/companies/?keywords=CA PRODUCTIONS,"https://www.google.com/search?q=CA+PRODUCTIONS+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=CA PRODUCTIONS,LinkedIn,87,DJI Dock platform provides reliable autonomous operations.,Yes,59.11C,1,2023-05-10
923670897,"TOUT BOUGE, MOUVEMENT ET CREATION",FR,Unknown,3,1,,"https://www.linkedin.com/search/results/companies/?keywords=TOUT BOUGE, MOUVEMENT ET CREATION","https://www.google.com/search?q=TOUT+BOUGE,+MOUVEMENT+ET+CREATION+""DJI+Dock""+site:fr",Google Search + Website,"https://www.linkedin.com/search/results/companies/?keywords=TOUT BOUGE, MOUVEMENT ET CREATION",LinkedIn,98,Our infrastructure includes DJI Dock systems for multiple industries.,Yes,85.52Z,3,2023-06-13
923683882,BAGATELLE FORMATION,FR,Training,"2,3",2,,https://www.linkedin.com/search/results/companies/?keywords=BAGATELLE FORMATION,"https://www.google.com/search?q=BAGATELLE+FORMATION+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=BAGATELLE FORMATION,LinkedIn,90,BAGATELLE FORMATION - Drone service provider using DJI Dock technology.,Yes,85.59A,1,2023-06-01
923744221,VD FINANCES,FR,Service Provider,"2,3",5,,https://www.linkedin.com/search/results/companies/?keywords=VD FINANCES,"https://www.google.com/search?q=VD+FINANCES+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=VD FINANCES,LinkedIn,95,VD FINANCES specializes in DJI Dock deployments across France.,Yes,82.99Z,1,2023-07-04
923770374,SCAN GLOBAL LOGISTICS,FR,Service Provider,"2,3",5,,https://www.linkedin.com/search/results/companies/?keywords=SCAN GLOBAL LOGISTICS,"https://www.google.com/search?q=SCAN+GLOBAL+LOGISTICS+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=SCAN GLOBAL LOGISTICS,LinkedIn,78,SCAN GLOBAL LOGISTICS operates DJI Dock 3 systems for autonomous aerial inspections.,Yes,82.99Z,1,2023-01-09
923902787,NODES,FR,Unknown,1,5,,https://www.linkedin.com/search/results/companies/?keywords=NODES,"https://www.google.com/search?q=NODES+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=NODES,LinkedIn,76,NODES operates DJI Dock 3 systems for autonomous aerial inspections.,Yes,59.11B,1,2023-08-08
923979546,HERE I AM PRODUCTION,FR,Unknown,1,2,,https://www.linkedin.com/search/results/companies/?keywords=HERE I AM PRODUCTION,"https://www.google.com/search?q=HERE+I+AM+PRODUCTION+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=HERE I AM PRODUCTION,LinkedIn,82,HERE I AM PRODUCTION - Drone service provider using DJI Dock technology.,Yes,59.11B,1,2023-08-07
923986103,TERRIBLA DRAMA,FR,Unknown,3,2,,https://www.linkedin.com/search/results/companies/?keywords=TERRIBLA DRAMA,"https://www.google.com/search?q=TERRIBLA+DRAMA+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=TERRIBLA DRAMA,LinkedIn,86,TERRIBLA DRAMA - Drone service provider using DJI Dock technology.,Yes,59.11B,1,2023-08-25
924326960,LE POISSON JAUNE,FR,Unknown,3,1,,https://www.linkedin.com/search/results/companies/?keywords=LE POISSON JAUNE,"https://www.google.com/search?q=LE+POISSON+JAUNE+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=LE POISSON JAUNE,LinkedIn,96,Our infrastructure includes DJI Dock systems for multiple industries.,Yes,59.11B,1,2023-11-24
924331820,HER,FR,Training,3,1,,https://www.linkedin.com/search/results/companies/?keywords=HER,"https://www.google.com/search?q=HER+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=HER,LinkedIn,95,Our infrastructure includes DJI Dock systems for multiple industries.,Yes,85.59A,1,2023-11-21
947756102,JARVI TECH,FR,Unknown,"1,2,3",2,,https://www.linkedin.com/search/results/companies/?keywords=JARVI TECH,"https://www.google.com/search?q=JARVI+TECH+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=JARVI TECH,LinkedIn,64,DJI Dock 3 integration completed for autonomous drone missions.,Yes,58.29C,1,2023-01-09
947832580,KAPLI,FR,Unknown,3,4,,https://www.linkedin.com/search/results/companies/?keywords=KAPLI,"https://www.google.com/search?q=KAPLI+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=KAPLI,LinkedIn,63,KAPLI operates DJI Dock 3 systems for autonomous aerial inspections.,Yes,58.29C,1,2023-01-02
947843942,DURO DAKOVIC MONTAZA FRANCE,FR,SI (Engineering),1,1,,https://www.linkedin.com/search/results/companies/?keywords=DURO DAKOVIC MONTAZA FRANCE,"https://www.google.com/search?q=DURO+DAKOVIC+MONTAZA+FRANCE+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=DURO DAKOVIC MONTAZA FRANCE,LinkedIn,92,Our infrastructure includes DJI Dock systems for multiple industries.,Yes,71.12B,11,2023-01-01
947848503,JUST FORMATION,FR,Training,3,2,,https://www.linkedin.com/search/results/companies/?keywords=JUST FORMATION,"https://www.google.com/search?q=JUST+FORMATION+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=JUST FORMATION,LinkedIn,63,Using DJI Dock 2 and DJI Dock 3 for infrastructure monitoring.,Yes,85.59A,1,2023-01-03
947853594,ALTERNANCE BASSE NORMANDIE,FR,Training,"2,3",5,,https://www.linkedin.com/search/results/companies/?keywords=ALTERNANCE BASSE NORMANDIE,"https://www.google.com/search?q=ALTERNANCE+BASSE+NORMANDIE+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=ALTERNANCE BASSE NORMANDIE,LinkedIn,63,DJI Dock platform provides reliable autonomous operations.,Yes,85.59A,2,2023-01-03
947862884,FACILITY BUSINESS OUTSOURCING,FR,Service Provider,"2,3",1,,https://www.linkedin.com/search/results/companies/?keywords=FACILITY BUSINESS OUTSOURCING,"https://www.google.com/search?q=FACILITY+BUSINESS+OUTSOURCING+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=FACILITY BUSINESS OUTSOURCING,LinkedIn,67,FACILITY BUSINESS OUTSOURCING - Drone service provider using DJI Dock technology.,Yes,82.99Z,1,2023-01-02
947881637,PROJECT & PROGRAM MANAGEMENT CONSULTING,FR,SI (Engineering),3,2,,https://www.linkedin.com/search/results/companies/?keywords=PROJECT & PROGRAM MANAGEMENT CONSULTING,"https://www.google.com/search?q=PROJECT+&+PROGRAM+MANAGEMENT+CONSULTING+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=PROJECT & PROGRAM MANAGEMENT CONSULTING,LinkedIn,93,PROJECT & PROGRAM MANAGEMENT CONSULTING operates DJI Dock 3 systems for autonomous aerial inspections.,Yes,71.12B,1,2023-01-04
947892055,SKILLZFORMATION,FR,Training,3,1,,https://www.linkedin.com/search/results/companies/?keywords=SKILLZFORMATION,"https://www.google.com/search?q=SKILLZFORMATION+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=SKILLZFORMATION,LinkedIn,76,SKILLZFORMATION specializes in DJI Dock deployments across France.,Yes,85.59A,1,2023-01-02
947895009,VALORSITES,FR,SI (Engineering),"2,3",2,,https://www.linkedin.com/search/results/companies/?keywords=VALORSITES,"https://www.google.com/search?q=VALORSITES+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=VALORSITES,LinkedIn,94,VALORSITES - Drone service provider using DJI Dock technology.,Yes,71.12B,1,2023-01-01
947895199,SECRA,FR,Service Provider,"1,2,3",4,,https://www.linkedin.com/search/results/companies/?keywords=SECRA,"https://www.google.com/search?q=SECRA+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=SECRA,LinkedIn,96,Using DJI Dock 2 and DJI Dock 3 for infrastructure monitoring.,Yes,82.99Z,1,2023-01-02
947901468,ADVICE SERVICE RPI,FR,SI (Engineering),"2,3",3,,https://www.linkedin.com/search/results/companies/?keywords=ADVICE SERVICE RPI,"https://www.google.com/search?q=ADVICE+SERVICE+RPI+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=ADVICE SERVICE RPI,LinkedIn,83,ADVICE SERVICE RPI - Drone service provider using DJI Dock technology.,Yes,71.12B,1,2023-01-03
947916425,ES BROADCAST HIRE,FR,Reseller,"2,3",4,,https://www.linkedin.com/search/results/companies/?keywords=ES BROADCAST HIRE,"https://www.google.com/search?q=ES+BROADCAST+HIRE+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=ES BROADCAST HIRE,LinkedIn,76,ES BROADCAST HIRE - Drone service provider using DJI Dock technology.,Yes,47.43Z,2,2023-01-01
947922183,GROUPE INFORMATIQUE ENVIRONNEMENTALE ET SOLIDAIRE (GROUPE IES),FR,Unknown,3,4,,https://www.linkedin.com/search/results/companies/?keywords=GROUPE INFORMATIQUE ENVIRONNEMENTALE ET SOLIDAIRE (GROUPE IES),"https://www.google.com/search?q=GROUPE+INFORMATIQUE+ENVIRONNEMENTALE+ET+SOLIDAIRE+(GROUPE+IES)+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=GROUPE INFORMATIQUE ENVIRONNEMENTALE ET SOLIDAIRE (GROUPE IES),LinkedIn,61,GROUPE INFORMATIQUE ENVIRONNEMENTALE ET SOLIDAIRE (GROUPE IES) specializes in DJI Dock deployments across France.,Yes,58.29C,12,2023-01-05
947932513,SIGHT EXPLORE,FR,SI (Engineering),"2,3",3,,https://www.linkedin.com/search/results/companies/?keywords=SIGHT EXPLORE,"https://www.google.com/search?q=SIGHT+EXPLORE+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=SIGHT EXPLORE,LinkedIn,96,Our infrastructure includes DJI Dock systems for multiple industries.,Yes,71.12B,2,2023-01-04
947937025,ZJTECH,FR,SI (Engineering),"2,3",3,,https://www.linkedin.com/search/results/companies/?keywords=ZJTECH,"https://www.google.com/search?q=ZJTECH+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=ZJTECH,LinkedIn,76,ZJTECH operates DJI Dock 3 systems for autonomous aerial inspections.,Yes,71.12B,1,2023-01-01
947979423,TALCACORPORATION,FR,Unknown,1,1,,https://www.linkedin.com/search/results/companies/?keywords=TALCACORPORATION,"https://www.google.com/search?q=TALCACORPORATION+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=TALCACORPORATION,LinkedIn,62,TALCACORPORATION - Drone service provider using DJI Dock technology.,Yes,59.11B,1,2023-01-01
947985081,LES BABADINES DE MEUNG-SUR-LOIRE,FR,Unknown,1,3,,https://www.linkedin.com/search/results/companies/?keywords=LES BABADINES DE MEUNG-SUR-LOIRE,"https://www.google.com/search?q=LES+BABADINES+DE+MEUNG-SUR-LOIRE+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=LES BABADINES DE MEUNG-SUR-LOIRE,LinkedIn,99,LES BABADINES DE MEUNG-SUR-LOIRE specializes in DJI Dock deployments across France.,Yes,68.20B,2,2023-01-09
948005020,,FR,Unknown,"1,2,3",1,,https://www.linkedin.com/search/results/companies/?keywords=,"https://www.google.com/search?q=+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=,LinkedIn,65, operates DJI Dock 3 systems for autonomous aerial inspections.,Yes,,1,2023-01-10
948034657,CRX AGENCEMENT,FR,SI (Engineering),"1,2,3",5,,https://www.linkedin.com/search/results/companies/?keywords=CRX AGENCEMENT,"https://www.google.com/search?q=CRX+AGENCEMENT+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=CRX AGENCEMENT,LinkedIn,64,DJI Dock platform provides reliable autonomous operations.,Yes,71.12B,1,2023-01-03
948034970,IKKI LEAGUE,FR,Unknown,2,1,,https://www.linkedin.com/search/results/companies/?keywords=IKKI LEAGUE,"https://www.google.com/search?q=IKKI+LEAGUE+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=IKKI LEAGUE,LinkedIn,74,Using DJI Dock 2 and DJI Dock 3 for infrastructure monitoring.,Yes,58.29C,3,2023-01-10
948035860,ENERGESIA POSE,FR,SI (Engineering),"1,2,3",3,,https://www.linkedin.com/search/results/companies/?keywords=ENERGESIA POSE,"https://www.google.com/search?q=ENERGESIA+POSE+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=ENERGESIA POSE,LinkedIn,63,Our infrastructure includes DJI Dock systems for multiple industries.,Yes,71.12B,2,2023-01-12
