Company Name,Normalized Name,Domain,Source,Entity Type,Score,Confidence,Website,LinkedIn,City,Employees,Signal Keyword,Snippet
"ATLANTIQUE EXPERTISES DRONES","atlantique expertises drones",,govt_registry,unknown,80,high,,,"",,"NAF_B:70.22Z|provider_kw|structured|emp:02|PME/micro","ATLANTIQUE EXPERTISES DRONES — NAF 70.22Z, emp band 02"
"SB DRONE","sb drone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","SB DRONE — NAF 71.12B, emp band NN"
"DRONE ANALYSE","drone analyse",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro","DRONE ANALYSE — NAF 71.20B, emp band NN"
"SPA3DRONE","spa3drone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","SPA3DRONE — NAF 71.12B, emp band NN"
"ACCESS DRONES","access drones",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","ACCESS DRONES — NAF 71.12B, emp band NN"
"DRONE GROUPE AFRIQUE","drone groupe afrique",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","DRONE GROUPE AFRIQUE — NAF 71.12B, emp band NN"
"ITP DRONE","itp drone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","ITP DRONE — NAF 71.12B, emp band NN"
"ALTUS DRONES SERVICES","altus drones",,govt_registry,unknown,80,high,,,"",,"NAF_B:62.01Z|provider_kw|structured|emp:01|PME/micro","ALTUS DRONES SERVICES — NAF 62.01Z, emp band 01"
"ALIZEA DRONE SAS","alizea drone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","ALIZEA DRONE SAS — NAF 71.12B, emp band NN"
"F.P.A.S DRONES","fpas drones",,govt_registry,unknown,80,high,,,"",,"NAF_A:80.10Z|generic_name|structured|PME/micro","F.P.A.S DRONES — NAF 80.10Z, emp band NN"
"INSPECT'DRONE","inspectdrone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro","INSPECT'DRONE — NAF 71.20B, emp band NN"
"EB DRONE","eb drone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","EB DRONE — NAF 71.12B, emp band NN"
"AIRSUB DRONE","airsub drone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro","AIRSUB DRONE — NAF 71.20B, emp band NN"
"ACCES-DRONE","accesdrone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro","ACCES-DRONE — NAF 71.20B, emp band NN"
"DRONE ENGINEERING","drone engineering",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","DRONE ENGINEERING — NAF 71.12B, emp band NN"
"VP DRONES","vp drones",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","VP DRONES — NAF 71.12B, emp band NN"
"MECADRONE","mecadrone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","MECADRONE — NAF 71.12B, emp band NN"
"PRESTADRONES","prestadrones",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro","PRESTADRONES — NAF 71.20B, emp band NN"
"FACILI TRAVAUX & DRONE","facili travaux drone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","FACILI TRAVAUX & DRONE — NAF 71.12B, emp band NN"
"DRONE-DATA-LAB","dronedatalab",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","DRONE-DATA-LAB — NAF 71.12B, emp band NN"
"ADRONE +","adrone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro","ADRONE + — NAF 71.20B, emp band NN"
"GENIUS DRONE","genius drone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro","GENIUS DRONE — NAF 71.20B, emp band NN"
"FG DRONES ETUDES","fg drones etudes",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","FG DRONES ETUDES — NAF 71.12B, emp band NN"
"DRONES ICARE","drones icare",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro","DRONES ICARE — NAF 71.20B, emp band NN"
"DRONE FRANCAIS","drone francais",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","DRONE FRANCAIS — NAF 71.12B, emp band NN"
"JGM DRONE","jgm drone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro","JGM DRONE — NAF 71.20B, emp band NN"
"DRONE XPRESS","drone xpress",,govt_registry,unknown,80,high,,,"",,"NAF_A:80.10Z|generic_name|structured|PME/micro","DRONE XPRESS — NAF 80.10Z, emp band NN"
"HYDRONET 360","hydronet 360",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","HYDRONET 360 — NAF 71.12B, emp band NN"
"VISION DRONES BOURGOGNE","vision drones bourgogne",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro","VISION DRONES BOURGOGNE — NAF 71.20B, emp band NN"
"F2 DRONE","f2 drone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","F2 DRONE — NAF 71.12B, emp band NN"
"AQUA AIR DRONE","aqua air drone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro","AQUA AIR DRONE — NAF 71.20B, emp band NN"
"TOPODRONE","topodrone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","TOPODRONE — NAF 71.12B, emp band NN"
"XENODRONE","xenodrone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","XENODRONE — NAF 71.12B, emp band NN"
"DRONE & EAU PICARDIE","drone eau picardie",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro","DRONE & EAU PICARDIE — NAF 71.20B, emp band NN"
"DRONEXPLORE","dronexplore",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro","DRONEXPLORE — NAF 71.20B, emp band NN"
"AZIMUT-DRONE","azimutdrone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","AZIMUT-DRONE — NAF 71.12B, emp band NN"
"ECORES DRONE","ecores drone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","ECORES DRONE — NAF 71.12B, emp band NN"
"GEO DRONE XPERT","geo drone xpert",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","GEO DRONE XPERT — NAF 71.12B, emp band NN"
"DRONES DOCKING STATIONS","drones docking stations",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","DRONES DOCKING STATIONS — NAF 71.12B, emp band NN"
"DRONE FLY INSPECT","drone fly inspect",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro","DRONE FLY INSPECT — NAF 71.20B, emp band NN"
"AKP-DRONES","akpdrones",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro","AKP-DRONES — NAF 71.20B, emp band NN"
"DRONE INVESTIGATION","drone investigation",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro","DRONE INVESTIGATION — NAF 71.20B, emp band NN"
"ASESDRONE","asesdrone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro","ASESDRONE — NAF 71.20B, emp band NN"
"DRONE-CAPTURE","dronecapture",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","DRONE-CAPTURE — NAF 71.12B, emp band NN"
"ONITDRONE","onitdrone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","ONITDRONE — NAF 71.12B, emp band NN"
"SCAN TO DRONE","scan to drone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro","SCAN TO DRONE — NAF 71.20B, emp band NN"
"Capture solutions","capture",capture-solutions.fr,dji_reseller_list,reseller,80,high,https://www.capture-solutions.fr/,https://www.linkedin.com/company/capture-solution123,"Saint-Germain-en-Laye",,"DJI Enterprise Dealer","Capture solutions — DJI Enterprise Dealer in Saint-Germain-en-Laye"
"DUMONT SECURITE","dumont securite",dumont-securite.fr,dji_reseller_list,reseller,80,high,https://www.dumont-securite.fr/,https://www.linkedin.com/company/dumont-securite,"Ambérieu-en-Bugey",,"DJI Enterprise Dealer","DUMONT SECURITE — DJI Enterprise Dealer in Ambérieu-en-Bugey"
"Escadrone","escadrone",escadrone.com,dji_reseller_list,reseller,80,high,https://escadrone.com,https://www.linkedin.com/company/escadrone,"Isère",,"DJI Enterprise Dealer","Escadrone — DJI Enterprise Dealer in Isère"
"Flying eye","flying eye",flyingeye.fr,dji_reseller_list,reseller,80,high,https://www.flyingeye.fr,https://www.linkedin.com/company/flyingeye,"Alpes-Maritimes",,"DJI Enterprise Dealer","Flying eye — DJI Enterprise Dealer in Alpes-Maritimes"
"Geomesure","geomesure",geomesure.fr,dji_reseller_list,reseller,80,high,https://www.geomesure.fr,https://www.linkedin.com/company/geomesure,"Hérault",,"DJI Enterprise Dealer","Geomesure — DJI Enterprise Dealer in Hérault"
"NETPIX La Camera embarquée","netpix la camera embarque",lacameraembarquee.fr,dji_reseller_list,reseller,80,high,https://www.lacameraembarquee.fr,https://www.linkedin.com/company/la-camera-embarquee,"Aix-en-Provence",,"DJI Enterprise Dealer","NETPIX La Camera embarquée — DJI Enterprise Dealer in Aix-en-Provence"
"Prodrones","prodrones",prodrones.fr,dji_reseller_list,reseller,80,high,https://www.prodrones.fr,https://www.linkedin.com/company/pro-drones,"Wimille",,"DJI Enterprise Dealer","Prodrones — DJI Enterprise Dealer in Wimille"
"PROTEC SECURITY SYSTEMS","protec security",protecsecuritysystems.fr,dji_reseller_list,reseller,80,high,https://www.protecsecuritysystems.fr/en/home/,https://www.linkedin.com/company/security-systems-by-protec,"Lieusaint",,"DJI Enterprise Dealer","PROTEC SECURITY SYSTEMS — DJI Enterprise Dealer in Lieusaint"
"Rivolier","rivolier",rivolier-sd.com,dji_reseller_list,reseller,80,high,https://www.rivolier-sd.com/,https://www.linkedin.com/company/rivolier-sas,"Abrest",,"DJI Enterprise Dealer","Rivolier — DJI Enterprise Dealer in Abrest"
"Abot","abot",abot.fr,dji_reseller_list,reseller,80,high,https://www.abot.fr,https://www.linkedin.com/company/abot-fr,"Seine-Maritime",,"DJI Enterprise Dealer","Abot — DJI Enterprise Dealer in Seine-Maritime"
"STTL (Service Technique Topographie Laser)","sttl",sttl-topographie.com,dji_reseller_list,reseller,80,high,https://www.sttl-topographie.com/,https://www.linkedin.com/company/sttl,"Rhône",,"DJI Enterprise Dealer","STTL (Service Technique Topographie Laser) — DJI Enterprise Dealer in Rhône"
"VOLTANEO","voltaneo",voltaneo.com,dji_reseller_list,reseller,80,high,https://www.voltaneo.com,https://www.linkedin.com/company/voltaneo,"Clermont-Ferrand",,"DJI Enterprise Dealer","VOLTANEO — DJI Enterprise Dealer in Clermont-Ferrand"
"Dronavia","dronavia",dronavia.com,google_search,operator,77,high,https://dronavia.com/,,"",,"dock 3","dock 3 ×3 (120pts), dji dock ×1 (40pts), sécurité ×3 (30pts)"
"Aptella","aptella",aptella.com,google_search,unknown,77,high,https://aptella.com/,,"",,"dji dock","dji dock ×4 (120pts), dock 3 ×4 (120pts), construction ×4 (30pts), mining ×1 (10pts)"
"Escadrone","escadrone",escadrone.com,google_search,operator,77,high,https://escadrone.com/,,"",,"dji dock","dji dock ×6 (120pts), dock 3 ×6 (120pts), sécurité ×3 (30pts), surveillance ×2 (20pts), infrastructu"
"Telepilote","telepilote",telepilote.store,google_search,reseller,77,high,https://telepilote.store/,,"",,"dji dock","dji dock ×3 (120pts), dock 2 ×3 (120pts), surveillance ×2 (20pts), énergie ×1 (10pts), sécurité ×1 ("
"LYNXDRONE","lynxdrone",,govt_registry,unknown,75,high,,,"",,"NAF_B:74.90B|generic_name|structured|emp:11|PME/micro","LYNXDRONE — NAF 74.90B, emp band 11"
"DRONE XTR","drone xtr",,govt_registry,unknown,75,high,,,"",,"NAF_B:74.90B|generic_name|structured|emp:02|PME/micro","DRONE XTR — NAF 74.90B, emp band 02"
"SPACEDRONE","spacedrone",,govt_registry,unknown,75,high,,,"",,"NAF_B:30.30Z|generic_name|structured|emp:01|PME/micro","SPACEDRONE — NAF 30.30Z, emp band 01"
"DRONELIS","dronelis",,govt_registry,unknown,75,high,,,"",,"NAF_B:70.22Z|generic_name|structured|emp:11|PME/micro","DRONELIS — NAF 70.22Z, emp band 11"
"DRONE REPONSE SECURITE","drone reponse securite",,govt_registry,unknown,75,high,,,"",,"NAF_other:80.20Z|dock_kw|structured|PME/micro","DRONE REPONSE SECURITE — NAF 80.20Z, emp band NN"
"LTN DRONE EXPERTISE","ltn drone expertise",,govt_registry,unknown,75,high,,,"",,"NAF_B:74.90B|provider_kw|structured|PME/micro","LTN DRONE EXPERTISE — NAF 74.90B, emp band NN"
"DSC (DRONE SECURITY CONSULTING)","dsc",,govt_registry,unknown,75,high,,,"",,"NAF_B:74.90B|provider_kw|structured|PME/micro","DSC (DRONE SECURITY CONSULTING) — NAF 74.90B, emp band NN"
"OBJECTIF DRONE PRODUCTION","objectif drone production",,govt_registry,unknown,75,high,,,"",,"NAF_B:30.30Z|generic_name|structured|emp:02|PME/micro","OBJECTIF DRONE PRODUCTION — NAF 30.30Z, emp band 02"
"SARL DRONE VISUAL INSPECTION","sarl drone visual inspection",,govt_registry,unknown,75,high,,,"",,"NAF_other:33.16Z|dock_kw|structured|PME/micro","SARL DRONE VISUAL INSPECTION — NAF 33.16Z, emp band NN"
"DRONE AQUITAINE","drone aquitaine",,govt_registry,unknown,75,high,,,"",,"NAF_B:74.90B|generic_name|structured|emp:02|PME/micro","DRONE AQUITAINE — NAF 74.90B, emp band 02"
"DRONES CENTER INNOVATIONS","drones center innovations",,govt_registry,unknown,75,high,,,"",,"NAF_B:74.90B|provider_kw|structured|PME/micro","DRONES CENTER INNOVATIONS — NAF 74.90B, emp band NN"
"TA TECHDRONE","ta techdrone",,govt_registry,unknown,75,high,,,"",,"NAF_B:74.90B|provider_kw|structured|PME/micro","TA TECHDRONE — NAF 74.90B, emp band NN"
