"Rank","Company","Hit Score","Countries","Industries","Website","Latest Article URL","Latest Article Date","Articles"
"15","ZenaTech Inc.","1.00","US","Construction & Infrastructure; Other: Drone Technology; Other: Research & Development","https://www.zenatech.com","https://news.google.com/rss/articles/CBMiqAFBVV95cUxPUDRPSEE3MWtIZmtZWXRrUmJZTWwyM0NTaURBNXFESXU1Z2Jpbmg3LXcxeUZ6eFctT0dZaUU4eVR6a1FkR0tJYThsMmIxU1dLZS04ZnYxa3FMSl85WjAwMkZjaXd6c1JvR252Wk5pU3pPVVpVQzFwSXBJVUN4Q1VqbkxwRmlPV0JLYXQzaXFyRjFudVJ1WXpIOWpfeGREaDZMbTV0bTJEeUvSAbABQVVfeXFMUHMyQkhkOGE3N1htZ2VrNzBNLVFkWVVKZVFUekQ0ZnVLbVVaTy1FQ04xb3hYRjRGRTlYcjZQTmM5VFFYbWJwdGpUVmF4ZndhTGJ1aUhTSWk1UHQyVEtab2FaWW5SQ3prMmJDU3ZwWmNMd1JaTWlTMFJjY1BzNk9oSEVZNkpVNU02XzJEbi02anVmVW01QzZUc0FXUmlRVXdOT1RUUWk3MDhaV0JQcU5iLWo?oc=5","2025-10-23T07:00:00+00:00","3"
"16","Versaterm","1.00","US","Public Safety & Emergency Response","https://www.versaterm.com","https://news.google.com/rss/articles/CBMiwwFBVV95cUxNSkVVYlJEb0ZLSk1YbWdwempkR2oyT3llVU53dHUzTHpORzBIT1lxbE1JOFpvTXVuWUEtUEtvdG9HUk5pZE9BNmZLV19Vb0J3d0JJbTlHLUR3U2pwUnFMSTFRa0Y5MTdPc0pVRTdDTmxoV1lNWF9OY3VGUWtCSHg2cWpXRF96RC0zRi0wU2pXS3RzX3RDaVVvenRHSmp6WTRBQ0l1TUVNLWdmd1Jadld1OFRjQUQ5cW5iYXZRMk9BV0htamc?oc=5","2025-10-20T07:00:00+00:00","1"
"17","DroneCloud","1.00","UK","Construction & Infrastructure","https://dronecloud.io","https://news.google.com/rss/articles/CBMixAFBVV95cUxPekxmSXVTQ1dYeGJIQ29yaDZTMVNvNmh5Yk5rdVQxQ3oyakJXN0ZKWXJBMHdab1pRTEJpamdkLVYwNDRKY295MVF0QkZkRnJJVzhZTU1JTWU3TmZxdF9vQ3g4QUZ4MWRtWFF4am44dDRJMnAtdzFDYXhJaHU0WTIteHE0U2VxTzViT1FsTW5CYWF1dGhmSEVyc2hNQ2FobWNhQmFGc0ItRi1lNlF2dmU4M3RTQmVLZXJ2U1BPQ3I0a2ZaTDY0?oc=5","2025-09-25T07:00:00+00:00","1"
"18","DBOX","1.00","Lithuania","Public Safety & Emergency Response","https://dbox.lt","https://www.linkedin.com/feed/update/urn:li:activity:7340372190938238977/","2025-06-19T08:03:02.619+00:00","1"
"19","ABTECH","1.00","US","Construction & Infrastructure","https://abtech.com/","https://www.linkedin.com/feed/update/urn:li:activity:7440023586699931648/","2026-03-18T13:31:56+00:00","1"
"20","EuroUSC Italia S.r.l.","1.00","Italy","Public Safety & Emergency Response","https://www.eurousc.it","https://news.google.com/rss/articles/CBMiugFBVV95cUxPQkJEMTdiZ3RZYUx2Ym5zVHdXTEhjVWVibnhiVDZyejl3U29yX1JhNlpZVHhIWjdSZmM1T0x6dkFrVVJpbTNYT05wWW5kZTZldHdJMjVsMGl0VzBfRWZiVjVQOFRKMDJUT3l0Y1M4bF9ESWIwM1RLR3MzZ1YwNUxSNXJLaGtVVzFxZFhaaGlPallSMXBaRGtnbnE5d1N4NkhJZWVsR0N3RGdLZ1NvYVVWRGFwSEFGM3BSa2c?oc=5","2025-10-02T07:00:00+00:00","1"
"21","Dexa","1.00","US","Logistics & Delivery","https://www.flydexa.com","https://dronelife.com/2026/03/xx/grubhub-and-dexa-launch-new-jerseys-first-drone-powered-food-delivery-program/","2026-03-18T09:52:58.411+00:00","1"
"22","BlackSea","1.00","US","Other: Training & Certification","https://blackseatechnologies.com","https://news.google.com/rss/articles/CBMiugFBVV95cUxNaDJ1N1hHQXZLcWt6NElWQXVQM2VuSXBMWi1CWDJ1X2lJaDZRWjV4eUNOZV9IZ2JHZ3ltcDJDbzNoZFhROW5iRHpGX0twdlFIUVM4ekJ1OWltOUFadnE4SkZLdXZORVJwSE5nX2NBQVpOZDc4by1VTUtSUHVqOTNMMWFEY3FRaXJobWYtYUwwQnVYcDhzZjRxcmVNWnd2dXl6TGxCZWtHQXFpT1pCZURxaTJ2dnRCZnRtT3c?oc=5","2025-09-30T07:00:00+00:00","1"
"23","Fidelity Services Group","0.80","South Africa","Perimeter Security & Smart Facilities","https://www.fidelity-services.com","https://www.linkedin.com/feed/update/urn:li:activity:7439974200271970304/","2026-03-18T10:31:56+00:00","3"
"24","24/7 Drone Force","0.80","South Africa","Defense & Security; Perimeter Security & Smart Facilities","https://24-7droneforce.co.za","https://www.linkedin.com/pulse/greater-westmead-association-elevates-safety-surveillance-mfcrf","2026-03-15T07:31:56.001+00:00","3"
"25","Integrated Aerial Systems","0.80","South Africa","Energy & Utilities","https://www.iasystems.co.za","https://www.linkedin.com/feed/update/urn:li:activity:7434873603457916928/","2026-03-05T07:42:54.847+00:00","1"
