ENAC Ref,Date,Authorization Number,Operator,Manufacturer,Model,MTOM,Serial Number,BVLOS,Expiry Date,Country
53085,10/02/2026,ITA-OAT-00220/000,Aermatica3D S.r.l. pec: aermatica3d@pec.it,DJI,Agras T100,Kg. 177,UAAG0056,No,01/03/2027,IT
52800,09/02/2026,ITA-OAT-00218/000,Riccardo Savio pec: savioriccardo@pec-legal.it,JIS,HV50,Kg. 99,0,No,28/02/2027,IT
53002,09/02/2026,ITA-OAT-00219/000,Resec S.r.l. pec: resec@pec.it,DJI,Agras T50,Kg. 103,0,No,28/02/2027,IT
53071,05/02/2026,ITA-OAT-00072/002,FlyingBasket S.r.l. pec: info@pec.flyingbasket.it,FlyingBasket,FB4,Kg. 340,da s/n 01 a s/n 10,No,30/11/2026,IT
53166,05/02/2026,ITA-OAT-00166/001,AgriGeoDron S.r.l.s. pec: agrigeodron.srls@pec.it,DJI,Agras T50,Kg. 103,UAAG 0032-UAAG 0040 -UAAG 0058,No,27/06/2026,IT
53018,29/01/2026,ITA-OAT-00216/000,Techno Sky S.r.l. pec: operazioni@technosky.postecert.it,DJI,Matrice 4,"Kg. 1,43",1581F7K3C252Q00D937D,No,31/12/2026,IT
53171,29/01/2026,ITA-OAT-00197/001,GOM Niguarda pec: postacertificata@pec.ospedaleniguarda.it,Speedbird Aero,DLV-2 A25-EU,Kg. 25,s/n 0028,No,30/04/2026,IT
53110,28/01/2026,ITA-OAT-00217/000,Techno Sky S.r.l. pec: operazioni@technosky.postecert.it,Rafla Srl,Refly 4,Kg. 20,"S/N 2134B25RFL400002,2134B25RFL400003,2134B25RFL400004, 2134B25RFL400005",Si,30/01/2028,IT
53100,23/01/2026,ITA-OAT-00215/000,Riccardo Diamanti pec: riccardodiamanti@superpec.it,DJI,Agras T30,Kg. 78,3U5BJ4F00100GH,No,31/01/2027,IT
53039,16/01/2026,ITA-OAT-00214/000,Golden Lady Company S.p.A. pec: security@goldenladypec.it,DJI,DJI DOCK 2 - M3TD,"Kg. 1,6",YCBMLD0000049,Si,15/01/2027,IT
53146,15/01/2026,ITA-OAT-00202/001,GND Costruzioni Elettriche S.r.l. pec: gndcostruzionielettriche@pec.it,DJI,FlyCart 30,Kg. 95,1581F7C6824CB001P1JH,No,31/01/2026,IT
53087,14/01/2026,ITA-OAT-00213/000,UrbanV S.p.A. pec: urbanvspa@pec.urbanv.it,Speedbird Aero,"DLV-2 A35-EU, DLV-2 B35-EU",Kg. 35,s/n 0029,Si,31/03/2026,IT
52643,19/12/2025,ITA-AOT-00211/000,Az. Agr. La Bandita e Lunadoro S.S. pec: lunadoro@pec.it,DJI,AGRAS T50,Kg. 103,1581F6BUB2466001SB5H,No,31/12/2026,IT
52865,19/12/2025,ITA-OAT-00212/000,Luciano Sandrone S.s.a. pec: sandrone@pec.net,DJI,Agras T50,Kg. 103,1581F6BUB246E0019J6W,No,16/12/2026,IT
53073,17/12/2025,ITA-OAT-00179/001,Symbiotica S.r.l. pec: symbiotica@pecdotcom.it,DJI,Matrice 30 T,"Kg. 4,07",1581F5BM32391001Q1GB,Si,30/06/2026,IT
52889,16/12/2025,ITA-OAT-00210/000,Vigneti360 S.r.l. pec: vigneti360srl@pec.it,DJI,Agras T50,Kg. 103,1581F6BUB246J0011927,No,16/12/2026,IT
53026,16/12/2025,ITA-OAT-00209/000,Techno Sky S.r.l. pec: operazioni@technosky.postecert.it,DJI,Matrice 4,"Kg. 1,43",1581F7K3C252Q00D937D,Si,31/12/2026,IT
53013,10/12/2025,ITA-OAT-00208/000,Vedetta 2 Mondialpol S.p.A. pec: amministrazione.co@pec.mondialpol.it,DJI,M3DT DOCK2/M4TD-DOCK3,Kg. 2,0,Si,31/12/2026,IT
53066,02/12/2025,ITA-OAT-00207/000,UrbanV S.p.A. pec: urbanvspa@pec.urbanv.it,Speedbird Aero,"DLV-2 A35-EU, DLV-2 B35-EU",Kg. 35,s/n 0029,Si,31/12/2026,IT
53074,02/12/2025,ITA-OAT-00173/001,Techno Sky S.r.l. pec: operazioni@technosky.postecert.it,DJI,M30,"Kg. 4,069",1581F5BKB23CD00F008R,Si,31/03/2026,IT
52908,27/11/2025,ITA-OAT-00206/000,Alessandro Zucchini pec: zucchini.droneservice@pec.it,DJI,Agras T50,Kg. 103,1581F6BUB248T001PM47,No,27/11/2026,IT
52725,26/11/2025,ITA-OAT-00205/000,Roberto Ferrarin pec: roberto.ferrarin@pec.it,DJI,Agras T50,Kg. 103,7TNBLLV00302N8,No,31/12/2027,IT
53051,25/11/2025,ITA-OAT-00161/003,UrbanV S.p.A. pec: urbanvspa@pec.urbanv.it,Speedbird Aero,"DLV-2 A35-EU, DLV-2 B35-EU",Kg. 35,s/n 0029,Si,31/12/2026,IT
52541,24/11/2025,ITA-OAT-00062/003,ElyTron Aeronautica S.r.l. pec: elytron1@legalmail.it,Elytron Aeronautica S.r.l.,Talisman S,Kg. 70,"s/n 007, 009, 010, 011",No,31/12/2027,IT
52999,21/11/2025,ITA-OAT-00204/000,SiraLab Robotics S.r.l. pec: siralab@pec.it,Siralab Robotics S.r.l.,X4,Kg. 7,012,Si,06/12/2025,IT
53025,20/11/2025,ITA-OAT-00203/000,PiroTecnica Giuliani S.r.l. pec: pirotecnicagiuliani@arubapec.it,Verge Aero,X1,Kg. 1,da s/n 6200 a 6533 - sciame,No,20/11/2026,IT
52722,17/11/2025,ITA-OAT-00201/000,GOM Niguarda pec: postacertificata@pec.ospedaleniguarda.it,Rigitech,Eiger-03,Kg. 21,16988ER038546,No,31/01/2026,IT
52967,17/11/2025,ITA-OAT-00202/000,GND Costruzioni Elettriche S.r.l. pec: gndcostruzionielettriche@pec.it,DJI,FlyCart 30,Kg. 95,1581F7C6824CB001P1JH,No,31/12/2026,IT
52757,13/11/2025,ITA-AOT-00200/000,AgriObiettivo S.r.l. pec: agriobiettivo@pec.it,DJI,Agras T50,Kg. 103,63YBM6N00200FE,No,14/11/2026,IT
52730,04/11/2025,ITA-OAT-00199/000,Wesii S.r.l. pec: wesii@pec.it,DJI,Matrice 3TD,"Kg. 1,61",1581F6Q8D247300G8JKN,Si,30/06/2026,IT
52836,24/10/2025,ITA-OAT-00198/000,Agri-Farm S.r.l. pec: agri-fsrmsrl@cgn.legalmail.it,DJI,Agras T50,Kg. 103,ITA-6627373,No,31/12/2026,IT
52721,17/10/2025,ITA-OAT-00197/000,GOM Niguarda pec: postacertificata@pec.ospedaleniguarda.it,Speedbird Aero,DLV-2 A25-EU,Kg. 25,UAS s/n 0028,No,31/01/2026,IT
52755,13/10/2025,ITA-OAT-00196/000,Unmanned4You S.r.l. pec: u4yousrl@legalmail.it,DJI,Matrice 350 RTK,"Kg. 9,2",1581F8GKB23690040030,Si,06/10/2026,IT
52693,09/10/2025,ITA-OAT-00195/000,Nova Iter di Claudio Sacripanti pec: novaiter@legalmail.it,FlyingBasket,FB3,Kg. 167,21,No,10/10/2026,IT
52835,08/10/2025,ITA-OAT-00194/000,Drone AG Limited pec:,DJI,Mavic 3E,"Kg. 1,05",1581F5FKC24BK00EY032,Si,07/10/2026,IT
52651,26/09/2025,ITA-OAT-00191/000,Dronus S.p.A. pec: dronus@pec.it,Dronus,K3,"Kg. 5,4",DRNS.5.H0004,Si,24/04/2026,IT
52938,26/09/2025,ITA-OAT-00193/000,Unexgen S.r.l. pec: amministrazione@pec.unexgen.it,DJI,Agras T50,Kg. 103,1581F6BUB236U0010072,No,10/10/2026,IT
52975,26/09/2025,ITA-OAT-00192/000,UrbanV S.p.A. pec: urbanvspa@pec.urbanv.it,SpeedBird Aero,DLV-2 B35-EU,Kg. 35,0029,Si,29/10/2025,IT
52863,25/09/2025,ITA-OAT-00190/000,RaFla S.r.l. pec: rafla@pec.rafla.tech,Rafla S.r.l.,Mars One,Kg. 12,2134B24MROV0001,No,31/10/2025,IT
52754,23/09/2025,ITA-OAT-00187/000,Ditta Individuale Giulio De Simone pec: gdesimon@pec.ording.roma.it,DJI,Agras T50,Kg. 103,1581F6BUB24670010JVH,No,31/12/2026,IT
52815,23/09/2025,ITA-OAT-00188/000,TecnoVolo S.r.l.s. pec: tecnovolosrls@pec.it,DJI,Agras T50,Kg. 103,1581F6BUB246H00195J4,No,31/12/2026,IT
52961,23/09/2025,ITA-OAT-00189/000,PiroTecnica Giuliani S.r.l. pec: pirotecnicagiuliani@arubapec.it,Verge Aero,X1,"Kg. 1,25",From 6200 to 6533,No,28/09/2025,IT
52688,18/09/2025,ITA-OAT-00186/000,Auryn S.r.l. pec: aurynsrl@legalmail.it,Auryn,"AA-270 Swarm Edition, AY-300 Aerotarget","Kg. 24,9",0,Si,31/10/2025,IT
52723,16/09/2025,ITA-OAT-00185/000,AeC di Porcu Chantal C. S.a.s. pec: aecporcuchantalsas@cgn.legalmail.it,DJI,Agras T50,Kg. 103,UAAG0044,No,15/09/2026,IT
52956,16/09/2025,ITA-OAT-00161/002,UrbanV S.p.A. pec: urbanvspa@pec.urbanv.it,SpeedBird Aero,DLV-2 A35-EU and DLV-2 B35-EU,Kg. 35,0029,Si,31/12/2025,IT
52896,12/09/2025,ITA-OAT-00119/003,Pipistrel Italia S.r.l. pec: pipistrel@legalmail.it,Pipistrel,Nuuva V300,Kg. 1700,18968X9180001,No,17/11/2026,IT
52433,10/09/2025,ITA-OAT-00184/000,Areti S.p.A. pec: areti@pec.areti.it,DJI,M30T,"Kg. 3,9",1581F5BKD23AJ00F79UX,Si,09/09/2026,IT
52801,09/09/2025,ITA-OAT-00183/000,Manuel Balacchi pec: manuelbalacchi@pec.confagricoltura.com,DJI,Agras T50,Kg. 103,1581F6BUB2464001U2P6,No,31/12/2026,IT
52826,03/09/2025,ITA-OAT-00182/000,Intersoft Electronics Services Italia S.r.l. pec: intersoft-electronics-srl@pec.it,DJI,Matrice 350 RTK,Kg. 9,1581F6GKB236500400BR,No,30/11/2025,IT
52915,27/08/2025,ITA-OAT-00181/000,PiroTecnica Giuliani S.r.l. pec: pirotecnicagiuliani@arubapec.it,Verge Aero,X1,"Kg. 1,25",From 6200 to 6533,No,01/09/2025,IT
52907,08/08/2025,ITA-OAT-00177/001,Unmanned4You S.r.l. pec: u4yousrl@legalmail.it,DJI,Agras T50,Kg. 103,"63YBM6M00200DF, 7TNBMJU0030J07",No,31/07/2026,IT
52872,07/08/2025,ITA-OAT-00180/000,PiroTecnica Giuliani S.r.l. pec: pirotecnicagiuliani@arubapec.it,Verge Aero,X1,"Kg. 1,25",From 6200 to 6533,No,11/08/2025,IT
52617,28/07/2025,ITA-OAT-00178/000,Milani Green S.A. pec: milanigreen@leagalmail.it,DJI,Agras T50,Kg. 103,63YBLBM0020040,No,31/12/2026,IT
52726,28/07/2025,ITA-OAT-00179/000,Symbiotica S.r.l. pec: symbiotica@pecdotcom.it,DJI,Matrice 30T,"Kg. 4,07",1581F5BM32391001Q1GB,Si,31/12/2026,IT
52789,25/07/2025,ITA-OAT-00177/000,Unmanned4You S.r.l. pec: u4yousrl@legalmail.it,DJI,Agras T50,Kg. 103,63YBM6M00200DF,No,31/07/2026,IT
52888,25/07/2025,ITA-OAT-00146/001,Molise Agrivions S.r.l.s pec: moliseagrivisionsrl@pec.it,DJI,Agras T25,Kg. 58,7TPDMKD00409K8,No,24/07/2026,IT
52615,24/07/2025,ITA-OAT-00176/000,CPL Concordia Soc. Coop. pec: cplconcordiasoccoop@pec.cpl.it,DJI,Matrice 3D,"Kg. 1,6",1581F608D246M001PFBT,Si,31/07/2026,IT
52630,24/07/2025,ITA-OAT-00060/001,SMA Campania S.p.A. pec: smacampaniaspa@pec.it,Dronus,K250,"Kg. 0,3",E018,Si,23/07/2026,IT
52666,22/07/2025,ITA-OAT-00175/000,Città Metropolitana di Firenze pec: cittametropolitana.it@postacert.toscana.it,SenseFly SA,eBee X,"Kg. 1,423",IX-12-31352/1587A0510000T44,No,21/07/2026,IT
52817,18/07/2025,ITA-OAT-00174/000,"Regione Calabria - Dip. Politiche della Montagna, Foreste, Forestazione e Difesa del Suolo - Settore pec: uoa.forestazione@pec.regione.calabria.it",DJI,Matrice 3DT,"Kg. 1,61",Contenuta nel Doc. Allegato 2_ Lista UAS,Si,31/07/2026,IT
52849,15/07/2025,ITA-OAT-00173/000,Techno Sky S.r.l. pec: operazioni@technosky.postecert.it,DJI,M30,"Kg. 4,069",1581F5BKB23CD00F008R,Si,30/09/2025,IT
52874,15/07/2025,ITA-OAT-00169/001,S.A. Dirupi S.S. pec: info@pec.dirupi.com,DJI,Agras T25,Kg. 58,UAAG0031,No,14/07/2027,IT
52733,14/07/2025,ITA-OAT-00170/000,Precision Testing S.r.l. pec: precisiontesting@pec.it,DJI,Agras T10,"Kg. 24,9",4VNBKBF001003D,No,11/07/2026,IT
52783,14/07/2025,ITA-OAT-00172/000,DL Droni S.r.l. pec: dldroni@pec.dldroni.it,DJI,"Matrice 3D, Matrice 3TD","Kg. 1,61",Vedere Doc. lista_ua-dl_droni-nest_generic_dock2,Si,31/12/2026,IT
52785,14/07/2025,ITA-OAT-00171/000,DL Droni S.r.l. pec: dldroni@pec.dldroni.it,DJI,"Matrice 4D, Matrice 4TD","Kg. 2,09",Vedere Doc. lista_ua-dl_droni-nest_generic_dock3,Si,31/12/2026,IT
52620,09/07/2025,ITA-OAT-00169/000,S.A. Dirupi S.S. pec: info@pec.dirupi.com,DJI,Agras T25,Kg. 58,UAAG0032,No,03/07/2027,IT
52724,09/07/2025,ITA-OAT-00168/000,CM Cleaning Co. S.r.l. pec: cmcleaningcosrl@pec-fbitech.it,DJI,Agras T50,Kg. 103,63YBM6M00200DF,No,11/07/2026,IT
52858,09/07/2025,ITA-OAT-00161/001,UrbanV S.p.A. pec: urbanvspa@pec.urbanv.it,SpeedBird Aero,"DLV-2 A-35-EU, DLV-2 B35-EU",Kg. 35,0029,Si,31/12/2025,IT
52842,07/07/2025,ITA-OAT-00108/001,Essentialark S.r.l. pec: essentialark@pec.it,VimDrones,Mazzy Star Drone,"Kg. 0,46",Da s/n 1 a s/n 150,No,31/01/2027,IT
52623,27/06/2025,ITA-OAT-00051/002,Techno Sky S.r.l. pec: operazioni@technosky.postecert.it,Nimbus S.r.l.,PPL-612 Plus Evo XL,Kg. 25,"18817B001001, 18817B003001, 18817B003002, 18817B003003, 18817B003004, 18817B003005",Si,27/06/2026,IT
52624,27/06/2025,ITA-OAT-00052/003,Techno Sky S.r.l. pec: operazioni@technosky.postecert.it,Nimbus S.r.l.,PPL-418,"Kg. 9,9","18817A001001, 18817A001002",Si,27/06/2026,IT
52625,27/06/2025,ITA-OAT-00053/003,Techno Sky S.r.l. pec: operazioni@technosky.postecert.it,Nimbus S.r.l.,PPL-612 Plus Evo XL,Kg. 25,"18817B001001, 18817B003001, 18817B003002, 18817B003003, 18817B003004, 18817B003005",Si,27/06/2026,IT
52636,27/06/2025,ITA-OAT-00167/000,Terna Rete Italia S.p.A. pec: ternareteitaliaspa@pec.terna.it,Autel,Evo Max 4T,"Kg. 1,999",1748FEV3HMA823471873,Si,27/06/2026,IT
52729,27/06/2025,ITA-OAT-00166/000,AgriGeoDron S.r.l.s. pec: agrigeodron.srls@pec.it,DJI,Agras T50,Kg. 103,"UAAG 0032, UAAG 0040",No,27/06/2026,IT
52731,27/06/2025,ITA-OAT-00164/000,TeleSpazio S.p.A. pec: telespazio.qlt@pec.it,DJI,Matrice 300 RTK,Kg. 9,1ZNBK5Q00C00HF,Si,27/06/2026,IT
52747,27/06/2025,ITA-OAT-00165/000,Università degli Studi di Firenze - DAGRI pec: dagri@pec.unifi.it,DJI,Agras T25,Kg. 58,1581F6BUB23AW0012775,No,15/05/2026,IT
52572,19/06/2025,ITA-OAT-00127/001,ABZero S.r.l.s. pec: abzero@pec.it,DroneBase,X6000 Pro RTK,Kg. 25,DBX6000P-0823,Si,10/12/2025,IT
52728,19/06/2025,ITA-OAT-00163/000,LuminousBees S.r.l. pec: luminousbees@pec.it,LuminousBees S.r.l.,LumiBee 6,"Kg. 0,43",da LB-1 a LB-400,No,30/06/2026,IT
52792,18/06/2025,ITA-OAT-00162/000,UrbanV S.p.A. pec: urbanvspa@pec.urbanv.it,SpeedBird,DLV-2 B35-EU,Kg. 35,0029,Si,30/06/2025,IT
52790,11/06/2025,ITA-OAT-00161/000,UrbanV S.p.A. pec: urbanvspa@pec.urbanv.it,SpeedBird Aero,"DLV-2 A35-EU, DLV-2 B35-EU",Kg. 35,0029,Si,31/07/2025,IT
52727,10/06/2025,ITA-OAT-00159/000,Resec S.r.l. pec: resec@pec.it,DJI,Agras T50,Kg. 92,1581F6BUB242V0013H31,No,10/06/2026,IT
52744,10/06/2025,ITA-OAT-00160/000,Distretto Tecnologico Aerospaziale S.c.a.r.l. pec: distretto@pec.dtascarl.it,DJI,Matrice 350 RTK,"Kg. 9,2",1581F6GKB23A800403RB,Si,31/12/2026,IT
52745,10/06/2025,ITA-OAT-00122/001,Amazon Italia Transport S.r.l. pec: amazonitaliatransport@legalmail.it,Amazon Prime Air,MK30 Block10,Kg. 42,"178650101X, 1786501020, 178650100E, 178650100S",Si,30/04/2026,IT
52699,06/06/2025,ITA-OAT-00158/000,Essentialark S.r.l. pec: essentialark@pec.it,DJI,Matrice 3TD,"Kg. 1,61",1581F6Q8D244U00E2D43,Si,30/06/2026,IT
52748,05/06/2025,ITA-OAT-00093/001,Liteo Tech S.r.l. pec: liteotechsrl@pec.it,FlyFire,Kaiken,"Kg. 0,274",Sciame,No,31/05/2026,IT
52791,05/06/2025,ITA-OAT-00141/001,ABZero S.r.l.s. pec: abzero@pec.it,DroneBase S.r.l.,DBX6000P-0823 and DBX8-1000P-0522,Kg. 0,N/A,No,04/06/2026,IT
52176,30/05/2025,ITA-OAT-00157/000,TeleSpazio S.p.A. pec: telespazio.qlt@pec.it,Dronus,Radon X,Kg. 14,SR-UAV-RADX-02 S/N 050,Si,30/05/2026,IT
52715,27/05/2025,ITA-OAT-00119/002,Pipistrel Italia S.r.l. pec: pipistrel@legalmail.it,Pipistrel,Nuuva V300,Kg. 1700,18968X9180001,No,17/11/2026,IT
52750,27/05/2025,ITA-OAT-00156/000,UrbanV S.p.A. pec: urbanvspa@pec.urbanv.it,DJI,Mavic 3 Classic,"Kg. 1,05",1581F67PB237A00300PP,No,31/07/2025,IT
52613,16/05/2025,ITA-OAT-00155/000,Monti del Forno S.s.a. pec: joe@pec.giuseppedellachiesa.com,DJI,Agras T50,Kg. 103,UAAG0036,No,15/05/2026,IT
52668,16/05/2025,ITA-OAT-00153/000,Università degli studi di Torino - DiSAFA pec: disafa@pec.unito.it,DJI,Matrice 600,"Kg. 15,5",M80DHBBR030XFL,No,15/04/2026,IT
52675,16/05/2025,ITA-OAT-00154/000,Università degli studi di Torino - DiSAFA pec: disafa@pec.unito.it,DJI,Agras T25,Kg. 58,7TPDMD900303VE,No,15/04/2026,IT
52586,14/05/2025,ITA-OAT-00152/000,Graglia Geom. Giorgio & C. S.n.c. pec: cinzia@email-pec.it,DJI,Agras T30,Kg. 78,446LJ6C20300UB DJI3WWDZ-30A0B2DD,No,30/10/2025,IT
52749,12/05/2025,ITA-OAT-00135/002,DL Droni S.r.l. pec: dldroni@pec.dldroni.it,DJI,Matrice 3TD,"Kg. 1,61","1581F6Q8D247W00GTJJ4, 1581F6Q8D246R001515N",Si,27/07/2025,IT
52542,22/04/2025,ITA-OAT-00150/000,Hortus Service S.r.l. pec: hortusservice@legalmail.it,DJI,Agras T50,Kg. 103,"63YBLBL002000B, 63YBLBP002000K",No,22/04/2026,IT
52522,21/04/2025,ITA-OAT-00151/000,TopView S.r.l. pec: topview@pec.it,DJI,Matrice 300 RTK,Kg. 9,1ZNDH8500BBMWY,Si,21/04/2027,IT
52414,18/04/2025,ITA-OAT-00148/000,Cardtech S.r.l. pec: cardtechsrl@pecfiscale.it,DJI,3TD,"Kg. 1,61",1581F6Q8D244U00E24BM 1581F6Q8D246N0011TRT,Si,30/04/2026,IT
52616,18/04/2025,ITA-OAT-00149/000,Techno Sky S.r.l. pec: operazioni@technosky.postecert.it,DJI,M30,"Kg. 4,069",1581F5BKB23CD00F008R,Si,18/04/2027,IT
52316,14/04/2025,ITA-OAT-00147/000,Scaligera Drone Solutions di Lanza Matteo pec: dronescaligera@pec.it,DJI,"M350RTK, M300RTK",Kg. 9,"1ZMLH6D001009Z, 1581F6GKB237H004006U, 1581F6GKB237H004006J",Si,14/04/2026,IT
52626,14/04/2025,ITA-OAT-00071/002,Techno Sky S.r.l. pec: operazioni@technosky.postecert.it,Nimbus S.r.l.,PPL-418,"Kg. 9,9","18817A001001, 18817A001002",Si,26/06/2026,IT
52420,11/04/2025,ITA-OAT-00145/000,Vedetta 2 Mondialpol S.p.A. pec: amministrazione.co@pec.mondialpol.it,DJI,Matrice 3D,"Kg. 1,6",1581F6Q8D246M001FZ5L,Si,14/04/2026,IT
52513,11/04/2025,ITA-OAT-00143/000,Heli Protection Europe S.r.l. pec: hpe@pec.it,Leonardo S.p.A.,TBMD-TT,Kg. 13,"ER100001, ER100002",No,10/04/2026,IT
52533,11/04/2025,ITA-OAT-00144/000,Vedetta 2 Mondialpol S.p.A. pec: amministrazione.co@pec.mondialpol.it,DJI,Matrice 3D,"Kg. 1,6",1581F6Q8D243S00CJ71E,Si,14/04/2026,IT
52650,11/04/2025,ITA-OAT-00072/001,FlyingBasket S.r.l. pec: info@pec.flyingbasket.it,FlyingBasket S.r.l.,FB4,Kg. 340,001,No,30/11/2026,IT
52663,11/04/2025,ITA-OAT-00146/000,Molise Agrivions S.r.l.s pec: moliseagrivisionsrl@pec.it,DJI,Agras T25,Kg. 58,7TPDMAF002035K,No,16/04/2026,IT
52563,31/03/2025,ITA-OAT-00142/000,PyroFantasy S.r.l. pec: pirofantasy@pro-pec.it,FlyFire,Kaiken,"Kg. 0,28",Sciame,No,30/04/2026,IT
52631,20/03/2025,2023/IT-1139/AO/002/Rev.02,Guardia di Finanza - Centro di Aviazione pec: m0010407p@pec.gdf.it,Shield AI,VBat 118,Kg. 39,"60, 61, 62, 63, 64",Si,23/04/2026,IT
52587,19/03/2025,ITA-OAT-00141/000,ABZero S.r.l.s. pec: abzero@pec.it,DroneBase S.r.l.,X6000 Pro RTK and 8x1000,Kg. 0,N/A,No,18/03/2026,IT
52560,05/03/2025,2022/IT-1139/AO/001/Rev.05,Tekever II Autonomous Systems Lda pec: tekever@pec-mail.eu,Tekever UAS SA,AR5 Mk2,Kg. 180,"E511, E512",No,31/12/2025,IT
52573,28/02/2025,ITA-OAT-00140/000,TeleSpazio S.p.A. pec: telespazio.qlt@pec.it,DJI,Matrice 300 RTK,Kg. 9,1ZNBK5Q00C00HF,Si,30/05/2025,IT
52203,26/02/2025,ITA-OAT-00139/000,Soradis S.I.A. S.r.l. pec: soradissiasrl@mypec.it,DJI,Agras T30,"Kg. 76,5",3U5BJ4F00100L6,No,25/02/2026,IT
52515,20/02/2025,ITA-OAT-00138/000,GA S.r.l. pec: ga.group.srl@pec.it,DJI,Agras T25,Kg. 58,YCBZTZ00109003,No,31/12/2025,IT
52551,19/02/2025,ITA-OAT-00117/001,Leonardo S.p.A. - Divisione Elettronica - Sistemi di Difesa pec: sistemidifesa_amm@pec.leonardo.com,Pro S3 S.r.l.,Venture Asae V2,"Kg. 4,95",16476VI011A,Si,24/10/2025,IT
52607,19/02/2025,ITA-OAT-00135/001,DL Droni S.r.l. pec: dldroni@pec.dldroni.it,DJI,Matrice 3TD,"Kg. 1,61","1581F6Q8D247W00GTJJ4, 1581F6Q8D246R001515N",Si,27/07/2025,IT
52214,18/02/2025,ITA-OAT-00137/000,Pro.Secur S.r.l.s. pec: prosecur@pec.it,DJI,Agras T30,Kg. 78,455LJ9120100JB,No,17/02/2026,IT
52476,14/02/2025,ITA-OAT-00136/000,Simar S.r.l. pec: simar.srlsm@pec.it,DJI,Agras T30,Kg. 78,3TNDJ8Q0028JYWN,No,31/10/2025,IT
