id,article_id,relevance_score,company,country,city,use_case,signal_type,summary,flytbase_mentioned,persons,entities,drop_reason,is_duplicate,status,actions_taken,reviewed_at,dismissed_at,slack_sent_at,created_at,normalized_url,url_fingerprint,enriched_at,drone_docks,prog_value,implementation_date,industry
scored_article_1773827439433_0_1773827538387,article_1773827439433_0,40,null,US,null,Law Enforcement,REGULATION,"The FAA has launched DiSCVR, a new data tool designed to help law enforcement agencies in the United States identify drones in flight by connecting Remote ID broadcasts with registration and airspace authorization records.",false,[],"[{""name"":""FAA"",""type"":""regulator""},{""name"":""Law Enforcement Agencies"",""type"":""buyer""}]",null,false,new,[],null,null,null,2026-03-18 09:52:18.387+00,dronelife.com/2026/03/xx/faas-discvr-system-helps-law-enforcement-identify-drones-in-flight,dronelife.com/2026/03/xx/faas-discvr-system-helps-law-enforcement-identify-drones-in-flight,null,null,null,null,null
scored_li_run_li_202603181941578_1773863029189_45_1773863155657,li_run_li_202603181941578_1773863029189_45,0,null,null,null,null,OTHER,"A generic market research post about the autonomous drone station market, lacking specific projects or actionable leads.",false,[],"[{""name"":""Readcubess"",""type"":""other"",""linkedin_url"":""https://www.linkedin.com/company/readcubess/posts""}]","Generic market research, no actionable signal.",false,new,[],null,null,null,2026-03-18 19:45:55.657+00,www.linkedin.com/pulse/autonomous-drone-station-market-readcubess-owonf,www.linkedin.com/pulse/autonomous-drone-station-market-readcubess-owonf,null,null,null,null,null
scored_li_run_li_202603181941578_1773863029189_49_1773863155657,li_run_li_202603181941578_1773863029189_49,0,null,null,null,null,OTHER,"A generic market research post about the autonomous drone station market size, share, trends, and outlook, lacking specific projects or actionable leads.",false,[],"[{""name"":""Socialgoodadvocate"",""type"":""other"",""linkedin_url"":""https://www.linkedin.com/company/socialgoodadvocate/posts""}]","Generic market research, no actionable signal.",false,new,[],null,null,null,2026-03-18 19:45:55.657+00,www.linkedin.com/pulse/autonomous-drone-station-market-size-share-trends-outlook-gzxyc,www.linkedin.com/pulse/autonomous-drone-station-market-size-share-trends-outlook-gzxyc,null,null,null,null,null
scored_article_1773653902432_25_1773653952573,article_1773653902432_25,10,null,null,null,null,OTHER,"The article reports on a leaked price list and world release date for the DJI Avata 360, focusing on product marketing.",false,[],"[{""name"":""DJI"",""type"":""oem""}]",OEM product pricing/marketing.,false,new,[],null,null,null,2026-03-16 09:39:12.573+00,news.google.com/rss/articles/cbmigafbvv95cuxqa3rlu3gtbgnnznfon3dxodz4ugfzbmlpbnjob3hayu1tuzngsnbnuhzhwe5ra25pmxrznlpjamxbttvsnnzmamxyof9rykd2z2fbdmhwev9xzzrccetwdenerzlyyvctckn5bvpsdff1whdra25ttw8yyjnyb0swcw,news.google.com/rss/articles/cbmigafbvv95cuxqa3rlu3gtbgnnznfon3dxodz4ugfzbmlpbnjob3hayu1tuzngsnbnuhzhwe5ra25pmxrznlpjamxbttvsnnzmamxyof9rykd2z2fbdmhwev9xzzrccetwdenerzlyyvctckn5bvpsdff1whdra25ttw8yyjnyb0swcw?oc=5,null,null,null,null,null
scored_article_1773653902432_28_1773653952573,article_1773653902432_28,10,null,null,null,null,OTHER,"The article provides early impressions of DJI’s new 360 FPV drone, the Avata 360, focusing on product review and features.",false,[],"[{""name"":""DJI"",""type"":""oem""}]",OEM product review/marketing.,false,new,[],null,null,null,2026-03-16 09:39:12.573+00,news.google.com/rss/articles/cbmilgfbvv95cuxnamg0b2febujjuzjlrvf4m2fptknevuhxmkuysm8xt2hstkjnluy2dxdub1yzvg5pefdrzfvdbu9qyuzps1jwmvfgnwn5z0m4yxl6emewm0toev9lzefulvrlyzjjatfpy2vsd0jwzeluwwr6sthqwudidvlrv0dvvunhrlqwtxc5z2hbrtjhnw1olwlrtee,news.google.com/rss/articles/cbmilgfbvv95cuxnamg0b2febujjuzjlrvf4m2fptknevuhxmkuysm8xt2hstkjnluy2dxdub1yzvg5pefdrzfvdbu9qyuzps1jwmvfgnwn5z0m4yxl6emewm0toev9lzefulvrlyzjjatfpy2vsd0jwzeluwwr6sthqwudidvlrv0dvvunhrlqwtxc5z2hbrtjhnw1olwlrtee?oc=5,null,null,null,null,null
scored_article_1773653902432_18_1773653952573,article_1773653902432_18,0,null,null,null,null,OTHER,"The article discusses a price drop for a DJI Osmo Pocket 3, which is a camera and not a drone product.",false,[],"[{""name"":""DJI"",""type"":""oem""}]",Not a drone product.,false,new,[],null,null,null,2026-03-16 09:39:12.573+00,news.google.com/rss/articles/cbmi7gfbvv95cuxommxsc0phdl92wvbabnvztndkevjjsxrhqndfv0hyewnhauptzddbzfldzgpaqkdsbjc4stczsdbjd0ewzktseghzas1udg4xdezdql9yowvpnxq4whjyr0m0qtdwbdvirmlmemrovhrptnfuoeg5lvg0bgzrzkw0y3y1oulentlmwmx6q0nkedl6r29nuhhiq09lcmhhuvlxndczavjvmec5mk1wngs0zuv3auryodjgakh0a1lvyloys3bzzk5sa1vka2wwcgzlb3bqdexxsuvmcmhwcgrtndzszepmz3ruc1fuqwn3,news.google.com/rss/articles/cbmi7gfbvv95cuxommxsc0phdl92wvbabnvztndkevjjsxrhqndfv0hyewnhauptzddbzfldzgpaqkdsbjc4stczsdbjd0ewzktseghzas1udg4xdezdql9yowvpnxq4whjyr0m0qtdwbdvirmlmemrovhrptnfuoeg5lvg0bgzrzkw0y3y1oulentlmwmx6q0nkedl6r29nuhhiq09lcmhhuvlxndczavjvmec5mk1wngs0zuv3auryodjgakh0a1lvyloys3bzzk5sa1vka2wwcgzlb3bqdexxsuvmcmhwcgrtndzszepmz3ruc1fuqwn3?oc=5,null,null,null,null,null
scored_article_1773653902432_22_1773653952573,article_1773653902432_22,0,null,null,null,null,OTHER,"The article reports on DJI fixing a security bug in its ROMO product, which exposed thousands of homes, likely referring to a smart home device and not a drone.",false,[],"[{""name"":""DJI"",""type"":""oem""}]",OEM product security issue (likely non-drone related).,false,new,[],null,null,null,2026-03-16 09:39:12.573+00,news.google.com/rss/articles/cbmibefvx3lxte1szw1kavbsn0nbnuncc3czuetbohy1tvh4ngvlyjnnrec3ogqxnha0cxfxywxkvvvysmi5txnpexgydtzfdm1pexf0zkxpsudfquxyztbntgvgu1l1bzuzowjjwjbrwlpouwtutg,news.google.com/rss/articles/cbmibefvx3lxte1szw1kavbsn0nbnuncc3czuetbohy1tvh4ngvlyjnnrec3ogqxnha0cxfxywxkvvvysmi5txnpexgydtzfdm1pexf0zkxpsudfquxyztbntgvgu1l1bzuzowjjwjbrwlpouwtutg?oc=5,null,null,null,null,null
scored_article_1773653421506_0_1773679734141,article_1773653421506_0,0,null,null,null,null,OTHER,null,false,[],[],Already captured in a previous run,true,new,[],null,null,null,2026-03-16 16:48:54.141+00,news.google.com/rss/articles/cbmiogfbvv95cuxqm0j6ttbhyxbdshzjbgjscutuq2g3rflxm0u2vzn4a1zaved5uhzmrfvwvnzvehpzx2fsuey2ec1ddwtiemfwdznznhlhslriqwvralrmu20wzgzfzuljvdhwewtrbvdzx1rqym9lvhvcr2i4rgfqzg5sbu80owx4d3hizevqre4wlvfyu2rgr3lzthd0uuw5m21hsmdualfdvve,news.google.com/rss/articles/cbmiogfbvv95cuxqm0j6ttbhyxbdshzjbgjscutuq2g3rflxm0u2vzn4a1zaved5uhzmrfvwvnzvehpzx2fsuey2ec1ddwtiemfwdznznhlhslriqwvralrmu20wzgzfzuljvdhwewtrbvdzx1rqym9lvhvcr2i4rgfqzg5sbu80owx4d3hizevqre4wlvfyu2rgr3lzthd0uuw5m21hsmdualfdvve?oc=5,null,null,null,null,null
scored_article_1773660249249_30_1773679734141,article_1773660249249_30,0,null,null,null,null,OTHER,null,false,[],[],Already captured in a previous run,true,new,[],null,null,null,2026-03-16 16:48:54.141+00,news.google.com/rss/articles/cbmiuwfbvv95cuxnrkp0dvl6ytm4v1bznkhjuy1navhqutzjtnpkdnlbuuxvv2niqnh2og1qzgllbuhzrgzztxbrzuz5bxq3sfdfdwdlu0xwedbnwxladmn2vuv1t0haq3dlaxn6bhfjmwduaerxqxkxqudzduxunf9nr3jjttvndm5veurtww00duk2eelxwgxlzho2m2xwwhzrvktlwufhovdqyniyrxm1lxr3c2gxeu9pb3rzm2hsmg1sbjlb,news.google.com/rss/articles/cbmiuwfbvv95cuxnrkp0dvl6ytm4v1bznkhjuy1navhqutzjtnpkdnlbuuxvv2niqnh2og1qzgllbuhzrgzztxbrzuz5bxq3sfdfdwdlu0xwedbnwxladmn2vuv1t0haq3dlaxn6bhfjmwduaerxqxkxqudzduxunf9nr3jjttvndm5veurtww00duk2eelxwgxlzho2m2xwwhzrvktlwufhovdqyniyrxm1lxr3c2gxeu9pb3rzm2hsmg1sbjlb?oc=5,null,null,null,null,null
scored_article_1773827439433_5_1773827538387,article_1773827439433_5,40,null,US,null,eVTOL/Urban Air Mobility,REGULATION,The U.S. Department of Transportation and FAA have launched an eVTOL Integration Pilot Program to test the operation of flying taxis and other next-generation aerial vehicles in national airspace.,false,[],"[{""name"":""U.S. Department of Transportation"",""type"":""regulator""},{""name"":""FAA"",""type"":""regulator""}]",null,false,new,[],null,null,null,2026-03-18 09:52:18.387+00,dronelife.com/2026/03/xx/dot-and-faa-launch-evtol-integration-pilot-program,dronelife.com/2026/03/xx/dot-and-faa-launch-evtol-integration-pilot-program,null,null,null,null,null
scored_article_1773827439433_7_1773827538387,article_1773827439433_7,40,null,null,null,Counter-UAS / Security,OTHER,"Counter-UAS technology is transitioning from experimental tools to structured global security infrastructure, with governments implementing new deployments and layered defense strategies.",false,[],"[{""name"":""Governments"",""type"":""buyer""}]",null,false,new,[],null,null,null,2026-03-18 09:52:18.387+00,dronelife.com/2026/03/xx/counter-drone-systems-are-moving-from-experiments-to-real-infrastructure,dronelife.com/2026/03/xx/counter-drone-systems-are-moving-from-experiments-to-real-infrastructure,null,null,null,null,null
scored_article_1773827439433_2_1773827538387,article_1773827439433_2,15,null,null,null,null,OTHER,AeroVironment acquired aerospace engineering firm Empirical Systems Aerospace for approximately $200 million to expand its capabilities in advanced aircraft design and manufacturing for unmanned aircraft systems.,false,[],"[{""name"":""AeroVironment"",""type"":""oem""},{""name"":""Empirical Systems Aerospace"",""type"":""partner""}]","OEM product marketing/M&A, not a direct deployment signal from a FlytBase target customer.",false,new,[],null,null,null,2026-03-18 09:52:18.387+00,dronelife.com/2026/03/xx/aerovironment-acquires-esaero-in-200m-deal-expanding-engineering-capabilities-for-defense-and-autonomous-aircraft,dronelife.com/2026/03/xx/aerovironment-acquires-esaero-in-200m-deal-expanding-engineering-capabilities-for-defense-and-autonomous-aircraft,null,null,null,null,null
scored_article_1773653902432_23_1773653952573,article_1773653902432_23,40,null,US,null,null,REGULATION,"The article discusses the potential implications of a US government ban on DJI drones, suggesting the DJI Avata 360 could be the last new model available in the US market.",false,[],"[{""name"":""US government"",""type"":""regulator""},{""name"":""DJI"",""type"":""oem""}]",null,false,new,[],null,null,null,2026-03-16 09:39:12.573+00,news.google.com/rss/articles/cbmifkfvx3lxte9rtkhlv0s5uw5tvnbxzvpkdupocgi0yla4z2nxwwoxexpfckzpt1e3dmjwqjb2em83dm1oedr3cdr1wed3bgfoenzyyxdkdtrtq01qwjd4emd1b0fna09zwnv5ouw2dfo5ug9ate8yvfpyzevvszl1ltjzrehqzw,news.google.com/rss/articles/cbmifkfvx3lxte9rtkhlv0s5uw5tvnbxzvpkdupocgi0yla4z2nxwwoxexpfckzpt1e3dmjwqjb2em83dm1oedr3cdr1wed3bgfoenzyyxdkdtrtq01qwjd4emd1b0fna09zwnv5ouw2dfo5ug9ate8yvfpyzevvszl1ltjzrehqzw?oc=5,null,null,null,null,null
scored_article_1773765627386_33_1773765822776,article_1773765627386_33,35,null,UK,null,BVLOS Drone Operations,OTHER,The UK's Civil Aviation Authority (CAA) has unveiled a roadmap to make Beyond Visual Line of Sight (BVLOS) drone operations routine across the country by 2027.,false,[],"[{""name"":""Civil Aviation Authority"",""type"":""regulator""}]",null,false,new,[],null,null,null,2026-03-17 16:43:42.776+00,news.google.com/rss/articles/cbmidefvx3lxtfbzadhzbxnnztvtrg56cdrgwuj3uzzmchn1dw5frjvlc003qtrmd2vpmhbbdlzirdfbrw9es1jubwgtb0nxaupitc1qvthqzw0zckxjuwjbn0jea2hpr1dktvj2yna3ymfiuflnzel2bk5fr0f5,news.google.com/rss/articles/cbmidefvx3lxtfbzadhzbxnnztvtrg56cdrgwuj3uzzmchn1dw5frjvlc003qtrmd2vpmhbbdlzirdfbrw9es1jubwgtb0nxaupitc1qvthqzw0zckxjuwjbn0jea2hpr1dktvj2yna3ymfiuflnzel2bk5fr0f5?oc=5,null,null,null,null,Other: Regulatory & Policy
scored_article_1773764127831_33_1773764354555,article_1773764127831_33,90,MITS Industries,Ukraine,Kyiv,Defense/Military (drone-as-a-service for advanced drones and counter-drone technologies),EXPANSION,"MITS Capital launched MITS Industries, a new Danish-incorporated company to consolidate Ukrainian defense-tech firms like Tencore, Infozahyst, and Unwave, operating under a ""drone-as-a-service"" model to strengthen European security.",false,"[{""name"":""Perry Boyle"",""role"":""co-founder and CEO; chairman"",""organization"":""MITS Capital; MITS Industries""},{""name"":""Denys Gurak"",""role"":""co-founder and CIO/COO"",""organization"":""MITS Capital""}]","[{""name"":""MITS Capital"",""type"":""partner""},{""name"":""Tencore"",""type"":""partner""},{""name"":""Infozahyst"",""type"":""partner""},{""name"":""Unwave"",""type"":""partner""}]",null,false,new,[],null,null,null,2026-03-17 16:19:14.555+00,news.google.com/rss/articles/cbmifkfvx3lxtfa1atfzv3vydwvmtti1swzxbmlialpqx255c0pxnjnrcnlob2lrnhixwunhdjley3jxuhfrskjftwnxa0k5t3bxnhjxsufvyznkqjhwrjzxwmpca2nka3pcahk0sw9rry1qv0zjshlpung3ek9smkpzmwq2shzezw,news.google.com/rss/articles/cbmifkfvx3lxtfa1atfzv3vydwvmtti1swzxbmlialpqx255c0pxnjnrcnlob2lrnhixwunhdjley3jxuhfrskjftwnxa0k5t3bxnhjxsufvyznkqjhwrjzxwmpca2nka3pcahk0sw9rry1qv0zjshlpung3ek9smkpzmwq2shzezw?oc=5,null,null,null,null,Defense & Security
scored_article_1773660249249_26_1773679734141,article_1773660249249_26,0,null,null,null,null,OTHER,null,false,[],[],Already captured in a previous run,true,new,[],null,null,null,2026-03-16 16:48:54.141+00,news.google.com/rss/articles/cbmijgfbvv95cuxoegtvchnzvzniq1gtv1p2cdzzszf4nel4nedon04tc2lznknoaghycwm4dgtucm83zzvjunzozdjhzgtddjb6rezcb3zxenjowvl5mhz2mfn6r2g4nti0mdz1dkljzxvtruu0ejjrodzywwdrcwzzak0tu3njnunfz3bwei1gem0wbvdfbdvb,news.google.com/rss/articles/cbmijgfbvv95cuxoegtvchnzvzniq1gtv1p2cdzzszf4nel4nedon04tc2lznknoaghycwm4dgtucm83zzvjunzozdjhzgtddjb6rezcb3zxenjowvl5mhz2mfn6r2g4nti0mdz1dkljzxvtruu0ejjrodzywwdrcwzzak0tu3njnunfz3bwei1gem0wbvdfbdvb?oc=5,null,null,null,null,null
scored_article_1773653902432_1_1773655362646,article_1773653902432_1,0,null,null,null,null,OTHER,null,false,[],[],Already captured in a previous run,true,new,[],null,null,null,2026-03-16 10:02:42.646+00,news.google.com/rss/articles/cbmisgfbvv95cuxqz3vozurttg1gnfh4v2zmqu5drjyysuxunxlhvgtpnvf4bzvrbkxvnk5rse5szmdgsnlccgzxy1ywzklfedz2wudjagtedddiakfhrdqwvmhpykfyb1rqnjbmvxpusjrtazjhahgyctbfazjfulhmwmv6ugxxdvzzngdlvwf1oxlfc0tdsf9zqvrhogdqdm9fcxjvz2hwzelpc3jsymdkwhpfzvflmtzttmtn,news.google.com/rss/articles/cbmisgfbvv95cuxqz3vozurttg1gnfh4v2zmqu5drjyysuxunxlhvgtpnvf4bzvrbkxvnk5rse5szmdgsnlccgzxy1ywzklfedz2wudjagtedddiakfhrdqwvmhpykfyb1rqnjbmvxpusjrtazjhahgyctbfazjfulhmwmv6ugxxdvzzngdlvwf1oxlfc0tdsf9zqvrhogdqdm9fcxjvz2hwzelpc3jsymdkwhpfzvflmtzttmtn?oc=5,null,null,null,null,null
scored_article_1773653902432_2_1773655362646,article_1773653902432_2,0,null,null,null,null,OTHER,null,false,[],[],Already captured in a previous run,true,new,[],null,null,null,2026-03-16 10:02:42.646+00,news.google.com/rss/articles/cbmi6gfbvv95cuxoouhmwkfvwwnmt0fuq1nurhhcdm9tsvdpteq0d0n4dv91zlfuqwnytkzhvg9xrvk4ulh1uu1zs2k4n25ubedymuwzewsxudg0m045dudlstvvb1mwvutmbme3rgvndui3ul8xnuhradbbn0posvb6dho4ceg5rgvjb3ftennxq2hdcfpmzdlot0xietr4enpdtedusu9gvexns2ezexdszur3eum4qmj0lwxqafvrqwcyz2xcvljjb2ltahzzelhsvu5yt0w3mjy5qwetu1z5qty1wg10bed6m1fanvvzs29vcgc,news.google.com/rss/articles/cbmi6gfbvv95cuxoouhmwkfvwwnmt0fuq1nurhhcdm9tsvdpteq0d0n4dv91zlfuqwnytkzhvg9xrvk4ulh1uu1zs2k4n25ubedymuwzewsxudg0m045dudlstvvb1mwvutmbme3rgvndui3ul8xnuhradbbn0posvb6dho4ceg5rgvjb3ftennxq2hdcfpmzdlot0xietr4enpdtedusu9gvexns2ezexdszur3eum4qmj0lwxqafvrqwcyz2xcvljjb2ltahzzelhsvu5yt0w3mjy5qwetu1z5qty1wg10bed6m1fanvvzs29vcgc?oc=5,null,null,null,null,null
