Company Name,Responsible Person
Brandon Shane Cunningham,Brandon Cunningham
Terry Gee,Terry Gee
Franklin Wayne Bailey,Franklin Bailey
Desiree Ekstein,Desi Ekstein
David Figueroa,David Figueroa
Nancy Tryon,Nancy Tryon
Archer Daniels Midland,Alex Powers
Christopher Rutledge,Christopher Rutledge
BoomPix LLC,Joseph Ambrose
Aaron David Parecki,Aaron Parecki
Mark Robinson,Mark Robinson
Michael Main,Michael Main
Flying Lion Inc.,James Richardson
Middle Tennessee State University,Kevin Corns
Parker Golden,Parker Golden
Summit Productions LLC,Stephen Campeau
Keith Aubin,Keith Aubin
Michael Ware,Michael Ware
Josh Kolonia,Josh Kolonia
Erik Johnson,Erik Johnson
Steven Cochran,Steven Cochran
"Lucky Drone Services, LLC",Jeremy Irish
SHPR Co. (dba Fliteworks),George Moe
Nathan Smith,Nathan Smith
Brett Koppes,Brett Koppes
Ryan Rash,Ryan Rash
Justin Steele,Justin Steele
Shawn Avery,Shawn Avery
Craig Smith,Craig Smith
My 107,Robert Robles
Caltrans Division of Construction,Aaron Chamberlin
Flying Robot Aerials,Saunders Staley
Michael Mosser,Michael Mosser
Mark Kempton,Mark Kempton
Duane Hellums,Duane Hellums
Carolina Drone Academy,Jeff Hemming
William Deaton,William Deaton
Nicholas Kakavitsas,Nicholas Kakavitsas
Hudson Valley Drones,Keith Perry
Alaska Remote Imaging,Oliver Cotter Nannestad
Travis Miner,Travis Miner
Wilhelm Aubrecht,Wilhelm Aubrecht
Daniel Moosbrugger,Daniel Moosbrugger
"ReadyMonitor, LLC",Jesse Stepler
Pilot Lens,Tylor Cody
Jordan,Jimmy Jordan
Paul Sweigert,Paul Sweigert
TAV Services Inc.,Travis Bell
Mikael Asfoor,Mikael Asfoor
Carl Vanderweyden,Carl Vanderweyden
Xcel Energy,Thomas Stegge
Daryl Back,Daryl Back
Daniel Baek,Daniel Baek
David Beaty,David Beaty
Keith Rosentreter,Keith Rosentreter
City of El Paso,Juan Nevarez
Brent Polite,Brent Polite
John C Bunch,John Bunch
Albert De La Mora,Albert De La Mora
Elliot Gould,Elliot Gould
Dax Neal,Dax Neal
Aaron Goodman,Aaron Goodman
Phillip Michael Perez,Phillip Perez
Phillip Michael Perez,Phillip Perez
Chris Teal,Chris Teal
Matthew Boyd,Matthew Boyd
Richard Shipley,Richard Shipley
William Daugherty,William Daugherty
Justin Jung,Justin Jung
Alaa Semaka,Alaa Semaka
Cameron Goldberg,Cameron Goldberg
Skip Fredricks,Skip Fredricks
Carl Jackson,Carl Jackson
John Launderville,John Launderville
Ned Stacey,Ned Stacey
David Buky,David Buky
Richard Mojeiko,Richard Mojeiko
David Penquite,David Penquite
"Northlight Studio, Inc.",Michael Moenning
Andrew Weinzierl,Andrew Weinzierl
AirFoxPhotographyLLC,John Buvala
Thomas Dowell,Thomas Dowell
Remote Optix Inc.,Stanislav Khlevner
CTX Drone Services,Joseph Anthony
Brian Steiner,Brian Steiner
Darrien Henning,Darrien Henning
David Lee Mozley,David Lee Mozley
"The Flying Jib, LLC",Scott Barrish
Brian Boyd,Brian Boyd
Tyler Rash,Tyler Rash
Ruslan Koval,Ruslan Koval
Joseph Fazioli,Joseph Fazioli
Armando Arviso,Armando Arviso
Fernando del Cid,Fernando del Cid
RoseAnn Castro-Denton,RoseAnn Castro-Denton
RoseAnn Castro-Denton,RoseAnn Castro-Denton
"Drone The News, Inc",Zachary Huffman
Lonnie Valencia,Lonnie Valencia
Jordan Loy,Jordan Loy
Roberto Medina,Roberto Medina
David Buky,David Buky
Steve Fellers,Steve Fellers
Daniel Snyder,Daniel Snyder
David Butts,David Butts
William Healy,William Healy
Creative Images LLC,Darrell Boeck
Adrik Brashear,Adrik Brashear
Francisco Gamino Valdes,Francisco Gamino Valdes
Aaron B Hergenreder,Aaron Hergenreder
UPS Flight Forward Inc.,Michael Ralich
Charles McNulty,Charles McNulty
Brian Waits,Brian Waits
Troy Moss,Troy Moss
Jason Lindenmuth,Jason Lindenmuth
University of Maryland UAS Test Site,Darren Robey
Bechtel,Keaton Denzer
Amy McNeely,Amy McNeely
Peter Schlesinger,Peter Schlesinger
Duane Ingersoll,Duane Ingersoll
Mark Mayo,Mark Mayo
Patrick Krohn,Patrick Krohn
James Pinkston,James Pinkston
"The Ohio State University, Engineering Technology Services",Mark Bolin
AeroSpect Inc.,Edward Kostakis
Anny Chitamnath,Andy Chitamnath
ALDOT,Michael Kyser
Javier Garcia-Rodriguez,Javier Garcia-Rodriguez
Renegade Labs Entertainment Inc.,William Ramey
Sunflower Labs,Alex Pachikov
"Rantizo, Inc.",Danny Fobian
AirFoxPhotographyLLC,John Buvala
AirFoxPhotographyLLC,John Buvala
Teddy Lawing,Teddy Lawing
SKYSTAGE,Matthew Quinn
Jack Hawkins,Jack Hawkins
David Ziegler,David Ziegler
Ron Heerkens Jr,Ronald Heerkens
Hawaiian Electric Companies,Cullen Chong
Turner Construction,Gary Chapman
"American Robotics, Inc.",Brian Grant
Southern Company Services INC,Cody Michaux
Shahin Shahpar,Shahin Shahpar
Alex Vander-Starre,Alex Vander-Starre
Gaetano Antonellis,Gaetano Antonellis
DRONISOS,Laurent Perchais
Dong Won Lee,Dong Won Lee
Brent Bear,Brent Bear
Gaetano Antonellis,Gaetano Antonellis
Alexander Corner,Alexander Corner
Brett Jensen,Brett Jensen
Beverly Hills Aerials,Michael Izquierdo
Erica Neves,Erica Neves
ASARCO,Beverly Furfaro
SEAKdrones LLC,Dennis Sylvia
Nightingale Security,Kyle Roh
James Tracy,James Tracy
Pasco County Sheriff's Office,John Kuch
William Sprague,William Sprague
Eric Pokorny,Eric Pokorny
Cory Humak,Cory Humak
Gaetano Antonellis,Gaetano Antonellis
"Nine Ten Drones, LLC",Paul Rossi
AirFoxPhotographyLLC,John Buvala
Southern Company Services INC,Cody Michaux
AirFoxPhotographyLLC,John Buvala
AirFoxPhotographyLLC,John Buvala
Grand Sky Airfield Operations LLC,Jeffrey Spaeth
Lockheed Martin Aeronautics Company,Justin Blassingame
Ryzein LLC,Finn Johnson
FirstEnergy,Todd Fite
Justin Merrill,Justin Merrill
Paul Chau,Paul Chau
Unmanned Vehicle Technologies,Matthew Rybar
Aarish Panjwani,Aarish Panjwani
Daniel Barker,Daniel Barker
Charles Lupton,Charles Lupton
Derek Slayton,Derek Slayton
Ryan Mason,Ryan Mason
Pburke,Peter Burke
"Global Investigations, Incorporated",Matthew Seavey
Lars Larsen,Lars Larsen
David Buky,David Buky
Pilot Institute,Jason Wood
Unmanned Vehicle Technologies,Matthew Rybar
Chicago Drone Company,Razvan Sera
Celestial Drone Shows,Michael Downs
Warren County Community College,William Austin
Ken Schell,Ken Schell
Caleb Streit,Caleb Streit
Michael Thoreau,Michael Thoreau
Melissa Ellis,Melissa Ellis
Logan,Logan Ellis
City of Goshen Engineering Dept,Boston Snyder
Donald Jones,Donald Jones
Chris Esposito,Chris Esposito
Unmanned Vehicle Technologies,Matthew Rybar
Juneisy Hawkins,Juneisy Hawkins
Stephen Gilbert,Stephen Gilbert
Brian Bartolome,Brian Bartolome
Andrew Ohlson,Andrew Ohlson
Jacob Andrew Wood,Jacob Wood
"HawkView Aerial Solutions, LLC",Craig Brewer
Perez256,Christian Hargrove
"Birdstop, Inc.",Keith Miao
Ryan McCormick,Ryan McCormick
"Northlight Studio, Inc.",Michael Moenning
Pilot Institute,Jason Wood
Matthew Gutacker,Matthew Gutacker
Sky Elements LLC,Preston Ward
Matthew Gozzard,Matthew Gozzard
AgriBugs LLC.,Darren Rajendranath
Innovation Center Aeronautics,Daniel Hernandez
"Dynetics, Inc",Tyler Jackson
American Electric Power,Kenner Prillaman
Cyberhawk Inc,Scott Lashmit
Department of Aviation,Thomas Sugahara
Ryzein LLC,Finn Johnson
DRONISOS,Laurent Perchais
EpiSci,Rohit Pillai
Aurora Flight Sciences,Peter Cooke
Florida Power & Light Company,Eric Schwartz
AirFoxPhotographyLLC,John Buvala
A-Cam Aerials,Thomas Sugahara
American Bird Conservancy,Adam Knox
Lockheed Martin - MFC,Christopher Westmoreland
TrainND,Kenley Nebeker
Alare Technologies LLC.,David Webb
CDM Smith,Brendan Brown
HAWK Photogrammetry Record Technologies Inc,Stephen Philip
SHPR Co.,George Moe
Timothy Barnett,Timothy Barnett
Lockheed Martin - MFC,Christopher Westmoreland
"DST, LLC",Michael Roach
University of Alaska Fairbanks,Nicholas Adkins
"Dynetics, Inc",Nick Harries
University of Maryland UAS Test Site,Darren Robey
Big Sky Aerial Solutions,Austin Seback
Rochester Institute of Technology,Timothy Bauch
PJ Helicopters,Jesse Gibbon
Seiler Instrument,Travis LeMoine
Frontier Precision UAS,Wyatt Robbins
"Skymagic US, Inc",James Blanchard
Joseph Piazza,Justin Springer
Electric Power Research Institute (EPRI),Dexter Lewis
OAIRE,Chris Swan
Nutrien Ag Solutions,Dustin Polasek
Andrew Karp,Andrew Karp
DJI,Javier Caina
Freeport-McMoRan,Dylan Shorthouse
AirFoxPhotographyLLC,John Buvala
AirFoxPhotographyLLC,John Buvala
AirFoxPhotographyLLC,John Buvala
ComEd,Victor Migliore
Bayer North America,Jordan_Pernikoff
Xcel Energy,Thomas Stegge
Freeport-McMoRan,Dylan Shorthouse
DroneUp LLC,Sky Andrew
Freeport-McMoRan,Dylan Shorthouse
Freeport-McMoRan,Dylan Shorthouse
Davey Resource Group,Rachel Miller
El Paso Department of Aviation,Juan Nevarez
Maurilio Espinoza,John Julius
Massachusetts Dept of Transportation - Aeronautics Division UAS,Jeffrey DeCarlo
Michael Haygood,Michael Haygood
TVA UAS,Zackary Whittle
Zipline International Inc.,Eugene McGuinness
Tempest Droneworx,Dana Abramovitz
Warren County Community College,William Austin
417 Drone Imaging LLC,William Preston
COLSA,Christopher Cline
COLSA,Christopher Cline
OAIRE,Emalee Hough
New York Power Authority,Peter Kalaitzidis
East Central Energy,Kyle Palmer
Pilot Institute,Jason Wood
Asylon,Brent McLaughlin
Freeport-McMoRan,Dylan Shorthouse
Freeport-McMoRan,Dylan Shorthouse
Freeport-McMoRan,Dylan Shorthouse
HighPoint AeroTechnologies,John McClelland
"Illuminate Drones, LLC",Jacob Howard
Duke Energy Corporation,Patrick Nemecek
Big Sky Aerial Solutions,Austin Seback
Frontier Precision UAS,Wyatt Robbins
"American Robotics, Inc.",James Gonzalez
"American Robotics, Inc.",Brian Grant
"Robotics 88, Inc.",Erin Linebarger
ADT Mobile Security,Sebastian Voges
Skydio Inc.,Gregory Bushey
Data Blanket,Gur Kimchi
ESAero_BH,Braden Henderson
NUAIR Alliance,Tony Basile
Choctaw Nation of Oklahoma,Marcus Hartman
Caltrans Division of Construction,Aaron Chamberlin
"Hawkinson Aerial Photography, LLC",Bridger Hawkinson
Caltrans Division of Construction,Aaron Chamberlin
Data Blanket,Gur Kimchi
The Ohio Department of Transportation,Daniel Kammer
Zipline International Inc.,Eugene McGuinness
Eversource Energy,Stephen Michna
Eversource Energy,Stephen Michna
Zipline International Inc.,Eugene McGuinness
SHPR Co. (dba Fliteworks),George Moe
Watts Innovations Inc.,Gabe Rivolta
Jim Ray Christopherson,Jim Christopherson
Warren County Community College,Adam Kyle
PegaPod LLC,Randall Bostick
Amazon.com Services LLC,Sorin Leica
Valmont,Brad Wood
Nucor Steel West Virginia,James Siler
"Gary Wayne Mays, Jr.",Gary Mays
Percepto Robotics Inc.,Raviv Raz
CSU Drone Center,Christopher Robertson
Xcel Energy,Thomas Stegge
American Water,Christopher Kahn
Anthony Simek,Anthony Simek
Steiner Drone Photography,Brian Steiner
Dong Won Lee,Dong Won Lee
Live Nation Entertainment,John Nieman
Joseph Piazza,Luke Piazza
A-Cam Aerials,Thomas Sugahara
"Matador UAS Logistics, LLC",Catherine Self
BNSF Railway,Brent York
Manifold Robotics,Jeffrey Laut
"Percheron Professional Services, LLC",Jeff Wilkie
Anthony Simek,Anthony Simek
"ReadyMonitor, LLC",Jesse Stepler
Xcel Energy,Thomas Stegge
EpiSci,Rohit Pillai
Essential Aero,Steve Boyle
Choctaw Nation of Oklahoma,Marcus Hartman
Virginia Polytechnic Institute & State University,Zach Wehr
Pixel Swarm Drones LLC,Carlos Pena
"AECOM Technical Services, Inc",Matthew Nanney
"RDARS, Inc.",Jason Braverman
University of Alaska Fairbanks,Nicholas Adkins
Woolpert Inc.,Ethan Schreuder
417 Drone Imaging LLC,William Preston
Just Aerial Application LLC,Michael Miller
Skydio Inc.,Nicole Bonk
Pilot Institute,Jason Wood
"SkySkopes, Inc.",Mike Johnson
Remnant Technology Inc,Joel Jones
Keith Howard,Keith Howard
Areion UAS,John Huguley
BGE UAS,Andrew McCauley
EDKO LLC,Chase Atwood
Skydio Inc.,Nicole Bonk
Davey Resource Group,Rachel Miller
ComEd,Victor Migliore
Florida Power & Light Company,Eric Schwartz
Caltrans DOC,Aaron Chamberlin
Washington State Department of Corrections,Jamison Roberts
JOSEPH,Joseph Ghiorso
North Carolina Department of Transportation,Thomas Walls
Skydio Inc.,Nicole Bonk
Jarod Wilson,Jarod Wilson
Influential Drones LLC,David Krause
Flock Safety,Cameron Whiteman
ERAU UAS-S Research,Nickolas Macchiarella
Jose Leandro,Jose Leandro
"Birdstop, Inc.",Keith Miao
Texas Department of Public Safety,Jason Day
Texas Department of Public Safety,Jason Day
"Westwood Professional Services, Inc",Mark Treon
Aerodyne Measure,Andres Justicia
Phillip Spiess,Phillip Spiess
BNSF Railway,Brent York
"Skydio, Inc.",Rodney Murray
Areion UAS,John Huguley
Daniel Puebla,Daniel Puebla
COLSA,Christopher Cline
Austin Seback,Austin Seback
Joseph Piazza,Luke Piazza
Xcel Energy,Thomas Stegge
Asylon,Brent McLaughlin
Xcel Energy,Thomas Stegge
Mark Murry,Mark Murry
Phillip A.B. McCoy,Phillip McCoy
BGE UAS,Andrew McCauley
Nicholas Smith,Nicholas Smith
Southern Company Services INC,Daniel Humphries
AirFoxPhotographyLLC,John Buvala
Julia Leidholt,Julia Leidholt
Aerodyne Measure,Andy Justicia
Tesla Inc,Alistair Weddell
SkyBridge Tactical,Bryan Andrews
Asylon,Brent McLaughlin
Areion UAS,John Huguley
Jason Colip,Jason Colip
Aims Community College,Jacob Marshall
Swiflite Aircraft Corporation,Dylan Allen
Moss Photography,Victor Moss
Moss Photography,Victor Moss
"Chustz Surveying, LLC",Mason Dupre
"Chustz Surveying, LLC",Mason Dupre
"Drone Arrival, Inc.",Helen Pukszta
"American Robotics, Inc.",Vijay Somandepalli
InDro Robotics Inc.,Phillip Reece
Troy Havens,Troy Havens
A-Cam Aerials,Thomas Sugahara
carsonmorgan,Carson Morgan
"G.S. Long Co., Inc.",Jeffrey Allen
Thomas Swoyer,Thomas Swoyer
Asylon,Brent McLaughlin
Zipline (Delivery Ops),Joseph Marshall
DRL,Laura MacFie
AviSight,William ODonnell
Eric R Turner,Eric Turner
"Hoverfly Technologies Inc,",Michael Miranda
Electric Power Board of Chattanooga,Gregory Phillips
Skydio Inc.,Nicole Bonk
Koch Industries Inc,Tim Shanfelt
Iris Automation,Cheryl Contreras
Koch Industries Inc,Tim Shanfelt
"Bye UAS, INC",Hannah Goelz
Jonathan Sheairs,Jonathan Sheairs
Valmont,Joseph George
AirFoxPhotographyLLC,John Buvala
"Alliance Engineering + Planning, LLC",Robert Wilhite
Southern Company Services INC,Johnathan Hitchcock
Soaring Eagle Technologies,Noah Ruiz
The MITRE Corporation,Carrie Rebhuhn
Joseph Piazza,Luke Piazza
carsonmorgan,Carson Morgan
Valmont,Joseph George
Censys Technologies,Rob Knochenhauer
Davey Resource Group,Rachel Miller
Evergy,Michael Kelly
Parabug LLC,Kevin Hill
Weather Modification LLC,Alex Sailsbury
Thomas Walls,Thomas Walls
Jane Huang,Jane Cleland-Huang
Asylon,Brent McLaughlin
Franklin Precision Drone Application LLC,Casey Heaton
Pace Engineering,James Litts
American Water,Christopher Kahn
Kansas State University,Spencer Schrader
42air,Russell Randol
"Filmko Studios, LLC",Jacob Howard
Fortis Construction,Carlos Sanchez
"Delek US Holdings, Inc.",Grigor Bambekov
"Delek US Holdings, Inc.",Grigor Bambekov
Amazon.com Services LLC,Richard Sparks
New Jersey Transit Corporation,Andrew Schwartz
Colby McMillin,Colby McMillin
Asylon,Brent McLaughlin
SkyBridge Tactical,Bryan Andrews
BearCountry,Andrew Ackmann
Northern Plains UAS Test Site,Erin Roesler
Treeswift,Ian Cameron
Jason Beim,Jason Beim
Unmanned Safety Institute,Devin Allen
Massachusetts Dept of Transportation - Aeronautics Division UAS,Jeffrey DeCarlo
"BlueSky Aviators, LLC",Scott Fore
Iris Automation,Cheryl Contreras
Scott Currin,Scott Currin
Zipline (Delivery Ops),Joseph Marshall
Zipline International Inc.,Maxime St-Maurice
