id,name,dealer_type,priority,address,city,state,country,country_code,continent,phone,email,website,latitude,longitude,linkedin_url,linkedin_scanned_at,notes,created_at,updated_at
1442,Aerialsolutions,Enterprise Dealer,high,"Schaarbeekstraat 46 Unit 10, 9120 beveren",Wilrijk,Antwerpen,Belgium,BE,Europe,+32 485 462 599,info@aerialsolutions.be,https://www.aerialsolutions.be,51.201889,4.314724,https://www.linkedin.com/company/aerialsolutions,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.62+00
1443,Dutch Drone Group B.V,Enterprise Dealer,high,Lichtenberglaan 1090 3800 Sint-Truiden,Hasselt,Limburg,Belgium,BE,Europe,（+32）011 987 547,info@droneland.be,https://www.droneland.nl,50.795708,5.206954,https://www.linkedin.com/company/droneland,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.62+00
1444,Drone Parts Center (Pim-Consult SRL),Enterprise Dealer,high,"Rue Albert Einstein 20, 1400 Nivelles, Belgium",Brabant Wallon,Wallonie,Belgium,BE,Europe,+32 67 88 37 37,info@drone-parts-center.com,https://drone-parts-center.com/,50.586121,4.353331,https://www.linkedin.com/company/drone-parts-center,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.62+00
1445,DroneDepot.be,Enterprise Dealer,high,"Fosselstraat 6, 1790 Affligem, Belgium",Affligem,Vlaams-Brabant,Belgium,BE,Europe,(+32)470068416,winkel@dronedepot.be,https://www.dronedepot.be/,50.920661,4.113301,https://www.linkedin.com/company/dronedepotbelgium,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.62+00
1446,Droprise,Enterprise Dealer,high,Wetenschapspark 1,Oostende,West-Vlaanderen,Belgium,BE,Europe,（+32）59 24 20 50,info@droprise.be,https://www.droprise.be,51.216821,2.995141,https://www.linkedin.com/company/droprise,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1447,Paraflow Communications,Enterprise Dealer,high,"Studentski Kompleks, ul. ""Nikola Gabrovski"" 79, 1700 Sofia, Bulgaria",Сливница / Slivnica,София / Sofija,Bulgaria,BG,Europe,+35929604200,office@paraflow.bg,https://www.paraflow.bg/,42.65746,23.350242,https://www.linkedin.com/company/paraflow-communications,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1448,TEMPEX Co. Ltd.,Enterprise Dealer,high,"Plovdiv,4004,52 Kuklenskoshose’Blvd",Пловдив / Plovdiv,Пловдив / Plovdiv,Bulgaria,BG,Europe,,sales@tempexbg.com,https://tempex.bg,42.101572,24.759435,https://www.linkedin.com/company/tempex-ltd,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1449,Alltron AG,Enterprise Dealer,high,Hintermättlistrasse 3 CH-5506 Mägenwil,Bezirk Zürich,Kanton Zürich,Switzerland,CH,Europe,41628898080,mail@alltron.ch,https://alltron.ch/de/,47.410694,8.223435,https://www.linkedin.com/company/alltron-ag,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1450,"TELINK, spol. s r.o.",Enterprise Dealer,high,"Na Zlatě 2835/3, 158 00 Praha 13, Czechia",Praha,Praha,Czech Republic,CZ,Europe,+420 602 395 889,telink@telink.cz,https://www.djitelink.cz/,50.051238,14.350034,https://www.linkedin.com/company/dji-telink,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1451,STABLECAM s.r.o.,Enterprise Dealer,high,"Doubravice 110 Pardubice VII, 533 53 Pardubice VII, Czechia",Pardubice,Pardubice,Czech Republic,CZ,Europe,,enterprise@stablecam.com,https://www.djistablecam.com,50.066196,15.748743,https://www.linkedin.com/company/stablecam-s-r-o,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1452,Droneparts GmbH,Enterprise Dealer,high,Besigheimer Straße 20,,,Germany,DE,Europe,+49 7143 9098592,info@droneparts.de,https://www.droneparts.de,48.992206,9.188652,https://www.linkedin.com/company/droneparts.de,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1453,Mediatec,Enterprise Dealer,high,"Widdersdorfer Str. 217, 50825 Köln",Frankfurt Am Main,Hessen,Germany,DE,Europe,0221 - 8880-0,info@mediatec.de,https://www.mediatec.de/,51.262579,6.987969,https://www.linkedin.com/company/mediatec-video-und-audio-service-gmbh,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1454,Airteam Aerial Intelligence GmbH,Enterprise Dealer,high,Zossener Strasse 55-58,Berlin,Berlin,Germany,DE,Europe,+49 30 37 580 830,info@airteam.ai,https://www.airteam.ai,52.495092,13.395331,https://www.linkedin.com/company/airteamaerialintelligence,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1455,geoplana Ingenieurgesellschatt mbH für Photogrammetrie,Enterprise Dealer,high,"Backnanger Str. 4, 71672 Marbach am Neckar, Germany, Baden-Württemberg",Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe,07144 / 83333-0,geoplana@geoplana.de,https://www.geoplana.de/,49.082279,9.352804,https://www.linkedin.com/company/geoplana-ingenieurgesellschaft-mbh-66213958,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1456,thermal DRONES GmbH,Enterprise Dealer,high,Mühlenstraße 23-24,,,Germany,DE,Europe,+49 3834 39195 30,info@thermaldrones.de,https://www.thermaldrones.de,54.095515,13.384613,https://www.linkedin.com/company/thermaldrones,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1457,Airclip Service GmbH & CO KG,Enterprise Dealer,high,Löbtauer Strasse 64,Dresden,Sachsen,Germany,DE,Europe,+49 351 21168690,info@airclip.de,https://www.airclip.de,51.048959,13.70952,https://www.linkedin.com/company/airclip,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1458,Dönges GmbH &Co. KG,Enterprise Dealer,high,"Dönges-Straße 1, 42929 Wermelskirchen, Germany",Regierungsbezirk Köln,Nordrhein-Westfalen,Germany,DE,Europe,+49 2196 9756 0,info@doenges-online.de,https://shop.doenges-rs.de/,51.146854,7.194712,https://www.linkedin.com/company/doenges1903,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1459,U-ROB GmbH,Enterprise Dealer,high,Heidsieker Heide 53,,,Germany,DE,Europe,+49 5206 9185111,info@u-rob.com,https://www.u-rob.com,52.084545,8.508912,https://www.linkedin.com/company/u-rob,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1460,CopterPro GmbH,Enterprise Dealer,high,Schillerstr. 2,,,Germany,DE,Europe,+49 6752 13 13 70,info@copterpro.de,https://www.copterpro.de,49.787817,7.458516,https://www.linkedin.com/company/copterpro,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1461,BIT Informationssysteme GmbH,Enterprise Dealer,high,Mikroforum-Ring 1,Wendelsheim,Rhineland-Palatinate,Germany,DE,Europe,+49 800 2484636,info@drohne112.de,https://www.drohne112.de,49.75835,7.98431,https://www.linkedin.com/company/drohne112-de,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1462,Copter-expert GmbH,Enterprise Dealer,high,Boschstr. 18,Hannover,Niedersachsen,Germany,DE,Europe,+49 511 52959140,info@copter-expert.de,https://www.copter-expert.de,52.429172,9.830127,https://www.linkedin.com/company/copter-expert-gmbh,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1463,Droniq GmbH,Enterprise Dealer,high,Ginnheimer Stadtweg 88,,,Germany,DE,Europe,+49 69 509547 400,info@droniq.de,https://www.droniq.de,50.135125,8.655712,https://www.linkedin.com/company/droniq,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1464,Viscan GmbH,Enterprise Dealer,high,"Stauffenbergstraße 18, 74523 Schwäbisch Hall, Germany",Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe,+49 152 010 923 50,info@viscan.de,https://viscan.de/,49.114333,9.77823,https://www.linkedin.com/company/viscan-solutions-gmbh,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1465,GDDC GmbH,Enterprise Dealer,high,"Marienthaler Str. 12, 24340 Eckernförde, Germany, Schleswig-Holstein",Kiel,Schleswig-Holstein,Germany,DE,Europe,+49 (0)4351 7677300,kontakt@gddc-sh.de,https://www.gddc-sh.de/,54.444465,9.830365,https://www.linkedin.com/company/gddc-sh,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1466,Epotronic GmbH,Enterprise Dealer,high,Reisholzer Werftstraße 52,,,Germany,DE,Europe,+49 211 5 98929 10,info@epotronic.com,https://www.epotronic.com,51.167631,6.838998,https://www.linkedin.com/company/epotronic,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1467,Drohnenflugschule24 GmbH,Enterprise Dealer,high,Ottersleber Chaussee 99,,,Germany,DE,Europe,+49 391 55 86 42 52,kontakt@drohnenflugschule24.de,https://www.drohnenflugschule24.de,52.077574,11.620764,,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1468,Profunk electric Service GmbH,Enterprise Dealer,high,"Am Seegraben 7, 03051 Cottbus, Germany, Brandenburg",Cottbus,Brandenburg,Germany,DE,Europe,0355 2890220,info@profunk.eu,https://www.profunk.eu/,51.720004,14.314424,,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1469,CADdy Geomatics. GmbH,Enterprise Dealer,high,Schatzbogen 65,Muenchen,Bayern,Germany,DE,Europe,+49 89 4274220,info@caddy-geomatics.de,https://www.caddy-geomatics.de,48.132013,11.660265,https://www.linkedin.com/company/caddy-geomatics-gmbh,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1470,ATE Akademie für Technologie und Entwicklung GmbH,Enterprise Dealer,high,Tungendorfer Straße 10,,,Germany,DE,Europe,+49 173 6169789,info@ate-sh.de,https://www.drone-safety.de,54.087178,10.005901,,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1471,Kopterzentrale GmbH,Enterprise Dealer,high,Seilerstr. 15b,Hannover,Niedersachsen,Germany,DE,Europe,+49 511 94041972,info@kopterzentrale.de,https://www.kopterzentrale.de,52.491583,9.766687,https://www.linkedin.com/company/kopterzentrale,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1472,Drohnen-Shop.de (Lubo Tech GmbH),Enterprise Dealer,high,"Steinbecker Mühlenweg 50, 21244 Buchholz i. d. Nordheide, Niedersachsen, Germany",Hamburg,Hamburg,Germany,DE,Europe,+49 41819398797,info@drohnen-shop.de,https://www.drohnen-shop.de,53.332536,9.861144,https://www.linkedin.com/company/drohnen-shop-de,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1473,CopterTec,Enterprise Dealer,high,"Wipperfürther Str. 320, 51515 Kürten",Kuerten,Nordrhein-Westfalen,Germany,DE,Europe,+49 2196 8899091,info@coptertec.de,https://www.coptertec.de,51.031054,7.263824,https://www.linkedin.com/company/coptertec,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1474,Wolfgang Herm,Enterprise Dealer,high,Franz-Marc-Str. 53,,,Germany,DE,Europe,+49 8851 8289518,info@sar-systeme.eu,https://www.w-herm.de,47.660035,11.370078,,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1475,Kitzrettungsdrohne,Enterprise Dealer,high,Obergschaidt 10,,,Germany,DE,Europe,,info@kitzrettungsdrohne.de,https://www.kitzrettungsdrohne.de,49.13096,12.818938,,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1476,Most Robotics,Enterprise Dealer,high,"Peterstraße 42, 37199 Wulften",Wulften,Niedersachsen,Germany,DE,Europe,+4955568509631,info@mostrobotics.de,https://mostrobotics.com/,51.665514,10.169271,https://www.linkedin.com/company/mostrobotics,,,2026-03-21 13:37:17.315481+00,2026-03-21 13:37:17.315481+00
1477,ProFlyCenter GmbH,Enterprise Dealer,high,"Ludwig-Thoma-Straße 3, 76669 Bad Schönborn",Bad Schoenborn,Baden-Württemberg,Germany,DE,Europe,info@proflycenter.com,info@proflycenter.com,https://www.proflycenter.com,,8.649864,https://www.linkedin.com/company/proflycenterdjiacademy,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1478,Solectric GmbH,Enterprise Dealer,high,"Ubstadter Straße 28, 76698 Ubstadt-Weiher, Deutschland",Ubstadt-Weiher,Baden-Württemberg,Germany,DE,Europe,,info@solectric.eu,https://solectric.eu/,49.173145,8.616234,https://www.linkedin.com/company/solectric-distribution-gmbh,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.621+00
1479,Drone Volt Scandinavia ApS,Enterprise Dealer,high,"Park Allé 380 A, 2625 Vallensbæk, 丹麦",Vallensbæk Kommune,Region Hovedstaden,Denmark,DK,Europe,+4570707223,kontakt@dronevolt.com,https://www.dronevolt.com/en/,55.649887,12.372317,https://www.linkedin.com/company/drone-volt,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1480,Droner ApS,Enterprise Dealer,high,"Rentemestervej 67D, 2400 København,",Københavns Kommune,Region Hovedstaden,Denmark,DK,Europe,+4560540000,besked@droner.dk,https://droner.dk/,55.708119,12.52229,https://www.linkedin.com/company/dronerslinkedin,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1481,Geoteam A/S,Enterprise Dealer,high,"Energivej 34, 2750 Ballerup",Københavns Kommune,Region Hovedstaden,Denmark,DK,Europe,+4577332233,support@geoteam.dk,https://www.geoteam.dk,55.725005,12.375635,https://www.linkedin.com/company/geoteamdk,,,2026-03-21 13:37:17.315481+00,2026-03-21 13:37:17.315481+00
1482,Meridein OU,Enterprise Dealer,high,"Villardi tn 22, 10136 Tallinn, Estonia",Tallinn,Harjumaa,Estonia,EE,Europe,+372 5835 1267,info@droon.ee,https://droon.ee/,59.429267,24.726899,https://www.linkedin.com/company/meridein-o%C3%BC,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1483,Global Geosystems,Enterprise Dealer,high,"Rúa Xesta, 77A, 15895 Ames, A Coruña, Spain",A Coruña,Galicia,Spain,ES,Europe,+34981943235,info@global-geosystems.com,https://global-geosystems.com/,43.054447,-8.263997,https://www.linkedin.com/company/global-geosystems,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1484,AL-TOP,Enterprise Dealer,high,"Carrer de Bofarull, 14, Sant Andreu, 08027 Barcelona, Spain",Barcelona,Cataluna,Spain,ES,Europe,+34 933 40 05 73,al-top@al-top.com,https://al-top.com/,41.415722,2.188189,https://www.linkedin.com/company/altop-topografia,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1485,CASMAR ELECTRONICA SA,Enterprise Dealer,high,"C. Marie Curie, Edificio B, 5, 28521 Rivas-Vaciamadrid, Madrid",Barcelona,Cataluna,Spain,ES,Europe,https://www.casmarglobal.com/es/,casmar@casmar.es,https://www.casmarglobal.com/es/,39.9109,116.4133,https://www.linkedin.com/company/casmarelectronica,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1486,MURCIA DRONES,Enterprise Dealer,high,"C. Obispo Fray Antonio Trejo, 3, Bajo, 30007 Murcia, Spain",Murcia,Murcia,Spain,ES,Europe,+34868630105,ventas@murciadrones.es,https://www.murciadrones.es/,38.819051,0.814872,https://www.linkedin.com/company/murciadrones,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1487,INSTOP,Enterprise Dealer,high,"C/ Narcis Monturiol, 14 Pol. Ind. Plans d’Arau, 08787 La Pobla de Claramunt, Barcelona, Spain",Barcelona,Cataluna,Spain,ES,Europe,+34938039576,info@instop.es,https://www.instop.es/drone/drone-dji-enterprise.php,42.269669,3.753736,https://www.linkedin.com/company/instop,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1488,"WOLF AVIONIC, S.L.U.",Enterprise Dealer,high,"Pollensa 6, 28290 Las Rozas de Madrid",Madrid,Madrid,Spain,ES,Europe,tiendadji@wolfavionic.com,tiendadji@wolfavionic.com,https://www.wolfavionic.com/,40.532366,-3.890901,https://www.linkedin.com/company/wolf-avionic,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1489,"CARLIBUR, S.L.",Enterprise Dealer,high,"C. Juan Ramón Jiménez, s/n, Pentasa 3, nave 191, 09007 Burgos",Burgos,Castilla - Leon,Spain,ES,Europe,info@aerobur.es,info@aerobur.es,https://aerobur.es/,42.351958,-3.660119,https://www.linkedin.com/company/carlibur-s-l,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1490,AEROMEDIA UAV SL,Enterprise Dealer,high,"C/ Ablanal, Parque Tecnológico de Asturias. Edificio CEEI – Oficina 204. 33428 Llanera, Asturias.",Asturias,Asturias,Spain,ES,Europe,981 901 768,aeromedia@aeromedia.es,https://aeromedia.es/,43.4354,5.8504,https://www.linkedin.com/company/aeromedia-u-a-v-s-l-,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1491,StockRc FPV Aeromodelismo sl,Enterprise Dealer,high,"CALLE MONACO No30,28232, LAS ROZAS (MADRID)",Madrid,Madrid,Spain,ES,Europe,+34 913 1614 15,industrial@djiarsmadrid.com,https://www.djiarsmadrid.com,40.503758,-3.892228,https://www.linkedin.com/company/djimadrid,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1492,ATYGES INGENIERIA,Enterprise Dealer,high,"Marie Curie, 3, EDIFICIO PREMIER II, C. de Marie Curie, Campanillas, 29590 Málaga, Spain",Málaga,Andalucia,Spain,ES,Europe,+34 952 02 06 00,store@atyges.es,https://atyges.es,36.737777,-4.551257,https://www.linkedin.com/company/atyges,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1493,ACRE SOLUCIONES TOPOGRAFICAS ALQUILER Y VENTA SLhttps://grupoacre.es/,Enterprise Dealer,high,"Poligono Industrial Los Pradillos, Nave 13, 45200 Illescas – Toledo - Spain Illescas Toledo Spain",Toledo,Castilla - La Mancha,Spain,ES,Europe,+34 90 249 08 39,info@grupoacre.com,https://www.grupoacre.es,40.125305,-3.831943,https://www.linkedin.com/company/acre-mapping-the-future,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1494,BINARY SYSTEMS SL,Enterprise Dealer,high,"C. Panamá, 1, 38009 Santa Cruz de Tenerife",Santa Cruz de Tenerife,Canarias,Spain,ES,Europe,tenerife@binarycanarias.com,tenerife@binarycanarias.com,https://www-6.binarycanarias.com/,28.458042,-16.266767,https://www.linkedin.com/company/binarysystems-sl,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1495,Lidarite Oy,Enterprise Dealer,high,"Kyöstinkuja 2, 00570 Helsinki",Turku,Southwest Finland,Finland,FI,Europe,+358452733044,info@lidarite.fi,https://lidarite.fi/,60.185812,25.013728,https://www.linkedin.com/company/lidarite-oy,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1496,Skydata Oy,Enterprise Dealer,high,"Vesikuja 4A 2. kerros, 02200 Espoo, Finland",Helsinki,Uusimaa,Finland,FI,Europe,+358405585853,info@skydata.fi,https://www.skydata.fi/dji-enterprise,60.178861,24.760533,https://www.linkedin.com/company/skydata-oy,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1497,Geotrim Oy,Enterprise Dealer,high,"Avia Line, Perintökuja 6, 01510 Vantaa, Finland",Helsinki,Uusimaa,Finland,FI,Europe,+358207510600,info@geotrim.fi,https://geotrim.fi/,60.697298,25.878926,https://www.linkedin.com/company/geotrim-oy,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1498,Abot,Enterprise Dealer,high,"130 Rue Nicole Oresme ZAC, 76230 Isneauville, France",Seine-Maritime,Normandie,France,FR,Europe,+33235003880,contact@abot.fr,https://www.abot.fr,49.488415,1.150212,https://www.linkedin.com/company/abot-fr,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1499,STTL (Service Technique Topographie Laser),Enterprise Dealer,high,"Rue de la paix - ZI du Gier, 69700 Givors, France",Rhône,Auvergne-Rhône-Alpes,France,FR,Europe,+33472490501,info@sttl-lyon.com,https://www.sttl-topographie.com/,45.57839,4.727561,https://www.linkedin.com/company/sttl,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1500,NETPIX La Camera embarquée,Enterprise Dealer,high,"Quartier de l'enfant, 145 Av. du 12 Juillet 1998, 13290 Aix-en-Provence",Aix-en-Provence,Bouches-du-Rhône,France,FR,Europe,+33 4 42 26 10 10,contact@lacameraembarquee.fr,https://www.lacameraembarquee.fr,43.479071,5.396879,https://www.linkedin.com/company/la-camera-embarquee,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1501,DUMONT SECURITE,Enterprise Dealer,high,"9 Rue Lucien Rosengart, 01500 Ambérieu-en-Bugey",Ambérieu-en-Bugey,Ain,France,FR,Europe,474461300,info@dumont-securite.fr,https://www.dumont-securite.fr/,45.969724,5.342233,https://www.linkedin.com/company/dumont-securite,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1502,Escadrone,Enterprise Dealer,high,"Novesparc RDC, 445 B Rue Lavoisier bat B, 38330 Montbonnot-Saint-Martin, France",Isère,Auvergne-Rhône-Alpes,France,FR,Europe,+33458005410,contact@escadrone.com,https://escadrone.com,45.216835,5.813648,https://www.linkedin.com/company/escadrone,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1503,Rivolier,Enterprise Dealer,high,"Z.I. Les Collonges, 42170 Saint-Just-Saint-Rambert",Abrest,Allier,France,FR,Europe,blays@rivolier.fr,blays@rivolier.fr,https://www.rivolier-sd.com/,45.519045,4.259032,https://www.linkedin.com/company/rivolier-sas,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1504,Geomesure,Enterprise Dealer,high,"560 Rue Henri Farman, 34430 Saint-Jean-de-Védas, France",Hérault,Occitanie,France,FR,Europe,+33977408676,contact@geomesure.fr,https://www.geomesure.fr,43.875022,3.882211,https://www.linkedin.com/company/geomesure,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
