company,country,sources,url1_existing,url1_new,url2_existing,url2_new,notes_existing,notes_new
Droniq GmbH,Germany,Claude vs ChatGPT,https://droniq.de/en/pressemitteilung-droniq-zeigt-naechsten-entwicklungsschritt-der-industriellen-drohnennutzung-auf/,https://droniq.de/produkte/drohnen/dji-dock/,https://droniq.de/en/droniqlive-automatisierte-inspektionen-mit-dji-dock/,https://droniq.de/en/produkte/drone-in-a-box-system/dji-dock-2/,Frankfurt-based joint venture of DFS Deutsche Flugsicherung (51%) and Deutsche Telekom (49%). Received Europe's first DJI Dock operating license in May 2023. Works with VGF on infrastructure inspection.,Drone-in-a-box and BVLOS integrator with DJI Dock and Dock 2 pages.
AprFlyTech,Italy,Claude vs ChatGPT,https://www.aprflytech.it/product-page/dji-dock-3,https://www.aprflytech.it/en/prodotti/dji-enterprise/djidock3,https://www.aprflytech.it/prodotti/dji-enterprise,,"Located in Paderno Dugnano (Milan area). DJI Enterprise """"A"""" Dealer. ENAC training center. Certified by DJI for Dock 3 installation and FlightHub 2 configuration.",Italian enterprise reseller listing DJI Dock 3.
Glider Aerial,Saudi Arabia,Claude vs ChatGPT,https://www.glider-aerial.com/product-page/dji-dock-3-overseas-edition,https://www.glider-aerial.com/product-page/dji-dock-2-overseas-edition,https://www.glider-aerial.com/,,DJI Saudi Arabia authorized reseller. Actively sells DJI Dock 3 (Overseas Edition) with warranty options (1-2 years). Provides drone services including industrial inspection and construction monitoring.,Saudi reseller listing DJI Dock 2 overseas edition.
NineTenths,Saudi Arabia,Claude vs ChatGPT,https://www.9tenthsco.com/post/dji-dock-3-a-game-changer-for-remote-drone-operations-in-saudi-arabia,https://www.9tenthsco.com/dock-2,https://sa.zain.com/en/all-news/news-11-9-2023,https://www.9tenthsco.com/post/dji-dock-2-a-new-benchmarks-for-efficiency-and-dependability-in-autonomous-aerial-operations,"Official DJI Enterprise Dealer in Saudi Arabia, headquartered in Riyadh. Signed exclusive partnership with Zain KSA for DJI Dock autopilot platform (Sept 2023). Actively promotes Dock 2 and Dock 3 solutions.",Saudi technology company with DJI Dock 2 product and launch content.
Shamal Technologies,Saudi Arabia,Claude vs ChatGPT,https://shamal.sa/products,https://shamal.sa/products,https://shamal.sa/about,,Fully Saudi-owned geospatial and drone technology company headquartered in Jeddah. Authorized DJI Enterprise seller offering autonomous docking solutions. Over 93% Saudi workforce. Supports Saudi Vision 2030.,Saudi enterprise seller showing DJI Dock among product lineup.
Terra Drone Arabia,Saudi Arabia,Claude vs ChatGPT,https://terra-drone.com.sa/how-dji-dock-3-saves-city-surveillance-budget-by-30/,https://terra-drone.com.sa/dji-enterprise-partner/,https://terra-drone.com.sa/dji-enterprise-partner/,,Official DJI Enterprise partner. Licensed to distribute DJI Dock and accessories. Actively integrates Dock 3 for city surveillance and enterprise solutions. Showcased at NAP Tech 2025 for Aramco solutions.,Saudi DJI enterprise partner highlighting Dock 3 in offering.
Zain KSA,Saudi Arabia,Claude vs ChatGPT,https://sa.zain.com/en/all-news/news-11-9-2023,https://sa.zain.com/en/all-news/news-11-9-2023,https://menafn.com/1107052792/Drone-Solutions-From-Zain-Ksa-Signed-Exclusive-Agreement-With-Nine-Tenths-For-Dji-Dock-Autopilot-Platform,https://www.9tenthsco.com/dock-2,"Telecom operator signed exclusive agreement with NineTenths (Sept 2023) for DJI Dock autopilot platform. Uses for construction monitoring, industrial surveillance, round-the-clock monitoring applications.",Strategic partnership announcement references advanced DJI Dock platform in Saudi market.
Africa Drone Kings,South Africa,Claude vs ChatGPT,https://africadroneking.co.za/product/dji-dock-3/,https://africadroneking.co.za/product/dji-dock/,https://africadroneking.co.za/blog/2026/03/15/drone-as-first-responder-south-africa-dji-dock-3/,https://africadroneking.co.za/product/dji-dock-2/,"Johannesburg-based dealer offering site planning, installation, training, lifetime support. Works with security, mining, estates. Address: First House, 258 Main Ave, Ferndale, Randburg, 2194. Phone: 011 824 0678",South African reseller listing both DJI Dock and DJI Dock 2.
GoUAV,South Africa,Claude vs ChatGPT,https://gouav.co.za/,https://gouav.co.za/pages/dji-dock-2,https://gouav.co.za/pages/authorised-dji-dealer,,Authorized South African DJI Enterprise Distributor. Subsidiary of TeleEye (South Africa). Offers Dock 3 with M4D and M4TD. Phone: +27 11 557 9200,South African drone supplier with DJI Dock 2 page.
Helsel,South Korea,Claude vs ChatGPT,https://helsel.co.kr/product/dji-dock-dji-%EB%8F%85%E3%85%A4/32531/,https://helsel.co.kr/product/dji-dock-2-dji-%EB%8F%85-2-3d3td/32916/,https://helsel.co.kr/product/dji-dock-2-dji-%EB%8F%85-2-3d3td/32916/,,Professional DJI drone distributor; Carries Dock & Dock 2,Korean reseller listing DJI Dock 2.
Aonic Thailand,Thailand,Claude vs ChatGPT,https://aonic.com/th/eng/dji/dji-dock/,https://aonic.com/th/dji/dock-2/,https://aonic.com/th/eng/dji/dock-2/,,Gold dealer for DJI Enterprise. Formerly known as Poladrone. Rebranded in 2022. Address: 47 MT&T Building Room 14S 17S 48S 1st & 4th Floors Sukhumvit 69 Alley (Sareenimitr) Phra Khanong Nuea Watthana Bangkok 10110. Phone: +66 89 790 0009. Email: sales.th@aonic.com. LINE: @aonic.th,Regional drone company listing DJI Dock 2 for Thailand.
DJI 13 Store,Thailand,Claude vs ChatGPT,https://www.dji13store.com/,https://www.dji13store.com/dji-dock-2/,https://www.facebook.com/dji13store/,https://www.dji13store.com/,DJI Premium Reseller. Multiple locations: Crystal Park Phase 3 Pradismonthum Road Bangkok (main 90 sq m store); Ladplakao; Ratchapruk. Phone: 086 331 1313. Primarily consumer/prosumer focused but may carry enterprise products.,Thailand authorized dealer with DJI Dock 2 page and homepage featuring DJI Dock 3.
