#,Company,Score,Region,Industry,Website,HQ / Office Location,LinkedIn URL,LinkedIn Followers
17,AECA Solutions,0.4,Malaysia,—,https://www.aeca-solutions.com,"Subang Jaya, Selangor, Malaysia",https://www.linkedin.com/company/aecasolutions,"~1,865"
18,Prisma Technologies,0.4,Australia,—,https://prismatech.com.au,"North Wollongong, NSW, Australia",https://au.linkedin.com/company/prisma-technologies-australia,~457
19,AeroSmart,0.4,United Arab Emirates,—,https://www.aerosmart.ae,"Bur Dubai, Dubai, UAE",https://ae.linkedin.com/company/aerosmartuav,"~4,300"
20,Droneologist,0.4,United Arab Emirates,—,https://droneologist.co.uk,"Crawley, West Sussex, UK",https://uk.linkedin.com/company/droneologist,~712
21,Drone Force,,Public Safety Emergency Response,Public Safety & Emergency Response,—,—,https://www.linkedin.com/company/drone-force-usa,~46
22,AERONEX (Aeronex FZCO),,China / UAE,Deployment & Expansion,https://www.aeronex.ae,"Dubai, UAE",https://ae.linkedin.com/company/aeronex-fzco,"~4,300"
23,SkyBound,,UK,Expansion,https://www.skybound.tech,"Southampton, UK",https://uk.linkedin.com/company/skyboundtech,"~3,600"
24,Moline Police Department,,USA,Public Safety & Emergency Response,https://www.moline.il.us/96/Police,"Moline, Illinois, USA",—,—
25,24/7 Drone Force,,South Africa,Public Safety & Emergency Response,https://24-7droneforce.co.za,"Sandton, Gauteng, South Africa",https://za.linkedin.com/company/24-7-drone-force,"~5,600"
26,VEC International FZCO,,United Arab Emirates,Deployment,https://www.dronenet.ae,"Dubai, UAE",https://ae.linkedin.com/company/vec-international-fzco,~381
27,Sky Ladder Drones,,United Arab Emirates,Deployment,https://skyladderdrones.com,"Torrance, CA, USA",https://www.linkedin.com/company/sky-ladder-drones,~443
28,Terra Drone Arabia,,Saudi Arabia,Deployment,https://terra-drone.com.sa,"Al Khobar, Saudi Arabia",https://sa.linkedin.com/company/terra-drone-sa,"~4,700"
29,Heliboss Chile (DJI Enterprise ASC),,Chile,Other Drone Distribution,https://djichile.cl,"Providencia, Santiago, Chile",https://cl.linkedin.com/company/dji-enterprise-heliboss-chile,"~3,040"
30,Heliboss México,,Chile / Mexico,Other Drone Distribution,—,—,—,—
31,GS5 Systems,,—,—,https://gs5.systems,—,https://www.linkedin.com/company/gs5-systems,~14
32,DroneCloud,,UK,Construction & Infrastructure,https://dronecloud.io,"London, UK",https://uk.linkedin.com/company/dronecloudhq,"~1,340"
33,Cody Corporation,,Australia,Construction & Infrastructure,https://codycorp.com.au,"Dudley Park, South Australia",https://au.linkedin.com/company/cody-corporation,~627
34,Hehuayuan Subdistrict Office,,China,Deployment,—,"Changsha, China",—,—
35,XDRON,,UAE,Partnership,https://www.xdron.ae,"Dubai, UAE",https://www.linkedin.com/company/xdronuae,~112
36,Team UAV,,UK,Other,https://www.teamuav.uk,"Bromsgrove, Worcestershire, UK",https://uk.linkedin.com/company/teamuav,"~8,200"
37,Anji County,,China,Expansion,—,"Anji County, Zhejiang, China",—,—
38,Austintown Fire Department,,USA,Deployment,https://www.austintownfd.com,"Austintown, Ohio, USA",—,—
39,Dexa (Drone Express),,USA,Deployment,https://www.flydexa.com,"Dayton, Ohio, USA",https://www.linkedin.com/company/flydexa,"~3,460"
40,FDNY,,USA,Other,https://www.nyc.gov/fdny,"New York City, NY, USA",https://www.linkedin.com/company/new-york-city-fire-department,"~42,500"
41,BlackSea Technologies,,USA,Partnership / Training,https://blackseatechnologies.com,"Annapolis, Maryland, USA",https://www.linkedin.com/company/blacksea-technologies,"~8,000"
42,Connolly Hospital,,Ireland,Deployment,https://www.connollyhospital.ie,"Blanchardstown, Dublin, Ireland",—,—
43,Met Police,,England,Public Safety & Emergency Response,https://www.met.police.uk,"London, England, UK",https://www.linkedin.com/company/metropolitan-police-service,—
