Company,Countries,Industries,Website,LinkedIn URL,LinkedIn Followers,Latest Article URL,Latest Article Date,Mentions,Signals
Eye-bot Aerial Solutions,South Africa,Public Safety & Emergency Response,https://www.eye-bot.com,https://www.linkedin.com/company/eye-bot-aerial-solutions,"~2,148",https://www.linkedin.com/feed/update/urn:li:activity:7353057419905626112/,2025-08-19T08:03:02.62+00:00,1,DEPLOYMENT
Falcon Unmanned Systems,USA,,https://www.falconunmannedsystems.com,https://www.linkedin.com/company/falcon-unmanned-systems,<50,https://www.linkedin.com/feed/update/urn:li:activity:7439022840710049792/,2026-03-16T07:31:56+00:00,1,DEPLOYMENT
Fidelity Services Group,South Africa,Public Safety & Emergency Response,https://www.fidelity-services.com,https://za.linkedin.com/company/fidelity-services-group,"~86,000",https://www.linkedin.com/feed/update/urn:li:activity:7439974200271970304/,2026-03-18T10:31:56+00:00,3,DEPLOYMENT
Flock Safety,USA,Perimeter Security & Smart Facilities,https://www.flocksafety.com,https://www.linkedin.com/company/flock-,"~92,000",https://news.google.com/rss/articles/CBMivgFBVV95cUxNRUFtNmZnQmtOcUhIVW5xaFdLQ29TOVNTamh5Mk03enlHNldBY2h3ZTFxaDh2eGpnR1J2M3JxYWRZd0p4YUlUWXpFTlJBZ3BzbFJEUHcwclNiZUFrWEV3OXVNRHNLMTRzeGFWOC1tUXpXSFRrYjQ4SUFJdVBLVzA2NjZBRHZxdEg5R3hkZE1QaE5fV0Jla0RZaVp0dWhEemFDRngwbUFjTHZsT3ljMkNjS3F3ektlaHJSSzFBMkNB0gHGAUFVX3lxTE1qaGJlTDFkUVE3cWJaMWJ1a2FRQTdKQXdXNTJKRm9CRGJoMy1OOG5vWlhVbG5waVdBTjhheWZieGF0ZUxqWThraUVCSW9uY2pzU3VWbjZZVUh4Ql9RcTNfeUFZNWxEeHlKTVpVYVBuR21iVThpQkFtZGdzVVowM3l1MTU4YW9jNWFrQWwzWUt1ZXR3and0cERJNzJsRHJ5dmpjVEVTcDJGaGpFQ2lqM29NWkQtRllfMGFyZXZfa3ZvVHBfNE5KUQ?oc=5,2025-09-30T07:00:00+00:00,4,CONTRACT; DEPLOYMENT; EXPANSION
Fuvex,Spain,Oil & Gas / Industrial Assets,https://www.fuvex.com,https://www.linkedin.com/company/fuvex,"~2,400",https://news.google.com/rss/articles/CBMiygFBVV95cUxPQ3JVLWttQTFRbjZydDUtc0hQVGpFS3J0a2JrdDdIbE5nODV6S3RUMzAwamhlazlNTmtlRjBraUxfcWplWnpfYmFfSW1ERllmSEo1NGNtZFIyUFZuZFB1NUZ6eG5OekpVQTJxVWRvb2lZRnFKUGN0QzJ4cFBHNl9nNFlJRml2dFVBWlN2NHNKeXpvdTZRa2xCODNmWDl4YVhmOEozNzVSWkhIMFhYUy12R251ZlhpZGVsTTZ2S2RfMk9NOWtYMHBhZUNR?oc=5,2025-10-20T07:00:00+00:00,1,EXPANSION
Garuda Aerospace,India,Public Safety & Emergency Response,https://www.garudaaerospace.com,https://in.linkedin.com/company/garuda-aerospace-private-limited,"~138,000",https://news.google.com/rss/articles/CBMipwFBVV95cUxNYkE4bXgtTmMxM1JvRXZWUWpWcldQOFV0OUFPSnlORTc5cnpLNDNkcUp3eUZpbVU0M25idzZ5RjZXNEZ6ZmM5bHJ0Y0dKRzYzQ0dLVFBxWG4xRm9RajVaRTlNNEpMYV9GTHJEVDNVSVEycHNzaUQ4NUp6dml2N0syVmpFOUxMeWZEVGlWV3dEVG1wR2FGamNoTUdJMk9YdkU5dF9sMnFjRdIBrAFBVV95cUxPb0ZjMm1IcllDaEJWYTU0Q082UVBub0FKUkE0X3FDWVFuR2JpZmoxWC00cTdlRncwNjE4Tzk3UVFwVlJSZmJMWG51ck11TnluVVFVenRhcy1LV0p1Z19xZnY4bWlBRlo2YkxsenBDejcwbGQ2N1Jld1Fham5EemRCREVDTDBRUDJUaEVUckxwZktyZzBnRHZtbHdNYUo4VVRrMndOZzVEV19iRUZH?oc=5,2025-09-15T07:00:00+00:00,1,DEPLOYMENT
GNSS AE,UAE,Deployment,https://www.gnss.ae,https://ae.linkedin.com/company/gnss-ae,~850,https://www.linkedin.com/pulse/transforming-renewable-energy-operations-dji-dock-3-gnss-ae-lswac,2026-01-19T07:31:56.001+00:00,1,DEPLOYMENT
GS5 Systems,UK,,https://gs5.systems,https://www.linkedin.com/company/gs5-systems,~14,https://www.linkedin.com/feed/update/urn:li:activity:7440079594818260992/,2026-03-18T17:31:56+00:00,1,OTHER
GURIS,Turkey,,https://guristeknoloji.com,https://www.linkedin.com/company/guri%CC%87steknoloji%CC%87,,https://www.linkedin.com/pulse/transforming-renewable-energy-operations-dji-dock-3-gnss-ae-lswac,2026-01-19T07:31:56.001+00:00,1,DEPLOYMENT
Heliboss Chile,Chile,Other Drone Distribution,https://heliboss.cl/,https://www.linkedin.com/company/dji-enterprise-heliboss-chile,"~3,040",https://news.google.com/rss/articles/CBMivgFBVV95cUxPR0dvaGhDdEJvanBlTDZHcWNtZlZHdDhQWHlzNk5zREh1M0JsWmxJMGs5MWJJY3o0T3Vta2ZuMW1XaWYyUnZqREZWNHdZdERFdnVha1U2Y0ZjRFQwODk3blRtMHltT3pSVTJGYzF5Tk1DUWtpa3hIYThJM0M1NVdXODRESUNYY3N2QzBTRUVzZ0ZqR00zdk45N29UaXVvYUVuR3dKVnVyUERNRW9WazZSdjhMd3Y1OG9UdjNRbTJn?oc=5,2025-10-23T07:00:00+00:00,1,PARTNERSHIP
Heliboss Mexico,Mexico,Other Drone Distribution,https://heliboss.com,—,—,https://news.google.com/rss/articles/CBMivgFBVV95cUxPR0dvaGhDdEJvanBlTDZHcWNtZlZHdDhQWHlzNk5zREh1M0JsWmxJMGs5MWJJY3o0T3Vta2ZuMW1XaWYyUnZqREZWNHdZdERFdnVha1U2Y0ZjRFQwODk3blRtMHltT3pSVTJGYzF5Tk1DUWtpa3hIYThJM0M1NVdXODRESUNYY3N2QzBTRUVzZ0ZqR00zdk45N29UaXVvYUVuR3dKVnVyUERNRW9WazZSdjhMd3Y1OG9UdjNRbTJn?oc=5,2025-10-23T07:00:00+00:00,1,PARTNERSHIP
heliguy,UK,Public Safety & Emergency Response,https://www.heliguy.com,https://www.linkedin.com/company/heliguy,"~12,581",https://news.google.com/rss/articles/CBMifkFVX3lxTE1SbUZvZjN5ekUtTUxoeURyQVRvYzg5TDkxUnd3VUhrUGlIZkxXWFo2bDdPRDQyd3VXTDFIc2hDUjhwdmV5NHoybTB5a3BTYjJ6S3BibmFhVzRKVi04MjMyUVMxMmxvNTlJeXlKMlZXWVlRSlFpVmpMZ1BqUkkyZw?oc=5,2025-10-23T07:00:00+00:00,1,DEPLOYMENT
Importadora Lillo SpA Heliboss Chile,Chile,Other Drone Distribution,"https://heliboss.clProvidencia, Santiago, Chile","https://cl.linkedin.com/co~3,040mpany/dji-enterprise-heliboss-chile",,https://news.google.com/rss/articles/CBMivgFBVV95cUxPR0dvaGhDdEJvanBlTDZHcWNtZlZHdDhQWHlzNk5zREh1M0JsWmxJMGs5MWJJY3o0T3Vta2ZuMW1XaWYyUnZqREZWNHdZdERFdnVha1U2Y0ZjRFQwODk3blRtMHltT3pSVTJGYzF5Tk1DUWtpa3hIYThJM0M1NVdXODRESUNYY3N2QzBTRUVzZ0ZqR00zdk45N29UaXVvYUVuR3dKVnVyUERNRW9WazZSdjhMd3Y1OG9UdjNRbTJn?oc=5,2025-10-23T07:00:00+00:00,1,PARTNERSHIP
Integrated Aerial Systems,South Africa,,https://www.iasystems.co.za,https://za.linkedin.com/company/integrated-aerial-systems,,https://www.linkedin.com/feed/update/urn:li:activity:7434873603457916928/,2026-03-05T07:42:54.847+00:00,1,DEPLOYMENT
ITG Technology Center,UAE,Deployment,https://www.itg.es,https://www.linkedin.com/company/itg-technology-center,,https://www.linkedin.com/feed/update/urn:li:activity:7221956086570852352/,2025-03-19T08:03:02.62+00:00,1,DEPLOYMENT
kioniq,Austria,Ski resorts,https://kioniq.com/,https://www.linkedin.com/company/kioniq,,https://www.linkedin.com/feed/update/urn:li:activity:7424114664902508546/,2026-02-19T07:42:54.847+00:00,1,DEPLOYMENT
Marut Drones,India,Agriculture / Forestry,https://www.marutdrones.com,https://in.linkedin.com/company/marutdrones,"~25,559",https://news.google.com/rss/articles/CBMiugFBVV95cUxNUjRqcnBuUWJDeWx0UlpLNzROempzRk1pdHJ2ZWNqRlNRWkJjeFJzdlpxYkdtN3FBa2p3SEgyRDl4ZkxGY0NmSDQwY0xLVlhZa2tBT3B4WUdwdWl6ZzNINzVyM2hxeEJUOUZBdjVfRW5MUk4yNW93ZHlWWllhRUctSzNFMHI0UG1MaHc2WllrUlpSTGZBWDhHMFVDYkstQ1hYWWNpWHlDcGJtczRKUW9wMXZWQUhWWTJIVVE?oc=5,2025-10-01T07:00:00+00:00,1,DEPLOYMENT
Marut Dronetech,India,Public Safety & Emergency Response,https://marutdrones.com,https://in.linkedin.com/company/marutdrones,"~25,500",https://news.google.com/rss/articles/CBMipwFBVV95cUxNYkE4bXgtTmMxM1JvRXZWUWpWcldQOFV0OUFPSnlORTc5cnpLNDNkcUp3eUZpbVU0M25idzZ5RjZXNEZ6ZmM5bHJ0Y0dKRzYzQ0dLVFBxWG4xRm9RajVaRTlNNEpMYV9GTHJEVDNVSVEycHNzaUQ4NUp6dml2N0syVmpFOUxMeWZEVGlWV3dEVG1wR2FGamNoTUdJMk9YdkU5dF9sMnFjRdIBrAFBVV95cUxPb0ZjMm1IcllDaEJWYTU0Q082UVBub0FKUkE0X3FDWVFuR2JpZmoxWC00cTdlRncwNjE4Tzk3UVFwVlJSZmJMWG51ck11TnluVVFVenRhcy1LV0p1Z19xZnY4bWlBRlo2YkxsenBDejcwbGQ2N1Jld1Fham5EemRCREVDTDBRUDJUaEVUckxwZktyZzBnRHZtbHdNYUo4VVRrMndOZzVEV19iRUZH?oc=5,2025-09-15T07:00:00+00:00,1,DEPLOYMENT
PHOTOSOL,France,Deployment,https://www.photosol.fr,https://www.linkedin.com/company/photosol-sas,,https://www.linkedin.com/feed/update/urn:li:activity:7399386440297537537/,2025-12-19T07:42:54.847+00:00,2,DEPLOYMENT
PT Fusi Global Teknologi,Indonesia,Deployment,https://fusi.co.id,https://www.linkedin.com/company/fusi-global-teknologi,<200,https://www.linkedin.com/feed/update/urn:li:activity:7420237602634723328/,2026-02-19T08:03:02.619+00:00,1,DEPLOYMENT
Revector,UK,,https://www.revector.com,https://www.linkedin.com/company/revector/,,https://www.unmannedsystemstechnology.com/2026/03/revector-cannon-dynamics-integrate-cell-phone-location-payload-onto-long-range-uav-for-anti-poaching/,2026-03-19T00:00:00+00:00,1,PARTNERSHIP
SkyVisor,France,Deployment,https://www.skyvisor.ai,https://www.linkedin.com/company/skyvisor,,https://www.linkedin.com/feed/update/urn:li:activity:7399386440297537537/,2025-12-19T07:42:54.847+00:00,2,DEPLOYMENT
Team UAV,UK,Other,https://www.teamuav.uk,https://uk.linkedin.com/company/teamuav,"~8,200",https://www.linkedin.com/feed/update/urn:li:activity:7430174424345141248/,2026-02-26T07:31:56+00:00,3,DEPLOYMENT
Terra Drone Arabia,Saudi Arabia,Deployment,https://terra-drone.com.sa,https://sa.linkedin.com/company/terra-drone-sa,"~4,700",https://www.linkedin.com/feed/update/urn:li:activity:7432500492951470081/,2026-02-26T07:31:56+00:00,1,OTHER
Terra Drone Indonesia,Indonesia,Other Drone Distribution,https://terra-drone.co.id,https://id.linkedin.com/company/terradroneid,,https://news.google.com/rss/articles/CBMivgFBVV95cUxPR0dvaGhDdEJvanBlTDZHcWNtZlZHdDhQWHlzNk5zREh1M0JsWmxJMGs5MWJJY3o0T3Vta2ZuMW1XaWYyUnZqREZWNHdZdERFdnVha1U2Y0ZjRFQwODk3blRtMHltT3pSVTJGYzF5Tk1DUWtpa3hIYThJM0M1NVdXODRESUNYY3N2QzBTRUVzZ0ZqR00zdk45N29UaXVvYUVuR3dKVnVyUERNRW9WazZSdjhMd3Y1OG9UdjNRbTJn?oc=5,2025-10-23T07:00:00+00:00,1,PARTNERSHIP
Ubifly Technologies,India,Public Safety & Emergency Response,https://www.eplane.ai,https://in.linkedin.com/company/the-eplane-company,,https://news.google.com/rss/articles/CBMipwFBVV95cUxNYkE4bXgtTmMxM1JvRXZWUWpWcldQOFV0OUFPSnlORTc5cnpLNDNkcUp3eUZpbVU0M25idzZ5RjZXNEZ6ZmM5bHJ0Y0dKRzYzQ0dLVFBxWG4xRm9RajVaRTlNNEpMYV9GTHJEVDNVSVEycHNzaUQ4NUp6dml2N0syVmpFOUxMeWZEVGlWV3dEVG1wR2FGamNoTUdJMk9YdkU5dF9sMnFjRdIBrAFBVV95cUxPb0ZjMm1IcllDaEJWYTU0Q082UVBub0FKUkE0X3FDWVFuR2JpZmoxWC00cTdlRncwNjE4Tzk3UVFwVlJSZmJMWG51ck11TnluVVFVenRhcy1LV0p1Z19xZnY4bWlBRlo2YkxsenBDejcwbGQ2N1Jld1Fham5EemRCREVDTDBRUDJUaEVUckxwZktyZzBnRHZtbHdNYUo4VVRrMndOZzVEV19iRUZH?oc=5,2025-09-15T07:00:00+00:00,1,DEPLOYMENT
Unifly,Chile,Other Drone Distribution / Public Safety,https://www.unifly.aero,https://www.linkedin.com/company/unifly-nv,,https://news.google.com/rss/articles/CBMivgFBVV95cUxPR0dvaGhDdEJvanBlTDZHcWNtZlZHdDhQWHlzNk5zREh1M0JsWmxJMGs5MWJJY3o0T3Vta2ZuMW1XaWYyUnZqREZWNHdZdERFdnVha1U2Y0ZjRFQwODk3blRtMHltT3pSVTJGYzF5Tk1DUWtpa3hIYThJM0M1NVdXODRESUNYY3N2QzBTRUVzZ0ZqR00zdk45N29UaXVvYUVuR3dKVnVyUERNRW9WazZSdjhMd3Y1OG9UdjNRbTJn?oc=5,2025-10-23T07:00:00+00:00,2,PARTNERSHIP
Versaterm,USA,Public Safety & Emergency Response,https://www.versaterm.com,https://www.linkedin.com/company/versaterm-inc-,,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNSkVVYlJEb0ZLSk1YbWdwempkR2oyT3llVU53dHUzTHpORzBIT1lxbE1JOFpvTXVuWUEtUEtvdG9HUk5pZE9BNmZLV19Vb0J3d0JJbTlHLUR3U2pwUnFMSTFRa0Y5MTdPc0pVRTdDTmxoV1lNWF9OY3VGUWtCSHg2cWpXRF96RC0zRi0wU2pXS3RzX3RDaVVvenRHSmp6WTRBQ0l1TUVNLWdmd1Jadld1OFRjQUQ5cW5iYXZRMk9BV0htamc?oc=5,2025-10-20T07:00:00+00:00,1,PARTNERSHIP
Volatus Aerospace,North America,Energy & Utilities,https://volatusaerospace.com,https://ca.linkedin.com/company/volatus-aerospace,"~16,700",https://www.unmannedsystemstechnology.com/2026/03/volatus-to-develop-heavy-lift-drone-logistics-for-offshore-wind-operations-maintenance/,2026-03-19T00:00:00+00:00,3,CONTRACT
Vumacam,South Africa,Public Safety & Emergency Response,https://www.vumacam.co.za,https://za.linkedin.com/company/vumacam01,,https://news.google.com/rss/articles/CBMivwFBVV95cUxPd3hyZkphcVIyUEFicUQ3T1RWNWJEbUxRM2hRWm9oZXFSQ2xXcFZrU0czN2hkOVB1dFhZYmdxMVU0WUJNQUN0QlJJeUNhRW1lVzZXU3RSRUtZYV9iNFJFS0RDekcxMVUzSzhjaDRKbWdjMl93NU80NUpPMXplbzV4NV82REx2ZHVRNFhrRWhWXzYzQ1dwbDlDanJGWnlzZVg1TC1iWHMyamQ1OEtMWml0Q19Wd1Rzdi1iallzZU03OA?oc=5,2025-10-01T07:00:00+00:00,2,PARTNERSHIP
ZenaTech,USA,Construction & Infrastructure,https://www.zenatech.com,https://ca.linkedin.com/company/zenatechinc,"~2,800",https://news.google.com/rss/articles/CBMiqAFBVV95cUxPUDRPSEE3MWtIZmtZWXRrUmJZTWwyM0NTaURBNXFESXU1Z2Jpbmg3LXcxeUZ6eFctT0dZaUU4eVR6a1FkR0tJYThsMmIxU1dLZS04ZnYxa3FMSl85WjAwMkZjaXd6c1JvR252Wk5pU3pPVVpVQzFwSXBJVUN4Q1VqbkxwRmlPV0JLYXQzaXFyRjFudVJ1WXpIOWpfeGREaDZMbTV0bTJEeUvSAbABQVVfeXFMUHMyQkhkOGE3N1htZ2VrNzBNLVFkWVVKZVFUekQ0ZnVLbVVaTy1FQ04xb3hYRjRGRTlYcjZQTmM5VFFYbWJwdGpUVmF4ZndhTGJ1aUhTSWk1UHQyVEtab2FaWW5SQ3prMmJDU3ZwWmNMd1JaTWlTMFJjY1BzNk9oSEVZNkpVNU02XzJEbi02anVmVW01QzZUc0FXUmlRVXdOT1RUUWk3MDhaV0JQcU5iLWo?oc=5,2025-10-23T07:00:00+00:00,3,EXPANSION
