id,name,dealer_type,priority,address,city,state,country,country_code,continent,phone,email,website,latitude,longitude,linkedin_url
26,DJI Authorised Store Town Square Metepec,Retail Store,low,"Plan de Ayutla 102b, Residencial la Providencia, 52177 San Francisco Coaxusco, Méx., México",Metepec,México,Mexico,MX,North America,+527226889171,,,19.267532,-99.604953,
27,DJI Authorised Store Plaza Fiesta San Agustín Monterrey,Retail Store,low,"Av Batallón de San Patricio 1000, Monterrey Plaza Fiesta San Agustín, Zona San Agustín, 66260 San Pedro Garza García, N.L.",San Pedro Garza García,Nuevo León,Mexico,MX,North America,+528113390317,,,25.649462,-100.336355,
28,DJI Authorised Store Mitikah CDMX,Retail Store,low,"Cto Interior Avenida Río Churubusco 601 Local-N 2-24, Xoco, Benito Juárez, 03330 CDMX",Benito Juárez,Ciudad de México,Mexico,MX,North America,+525517155969,,,19.360181,-99.169108,
29,DJI Authorised Store Santa Fe CDMX,Retail Store,low,"Centro Comercial Patio Santa Fe Local SC30, Vasco de Quiroga 200, Zedec Sta Fé, Álvaro Obregón, 01210 Ciudad de México, CDMX",Álvaro Obregón,Ciudad de México,Mexico,MX,North America,+525550863052,,,19.377328,-99.255116,
30,DJI Authorised Store ARTZ CDMX,Retail Store,low,"ARTZ Pedregal, Perif. Sur 3720, Local 230A, Jardines del Pedregal, Álvaro Obregón, 01900 CDMX",Álvaro Obregón,Ciudad de México,Mexico,MX,North America,+525590525180,,,19.314055,-99.218812,
31,DJI Authorised Store Landmark Guadalajara,Retail Store,low,"Plaza Corporativa, P.º de los Virreyes 45, Puerta de Hierro, 45116 Zapopan, Jal., México",Guadalajara,Jalisco,Mexico,MX,North America,+523338358868,,,20.707649,-103.412909,
32,DJI Store - Multiplaza Pacific Panama,Retail Store,low,"Mall Multiplaza Pacific, Local B321-2, Vía Israel, Panamá",Panama,Panama,Panama,PA,North America,(507)  307-5831,,,8.985604,-79.510894,
33,DJI Authorised Store Westfield Sydney,Retail Store,low,"Shop 27-28G/188 Pitt St, Sydney NSW 2000",SYDNEY STREETS,New South Wales,Australia,AU,Oceania,0291607375,,,-33.870303,151.207987,
34,DJI Authorised Store Westfield Carousel,Retail Store,low,"Shop 1054/1382 Albany Hwy, Cannington WA 6107",Western Australia,Western Australia,Australia,AU,Oceania,0870782100,,,-32.018108,115.93715,
35,DJI Authorised Store Westfield Bondi,Retail Store,low,"Shop 3022, Level 3/500 Oxford St, Bondi Junction NSW 2022",BONDI,New South Wales,Australia,AU,Oceania,0283557852,,,-33.892547,151.249806,
36,DJI Authorised Store Melbourne Central,Retail Store,low,"Level 1/211 La Trobe St, Melbourne VIC 3000",MELBOURNE CITY,Victoria,Australia,AU,Oceania,0392887879,,,-37.810232,144.963235,
37,DJI Authorised Store Westfield Carindale,Retail Store,low,"Westfield Chermside Corner Gympie &, Shop 253B Level 1 Hamilton Rd, Chermside QLD 4032",BRIS CITY CNTRY,Queensland,Australia,AU,Oceania,0870782100,,,-27.502931,153.101983,
38,DJI Authorised Store Chadstone,Retail Store,low,"1341 Dandenong Road, Chadstone, Victoria, 3148, Australia",MELBOURNE CITY,Victoria,Australia,AU,Oceania,0283557852,,,-37.887085,145.081528,
39,DJI Authorised Store Westfield Chermside,Retail Store,low,"Westfield Chermside Corner Gympie &, Shop 253B Level 1 Hamilton Rd, Chermside QLD 4032",BRIS CITY CNTRY,Queensland,Australia,AU,Oceania,0730777437,,,-27.383468,153.03188,
40,DJI Authorised Store Westfield Fountain Gate,Retail Store,low,"Westfield Fountain Gate, Shop 1212/25-55 Overland Dr, Narre Warren VIC 3805",Victoria,Victoria,Australia,AU,Oceania,0392887890,,,-38.01699,145.30539,
41,DJI Authorised Store Mall Open Plaza Kennedy,Retail Store,low,"Av. Pdte. Kennedy 5601, L5, 7560356 Las Condes, Región Metropolitana, Chile",Las Condes,Region Metropolitana de Santiago,Chile,CL,South America,+56934006988,,,-33.400194,-70.575272,
42,DJI Authorised Store Mall Plaza Calama,Retail Store,low,"Av. Balmaceda 3242 Local B-256 / 260, 1394371 Calama, Antofagasta, Chile",Calama,Antofagasta,Chile,CL,South America,+56927498318,,,-22.448647,-68.921473,
43,DJI Authorised Store Mall Marina Viña del Mar,Retail Store,low,"Boulevard Mall Marina - 14 Nte. 821, Local 27, 2530899 Viña del Mar, Valparaíso, Chile",Viña del Mar,Valparaiso,Chile,CL,South America,+56933530840,,,-33.009483,-71.546978,
44,DJI Authorised Store C.C.Jockey Plaza Lima,Retail Store,low,"Av. Javier Prado este N° 4200 Toda CRL - 203 urb, Santiago de Surco",Lima,Lima,Peru,PE,South America,+51 986 996 017,,https://dji.pe/,-12.086728,-76.978917,
45,DJI Authorised Store Plaza San Miguel Lima,Retail Store,low,"Av. la Marina 2000, San Miguel 15088, San Miguel 15086，秘鲁",Lima,Lima,Peru,PE,South America,908844066,,,-12.07595,-77.082811,
46,DJI大疆授权体验店(广州正佳广场专区),Retail Store,low,广东省广州市天河区天河路228号正佳广场4楼DJI大疆创新,广州市,广东省,China,CN,Asia,"17316834905,020-38330588",,,23.132458,113.327023,
47,DJI大疆授权体验店(江门大融城),Retail Store,low,广东省江门市蓬江区白石大道166号汇悦城1F003号,江门市,广东省,China,CN,Asia,17727026003,,,22.611639,113.083418,
48,DJI大疆授权专卖店(郑州赛博数码广场店),Retail Store,low,河南省郑州市金水区文化路68号赛博数码港M106号,郑州市,河南省,China,CN,Asia,17629380487,1837222067@qq.com,,34.80596,113.67282,
49,DJI大疆旗舰店(上海新天地),Retail Store,low,上海市黄浦区马当路119号1楼103、104 2楼202、203,上海市,上海市,China,CN,Asia,021-53882588,,,31.216872,121.474942,
50,DJI大疆授权体验店(广州丽影广场),Retail Store,low,广州市海珠区赤岗街道珠影社区新港中路356号一楼EL1-016丽影广场,广州市,广东省,China,CN,Asia,"020-80923474,15302387730",1096285042@qq.com,,23.1015,113.32851,
51,DJI大疆授权体验店(深圳龙岗万达),Retail Store,low,深圳市龙岗区华南二道1号万达广场(华南城店)1F1031A,深圳市,广东省,China,CN,Asia,"0755-28283830,18138849130",,,22.67477,114.13113,
52,DJI大疆授权体验店(昆明五华吾悦),Retail Store,low,云南省昆明市五华区王筇路五华吾悦广场1楼1037-1,昆明市,云南省,China,CN,Asia,18213043671,,,25.095607,102.664982,
53,DJI大疆授权体验店(昆明七彩云南第壹城),Retail Store,low,朝云街七彩云南第壹城A1-1F016号商铺,昆明市,云南省,China,CN,Asia,13330528439,543070260@qq.com,,24.883807,102.83241,
54,DJI大疆授权体验店(重庆SKLP),Retail Store,low,重庆市渝北区龙溪街道红锦大道89号新光天地商场B区6层06041-2号,重庆市,重庆市,China,CN,Asia,023-67184172,,,29.594901,106.521397,
55,DJI大疆授权体验店(青岛新城吾悦),Retail Store,low,青岛市黄岛区滨海大道2888号新城吾悦广场A3幢1056-2-2铺位,青岛市,山东省,China,CN,Asia,17667663932,17860717370@139.com,,35.929228,120.163996,
56,DJI大疆授权体验店(济宁万象汇),Retail Store,low,济宁市高新区海川路77号万象汇一楼L165D,济宁市,山东省,China,CN,Asia,19053718117,13854743686@163.com,,35.42,116.7,
57,DJI大疆授权体验店(呼和浩特凯德),Retail Store,low,呼和浩特市玉泉区鄂尔多斯大街金宇新天地A座凯德广场一层01-02B商铺,呼和浩特市,内蒙古自治区,China,CN,Asia,13384715867,564433975@qq.com,,40.798179,111.679627,
58,DJI大疆专区SIS店(哈尔滨船舶电子城弘瑞丰店),Retail Store,low,南通大街288号,哈尔滨市,黑龙江省,China,CN,Asia,18646005777,,,45.775215,126.666791,
59,DJI大疆授权体验店(南通金鹰),Retail Store,low,江苏省南通市崇川区工农路57号圆融金鹰国际购物中心1楼F1017-0铺位大疆,南通市,江苏省,China,CN,Asia,17768681826,zhangqi1@feishangkeji.cn,,32.007151,120.879634,
60,DJI大疆授权体验店(长春万象城),Retail Store,low,吉林省长春市南关区人民大街3388号华润万象城负一楼B148号,长春市,吉林省,China,CN,Asia,18043940182,,,43.879137,125.325857,
61,DJI大疆授权体验店(西安DT51),Retail Store,low,西安市雁塔区高新区唐延路69号西安DT51商场D1011,西安市,陕西省,China,CN,Asia,18091870631,,,34.2,108.89,
62,DJI大疆授权专卖店(合肥庐州意库店),Retail Store,low,安徽省合肥市庐阳区杏林街道庐州意库文创园7栋DJI大疆无人机,合肥市,安徽省,China,CN,Asia,15212443213,1715544833@qq.com,,31.90114,117.28451,
63,DJI大疆授权体验店(昆明恒隆广场),Retail Store,low,云南省昆明市盘龙区东风东路21号恒隆广场5楼L512商铺,昆明市,云南省,China,CN,Asia,0871-65129339,,,25.036925,102.722721,
64,DJI大疆专区SIS店(济南经二路店),Retail Store,low,经二路213号,济南市,山东省,China,CN,Asia,15168806708,,,36.664711,116.991769,
65,DJI大疆授权体验店(南昌万象城),Retail Store,low,江西省南昌市红谷滩区学府大道388号万象城商业中心负一楼B143商铺,南昌市,江西省,China,CN,Asia,13018935832,,,28.679319,115.960931,
66,DJI大疆授权体验店(上海凯德晶萃),Retail Store,low,上海市黄浦区徐家汇路 268 号01层 29 号,上海市,上海市,China,CN,Asia,021-53828707,fhkaidejingcui@fhql.co,,31.22,121.48,
67,DJI大疆授权体验店(大连罗斯福),Retail Store,low,"大连市沙河口区西安路139号罗斯
福广场一楼13010",大连市,辽宁省,China,CN,Asia,19818934674,,,38.913943,121.586759,
68,DJI大疆授权体验店(天津海信广场),Retail Store,low,天津市和平区海信广场B1- 002铺位,天津市,天津市,China,CN,Asia,(022)231982017,,,39.118191,117.218121,
69,DJI大疆授权体验店(大庆萨尔图万达),Retail Store,low,大庆市萨尔图区东风路15号万达广场一层（1035铺）,大庆市,黑龙江省,China,CN,Asia,18546665256,1241378827@qq.com,,46.594554,125.094478,
70,DJI大疆授权专卖店(重庆长嘉汇),Retail Store,low,重庆市南岸区长嘉汇购物公园观景平台L4-15B,重庆市,重庆市,China,CN,Asia,18166562152,954860544@qq.com,,29.583704,106.593234,
71,DJI大疆授权体验店(襄阳民发广场),Retail Store,low,湖北省襄阳市樊城区汉江街道长虹路CH1013A,襄阳市,湖北省,China,CN,Asia,19907271292,wanghu@mc2.cn,,32.05,112.14,
72,DJI大疆授权体验店(荆门漳河万达),Retail Store,low,湖北省荆门市漳河新区象山大道南端38号万达广场L1041铺位,荆门市,湖北省,China,CN,Asia,19171518737,jiangfangyu@mc2.cn,,30.99,112.19,
73,DJI大疆授权体验店(成都太古里),Retail Store,low,四川省成都市锦江区中纱帽街8号成都太古里负1层,成都市,四川省,China,CN,Asia,"19950199190,028-85570750",,,30.653231,104.083493,
74,DJI大疆专区专柜(杭州市西溪颐高店),Retail Store,low,浙江省杭州市西湖区文三路108号西溪数码港A106-B112,杭州市,浙江省,China,CN,Asia,13958105665,,,30.284238,120.150855,
75,DJI大疆授权体验店(遵义吾悦广场),Retail Store,low,贵州省遵义市红花岗区共青一路吾悦广场一楼1008,遵义市,贵州省,China,CN,Asia,0851-28678839,,,27.650594,106.885446,
76,DJI大疆授权体验店(南昌大悦城),Retail Store,low,江西省南昌市西湖区抚生南路666号南昌大说城购物中心L1-17号商铺,南昌市,江西省,China,CN,Asia,17679293602,1750325694@qq.com,,28.639428,115.868118,
77,DJI大疆授权体验店(北京龙湖大兴天街),Retail Store,low,北京市龙湖大兴天街A栋-1F-01aa,北京市,北京市,China,CN,Asia,15321905938,136281968@qq.com,,39.69,116.33,
78,DJI大疆专区SIS店(西安行政中心店),Retail Store,low,陕西省西安市未央区凤城八路保亿隆基中心B座103号,西安市,陕西省,China,CN,Asia,"029-86102905,18909218387",2985480189@qq.com,,34.34668,108.94949,
79,DJI大疆授权体验店(广州凯德乐峰),Retail Store,low,广东省广州市海珠区工业大道北106-108号乐峰广场B1-S31/S32,广州市,广东省,China,CN,Asia,13316111813；020-34479460,,,23.054782,113.762701,
80,DJI大疆授权体验店(上海长风大悦城),Retail Store,low,上海市普陀区大渡河路168弄136号L1-61P铺,上海市,上海市,China,CN,Asia,52562967,changfengdayuecheng@fhql.com,,31.23,121.4,
81,DJI大疆授权体验店(青岛城阳万象汇),Retail Store,low,山东省青岛市城阳区正阳中路157号城阳万象汇L119号,青岛市,山东省,China,CN,Asia,15965576862,,,36.079969,120.37972,
82,DJI大疆授权体验店(淮安万象城),Retail Store,low,江苏省淮安市清江浦区淮海东路辅路淮安万象城F1  L128 店铺,淮安市,江苏省,China,CN,Asia,"17368110297,0517-89003889",24465836@qq.com,,33.6,119.04,
83,DJI大疆授权体验店(咸阳沣西吾悦广场),Retail Store,low,陕西省咸阳市秦都区钓台街道统一西路,咸阳市,陕西省,China,CN,Asia,17782726195,17782726195@189.com,,34.308152,108.736998,
84,DJI大疆授权体验店(上海中庚漫游城),Retail Store,low,上海市闵行区闵虹路8号L1-123.124铺,上海市,上海市,China,CN,Asia,17521303061,zhgmanyoucheng@fhql.com,,31.14,121.4,
85,DJI大疆授权体验店(苏州常熟印象城),Retail Store,low,江苏省常熟市海虞南路88号常熟印象城1楼01-04,苏州市,江苏省,China,CN,Asia,18936109238,djicsyxc@163.com,,31.649253,120.759764,
86,DJI大疆授权体验店(杭州西溪印象城),Retail Store,low,杭州市余杭区五常大道一号西溪印象城一期L160-161,杭州市,浙江省,China,CN,Asia,0571-85857197,,,30.247529,120.051406,
87,DJI大疆授权体验店(西安长乐天街),Retail Store,low,西安市新城区万寿北路58号龙湖长乐天街B馆-1F-23大疆,西安市,陕西省,China,CN,Asia,13389289059,13389289059@189.cn,,34.28,109.01,
88,DJI大疆授权体验店(上海虹口凯德),Retail Store,low,上海市虹口区西江湾路388号L1-11铺,上海市,上海市,China,CN,Asia,66837710,fhshhongkoukaide@fhql.com,,31.28,121.48,
89,DJI大疆授权体验店(太原万象城),Retail Store,low,山西省太原市万柏林区长兴路5号华润万象城东门L140C,太原市,山西省,China,CN,Asia,18534000705,,,37.813086,112.536036,
90,DJI大疆授权体验店(西安中大国际),Retail Store,low,西安市雁塔区甘家寨中大国际负1楼,西安市,陕西省,China,CN,Asia,029-89282693/13389239530,,,34.221901,108.896792,
91,DJI大疆授权体验店(大连亿合城开发区),Retail Store,low,辽宁省大连市金州区马桥子街道金马路208号亿合城一层KYF1011,大连市,辽宁省,China,CN,Asia,13654117500,,,39.04826,121.78184,
92,DJI大疆授权体验店(惠州大亚湾万达),Retail Store,low,广东省惠州市惠阳区龙海二路38号万达广场1楼1076铺,惠州市,广东省,China,CN,Asia,18028455800,18583101000@163.com,,22.761648,114.486345,
93,DJI大疆授权体验店(大连恒隆),Retail Store,low,"辽宁省大连市西岗区五四路66号
恒隆广场B1层B09店铺",大连市,辽宁省,China,CN,Asia,15242522665,,,38.906257,121.609536,
94,DJI大疆授权体验店(苏州万象天地),Retail Store,low,江苏省苏州市姑苏区上塘街290号苏州万象天地1楼L125N大疆,苏州市,江苏省,China,CN,Asia,17706211995,lulu.li@xgngroup.cn,,31.310681,120.598741,
95,DJI大疆授权体验店(南京江北虹悦城),Retail Store,low,江苏省南京市浦口区龙华路1号江北虹悦城1F-28,南京市,江苏省,China,CN,Asia,025-58195996/18120147650,,,32.066948,118.640049,
96,DJI大疆专区SIS店(绍兴市颐高数码店),Retail Store,low,绍兴越城区二环北路颐高数码广场负一楼D1-A,绍兴市,浙江省,China,CN,Asia,13777336422/18057550007,,,30.0262,120.577274,
97,DJI大疆授权体验店(温州万象城),Retail Store,low,瓯海区温瑞大道999号华润万象城5楼L523a,温州市,浙江省,China,CN,Asia,0577-86007616,,,27.953454,120.684099,
98,DJI大疆授权专卖店(益阳桃花仑西路店),Retail Store,low,湖南省益阳市赫山区桃花仑西路DJI大疆（益阳市教育局旁）,益阳市,湖南省,China,CN,Asia,19152281888,121390255@qq.com,,28.586515,112.353394,
99,DJI大疆授权体验店(绍兴上虞万和城),Retail Store,low,浙江省绍兴市上虞区市民大道688号万和城1F-033铺位,绍兴市,浙江省,China,CN,Asia,17706756017,chenyihan@mc2.cn,,30.04,120.88,
100,DJI大疆哈苏概念店(杭州大厦),Retail Store,low,浙江省杭州市拱墅区华浙广场2、3号杭州大厦D1楼D122大疆哈苏专柜,杭州市,浙江省,China,CN,Asia,0571-85857815,,,30.27281,120.161483,
101,DJI大疆授权体验店(太原吾悦广场),Retail Store,low,山西省太原市万柏林区千峰北路吾悦广场L1-1015,太原市,山西省,China,CN,Asia,19035110367,,,37.877973,112.526132,
102,DJI大疆授权体验店(宿迁吾悦广场),Retail Store,low,江苏省宿迁市宿城区青海湖西路222号宿迁宿城吾悦广场F1 大疆店铺,宿迁市,江苏省,China,CN,Asia,"0527-83699373,18012116786",1062169793@qq.com,,33.9632,118.2951,
103,DJI大疆授权体验店(北京西北旺万象汇),Retail Store,low,北京市海淀区马连洼街道西北旺万象汇1层L130,北京市,北京市,China,CN,Asia,18001053623,,,40.055659,116.265248,
104,DJI大疆授权体验店(合肥瑶海天地),Retail Store,low,安徽省合肥市瑶海区铜陵路街道长江东路YH202211号B地块、C地块-L114铺,合肥市,安徽省,China,CN,Asia,13645191195,heyinghua@feishangkeji.cn,,31.869042,117.330557,
105,DJI大疆授权体验店(青岛融创茂),Retail Store,low,山东省青岛市黄岛区滨海大道青岛融创茂1楼1009A,青岛市,山东省,China,CN,Asia,18661760682,2582987782@qq.com,,35.90509,120.100929,
106,DJI大疆授权体验店(黔东南凯里国贸),Retail Store,low,贵州省黔东南苗族侗族自治州凯里市北京西路21号国贸购物中心1F,黔东南苗族侗族自治州,贵州省,China,CN,Asia,18985619016,2641080493@qq.com,,26.580681,107.973153,
107,DJI大疆专区SIS店(大同市云中路店),Retail Store,low,山西省大同市平城区云中路849号大疆创新专营店,大同市,山西省,China,CN,Asia,13934455223,,,40.083567,113.289031,
108,DJI大疆授权体验店(孝感万达),Retail Store,low,湖北省孝感市孝南区孝武大道路特1号孝感星河天街万达广场1F层1008号商铺,孝感市,湖北省,China,CN,Asia,13135640201,504982102@qq.com,,30.901226,113.956413,
109,DJI大疆授权体验店(沈阳皇姑万象汇),Retail Store,low,辽宁省沈阳市皇姑区崇山路18号皇姑万象汇 一楼158,沈阳市,辽宁省,China,CN,Asia,15734011889,,,41.795608,123.372968,
110,DJI大疆授权体验店(宜昌国贸),Retail Store,low,湖北省宜昌市西陵区东山大道106号国贸商场北一楼1026号DJI大疆,宜昌市,湖北省,China,CN,Asia,"0717-6216188,17764250668",,,30.71421,111.2908,
111,DJI大疆专区专柜(开封省府西街店),Retail Store,low,河南省开封市鼓楼区省府西街鼓楼区检察院对面DJI大疆开封市授权专区,开封市,河南省,China,CN,Asia,13903780447,crystalsky77@163.com,,34.4746,114.2046,
112,DJI大疆授权体验店(上海世博天地),Retail Store,low,上钢新村街道世博大道1467号的世博天地C地上 一 层L104号,上海市,上海市,China,CN,Asia,18917072050,shibotiandi@fhql.com,,31.19,121.5,
113,DJI大疆授权体验店(西宁海湖万达),Retail Store,low,青海省西宁市城西区广场路1号海湖万达广场层1031号,西宁市,青海省,China,CN,Asia,19997487750,19997487750@189.com,,36.642644,101.715863,
114,DJI大疆授权体验店(武汉壹方天地),Retail Store,low,湖北省武汉市江岸区武汉天地壹方南馆购物中心2F-20号,武汉市,湖北省,China,CN,Asia,18162737107；027-82357789,,,30.552535,114.293635,
115,DJI大疆专区SIS店(长沙科佳摄影城店),Retail Store,low,湖南省长沙市芙蓉区解放东路46号湖南摄影城（科佳摄影城）1楼1号-2号,长沙市,湖南省,China,CN,Asia,"15073177769,82295958",nimeijia@126.com,,28.191108,113.009392,
116,DJI大疆授权体验店(衡阳蒸湘万达),Retail Store,low,湖南省衡阳市蒸湘区幸福路联合街道22号一层1059号铺,衡阳市,湖南省,China,CN,Asia,19188902702,xiejinsheng@mc2.cn,,26.89,112.6,
117,DJI大疆授权体验店(郑州二七万达),Retail Store,low,河南省郑州市二七区大学南路万达广场1楼DJI大疆1053号,郑州市,河南省,China,CN,Asia,17788165165,3202867626@qq.com,,34.724319,113.649102,
118,DJI大疆授权体验店(唐山路南万达),Retail Store,low,新华东道100号万达广场一层1F-1035-B号,唐山市,河北省,China,CN,Asia,15032595051,,,39.624244,90,
119,DJI大疆授权体验店(宜兴八佰伴),Retail Store,low,江苏省无锡市宜兴市解放东路288号L1013,无锡市,江苏省,China,CN,Asia,18961593790,18961593790@qq.com,,31.358368,119.843468,
120,DJI大疆授权体验店(南昌龙湖天街),Retail Store,low,江西省南昌市青山湖区解放东路1999号龙湖天街A1F29，A1F30aa，A1F30bb号商铺,南昌市,江西省,China,CN,Asia,18379119805,2235721862@qq.com,,28.652322,115.964207,
121,DJI大疆授权体验专区(长治万达),Retail Store,low,山西省长治市潞州区英雄北路222号万达广场1F-1027中空,长治市,山西省,China,CN,Asia,13653668310,13653668310@139.com,,36.224862,113.134913,
122,DJI大疆授权专卖店(重庆杨家坪步行街),Retail Store,low,重庆市九龙坡区杨家坪街道西郊路1号1-14，1-15号,重庆市,重庆市,China,CN,Asia,15523455238,646438223@qq.com,,29.551158,106.51055,
123,DJI大疆授权体验店(滨州万达),Retail Store,low,山东省滨州市滨城区黄河十二路890号万达广场一层YX-HD-ZT-001号,滨州市,山东省,China,CN,Asia,17661173415,,,37.38162,118.02441,
124,DJI大疆授权体验店(重庆江北国际机场),Retail Store,low,重庆江北国际机场T3A航站楼出发大厅T3A-L410、L411号（3F值机岛后）,重庆市,重庆市,China,CN,Asia,17784239951,794856239@qq.com,,29.709206,106.654248,
125,DJI大疆专区SIS店(深圳华强北电子世界影客),Retail Store,low,深圳市福田区华强北 新华强电子二店3楼Q3B202,深圳市,广东省,China,CN,Asia,13631630571,,,22.548231,114.092891,
126,DJI大疆授权体验店(上海百联又一城),Retail Store,low,上海市杨浦区淞沪路8号B1-03铺位,上海市,上海市,China,CN,Asia,15097766392,503388639@qq.com,,31.31,121.52,
127,DJI大疆授权体验店(海口友谊南海城),Retail Store,low,海南省海口市龙华区南海大道友谊南海城030号商铺大疆体验店,海口市,海南省,China,CN,Asia,18189776075,,,19.996374,110.30418,
